50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,team,team_id,timestamp,type,under_pressure,tactics.formation,tactics.lineup,tactics,50_50.outcome.id,50_50.outcome.name,x,y,end_x,end_y,match_name,home_team,away_team
,,,,,,,,,,,,,,,,,,1.024612,,,,,,,,,,,,5c021811-e3af-4187-ae71-87a127de8ad1,18,,,"[74.0, 6.1]",3930182,0,,,,,2.1237257,,Right Foot,,,,"[63.2, 23.6]",Ground Pass,,20.56429,,,,Pierre-Emile Højbjerg,3570.0,,,,,,,1,From Kick Off,Joakim Mæhle,16554.0,Left Wing Back,2,Denmark,776,"['34fe9326-817d-4478-979f-34c6c7b55b34', '576a2f0f-5d7a-4076-941f-e5c2ce0f431c']",12,,,,,,,,,,,,,,,,Denmark,776,00:00:12.564,Pass,True,,,,,,74.0,6.1,63.2,23.6,Denmark vs Serbia,Denmark,Serbia
,,,,,,,,,,,,,,,,,,0.599461,,,,,,,,,,,,65480c3f-a0e8-45f6-a23c-c93d8c067c96,21,,,"[64.2, 28.2]",3930182,0,,,,,1.2315037,,Right Foot,,,,"[65.4, 31.6]",Ground Pass,,3.6055512,,,,Morten Hjulmand,8621.0,,,,,,,1,From Kick Off,Pierre-Emile Højbjerg,3570.0,Left Defensive Midfield,2,Denmark,776,['80c2bcfc-1412-4252-b003-5c5cbf271df2'],15,,,,,,,,,,,,,,,,Denmark,776,00:00:15.393,Pass,,,,,,,64.2,28.2,65.4,31.6,Denmark vs Serbia,Denmark,Serbia
,,,,,,,,,,,,,,,,,,1.015771,,,,,,,,,,,,4d32d25f-baa4-4db0-a0c3-005cd15e4451,24,,,"[65.4, 31.6]",3930182,0,,,,,3.0971775,,Right Foot,,,,"[51.9, 32.2]",Ground Pass,,13.513327,,,,Jannik Vestergaard,8815.0,,,,,,,1,From Kick Off,Morten Hjulmand,8621.0,Right Defensive Midfield,2,Denmark,776,['f74655be-b324-46e0-97a2-e32698877741'],16,,,,,,,,,,,,,,,,Denmark,776,00:00:16.033,Pass,,,,,,,65.4,31.6,51.9,32.2,Denmark vs Serbia,Denmark,Serbia
,,,,,,,,,,,,,,,,,,1.483729,,,,,,,,,,,,2f568d3e-1ff8-4a58-b843-c40828ec2cbd,27,,,"[58.0, 35.0]",3930182,0,,,,,-1.333493,,Right Foot,,,,"[63.2, 13.5]",Ground Pass,,22.1199,,,,Andreas Christensen,3959.0,,,,,,,1,From Kick Off,Jannik Vestergaard,8815.0,Center Back,2,Denmark,776,['a2526298-e8e5-4215-b29c-e7650b040bed'],20,,,,,,,,,,,,,,,,Denmark,776,00:00:20.172,Pass,,,,,,,58.0,35.0,63.2,13.5,Denmark vs Serbia,Denmark,Serbia
,,,,,,,,,,,,,,,,,,1.233473,,,,,,,,,,,,bec488e6-5675-4f69-884f-a7addb828d2a,32,,,"[54.6, 19.0]",3930182,0,,,,,2.5730681,,Left Foot,,,,"[40.2, 28.2]",Ground Pass,,17.088007,,,,Jannik Vestergaard,8815.0,,,,,,,1,From Kick Off,Andreas Christensen,3959.0,Left Center Back,2,Denmark,776,"['bbb4ae86-1317-4f00-98b9-310061182acd', 'd9ea2273-bceb-475d-8b8c-f07fc2986a9d']",25,,,,,,,,,,,,,,,,Denmark,776,00:00:25.625,Pass,True,,,,,,54.6,19.0,40.2,28.2,Denmark vs Serbia,Denmark,Serbia
,,,,,,,,,,,,,,,,,,0.643117,,,,,,,,,,,,b3812679-6049-4c3b-b729-1b3d852893b0,35,,,"[54.9, 36.5]",3930182,0,,,,,0.04051835,,Right Foot,,,,"[62.3, 36.8]",Ground Pass,,7.406079,,,,Morten Hjulmand,8621.0,,,,,,,1,From Kick Off,Jannik Vestergaard,8815.0,Center Back,2,Denmark,776,['b8e5510a-fb03-487f-854c-99ba1b49162d'],34,,,,,,,,,,,,,,,,Denmark,776,00:00:34.183,Pass,,,,,,,54.9,36.5,62.3,36.8,Denmark vs Serbia,Denmark,Serbia
,,,,,,,,,,,,,,,,,,0.667296,,,,,,,,,,,,320f705d-3653-43ee-9786-595dd23b6b61,38,,,"[62.3, 36.8]",3930182,0,,,,,3.0987618,,Right Foot,,,,"[55.3, 37.1]",Ground Pass,,7.006426,,,,Jannik Vestergaard,8815.0,,,,,,,1,From Kick Off,Morten Hjulmand,8621.0,Right Defensive Midfield,2,Denmark,776,['6edeb11a-4bff-483a-9b81-f17924c4edfa'],34,,,,,,,,,,,,,,,,Denmark,776,00:00:34.858,Pass,,,,,,,62.3,36.8,55.3,37.1,Denmark vs Serbia,Denmark,Serbia
,,,,,,,,,,,,,,,,,,0.640406,,,,,,,,,,,,2e97f3c3-aa31-4609-9c2d-fb91ffe9a833,41,,,"[52.2, 35.9]",3930182,0,,,,,-0.36254424,,Right Foot,,,,"[58.0, 33.7]",Ground Pass,,6.203225,,,,Morten Hjulmand,8621.0,,,,,,,1,From Kick Off,Jannik Vestergaard,8815.0,Center Back,2,Denmark,776,['c7f80f0d-b94e-4fa8-8458-7f23b6d7aa32'],37,,,,,,,,,,,,,,,,Denmark,776,00:00:37.037,Pass,,,,,,,52.2,35.9,58.0,33.7,Denmark vs Serbia,Denmark,Serbia
,,,,,,,,,,,,,,,,,,0.951135,,,,,,,,,,,,30f31582-93e3-4a96-bba2-9d8bdac71b4f,44,,,"[57.4, 33.7]",3930182,0,,,,,-1.735945,,Right Foot,,,,"[54.9, 18.7]",Ground Pass,,15.206906,,,,Andreas Christensen,3959.0,,,,,,,1,From Kick Off,Morten Hjulmand,8621.0,Right Defensive Midfield,2,Denmark,776,['b6048566-2023-4ad3-873e-2c81a69ea3b3'],38,,,,,,,,,,,,,,,,Denmark,776,00:00:38.421,Pass,,,,,,,57.4,33.7,54.9,18.7,Denmark vs Serbia,Denmark,Serbia
,,,,,,,,,,,,,,,,,,1.538239,,,,,,,,,,,,51dd79f3-6646-4bbd-a968-fb02d0c39e6d,47,,,"[54.3, 18.7]",3930182,0,,,,,2.5426815,,Right Foot,,,,"[41.7, 27.3]",Ground Pass,,15.255163,,,,Jannik Vestergaard,8815.0,,,,,,,1,From Kick Off,Andreas Christensen,3959.0,Left Center Back,2,Denmark,776,['c2727ce4-8372-480e-9835-71c64bc8fee3'],40,,,,,,,,,,,,,,,,Denmark,776,00:00:40.095,Pass,,,,,,,54.3,18.7,41.7,27.3,Denmark vs Serbia,Denmark,Serbia
