50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,team,team_id,timestamp,type,under_pressure,tactics.formation,tactics.lineup,tactics,50_50.outcome.id,50_50.outcome.name,x,y,end_x,end_y,match_name,home_team,away_team
,,,,,"[64.0, 55.3]",,,,,,,,,,,,,1.990031,,,,,,,,,,,19870e26-8953-4c85-854f-c347e55b0562,3159,,,"[65.9, 48.4]",3938639,72,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Anzor Mekvabishvili,264017.0,Right Defensive Midfield,121,Georgia,2138,"['4a2e7efa-2de2-4f4a-801b-7d4e2950f926', '68673ec9-0645-4c5d-96d0-d48d1088e982']",8,,,,,,,,,,,,,,,,,,Georgia,2138,00:27:08.567,Carry,,,,,,,65.9,48.4,64.0,55.3,Turkey vs Georgia,Turkey,Georgia
,,,,,"[70.2, 77.0]",,,,,,,,,,,,,1.667242,,,,,,,,,,,1645ad00-3107-44d6-949e-2bdaa1585a08,3162,,,"[72.3, 77.0]",3938639,72,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Otar Kakabadze,25036.0,Right Wing Back,121,Georgia,2138,"['002a22ed-590c-43da-ac71-d4c13c73d0b1', 'd56687c9-bcd5-4c40-83f6-1290ad0b1249']",12,,,,,,,,,,,,,,,,,,Georgia,2138,00:27:12.135,Carry,,,,,,,72.3,77.0,70.2,77.0,Turkey vs Georgia,Turkey,Georgia
,,,,,"[57.4, 56.9]",,,,,,,,,,,,,0.919999,,,,,,,,,,,9d4a7cca-d4ae-4802-b56f-ddc078fb2798,3165,,,"[58.4, 57.1]",3938639,72,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Anzor Mekvabishvili,264017.0,Right Defensive Midfield,121,Georgia,2138,"['79ee741c-4301-46c4-802e-43d181f835c7', '8b5ab597-ca7d-47ff-ad08-a155b5bab46c']",15,,,,,,,,,,,,,,,,,,Georgia,2138,00:27:15.144,Carry,,,,,,,58.4,57.1,57.4,56.9,Turkey vs Georgia,Turkey,Georgia
,,,,,"[50.1, 31.8]",,,,,,,,,,,,,0.034213,,,,,,,,,,,2070ef63-e40b-4594-892e-b085d4861c1f,3168,,,"[50.1, 31.8]",3938639,72,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Guram Kashia,7839.0,Center Back,121,Georgia,2138,"['2c9254a5-f3a5-4ca0-9cae-b3bbc3d7e287', 'c5792611-fd2f-4950-b496-318643a6cdd3']",17,,,,,,,,,,,,,,,,,,Georgia,2138,00:27:17.810,Carry,,,,,,,50.1,31.8,50.1,31.8,Turkey vs Georgia,Turkey,Georgia
,,,,,"[64.8, 7.3]",,,,,,,,,,,,,0.771912,,,,,,,,,,,31258b17-266f-4b84-904d-f427b812e97c,3171,,,"[64.3, 5.2]",3938639,72,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Lasha Dvali,7655.0,Left Center Back,121,Georgia,2138,"['aed1a6df-b6e0-4a6f-a564-9b83d3f11983', 'b7494b55-dca4-4078-8aca-20a440b42cc1']",20,,,,,,,,,,,,,,,,,,Georgia,2138,00:27:20.695,Carry,,,,,,,64.3,5.2,64.8,7.3,Turkey vs Georgia,Turkey,Georgia
,,,,,"[65.0, 18.9]",,,,,,,,,,,,,1.734533,,,,,,,,,,,6aa18918-3237-4313-8354-7b0741e020dc,3174,,,"[70.5, 23.4]",3938639,72,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Giorgi Kochorashvili,41202.0,Left Defensive Midfield,121,Georgia,2138,"['637efcd6-c455-4a03-b1b1-0907a1c09965', '6aa7c84a-a2ce-4506-8957-6c97b2b96e15']",22,,,,,,,,,,,,,,,,,,Georgia,2138,00:27:22.679,Carry,,,,,,,70.5,23.4,65.0,18.9,Turkey vs Georgia,Turkey,Georgia
,,,,,"[45.4, 29.9]",,,,,,,,,,,,,0.08,,,,,,,,,,,0ea25521-d59b-4786-9c51-4a8e12408301,3177,,,"[45.4, 29.9]",3938639,72,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Guram Kashia,7839.0,Center Back,121,Georgia,2138,"['019db300-1b42-4b0f-b8bc-05fe44e77f5e', '58b4ae73-920d-4939-994f-41bd941a4eb4']",27,,,,,,,,,,,,,,,,,,Georgia,2138,00:27:27.313,Carry,,,,,,,45.4,29.9,45.4,29.9,Turkey vs Georgia,Turkey,Georgia
,,,,,"[47.3, 46.8]",,,,,,,,,,,,,1.484729,,,,,,,,,,,50e76edb-d2a2-4d08-811b-21877b6a4b30,3180,,,"[52.7, 42.2]",3938639,72,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Anzor Mekvabishvili,264017.0,Right Defensive Midfield,121,Georgia,2138,"['3f854ab2-9943-4b61-a225-c445e594c7ea', 'ff651e89-bd92-41c0-9bdc-ba60e08c4fac']",28,,,,,,,,,,,,,,,,,,Georgia,2138,00:27:28.433,Carry,,,,,,,52.7,42.2,47.3,46.8,Turkey vs Georgia,Turkey,Georgia
,,,,,"[68.8, 50.5]",,,,,,,,,,,,,0.096094,,,,,,,,,,,dab7407c-fe68-4332-a67f-0c1cb872aca8,3186,,,"[67.1, 51.2]",3938639,72,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Giorgi Chakvetadze,23646.0,Right Wing,121,Georgia,2138,"['1aab8860-3cc9-4078-b504-933fc772e7bc', '20a9aad2-3aad-4882-9ed4-bdfae609da24', '4fa6bf15-b0f4-483f-849e-06de9c41b720']",32,,,,,,,,,,,,,,,,,,Georgia,2138,00:27:32.130,Carry,True,,,,,,67.1,51.2,68.8,50.5,Turkey vs Georgia,Turkey,Georgia
,,,,,"[69.8, 77.1]",,,,,,,,,,,,,1.392789,,,,,,,,,,,5feeed7e-dddc-42a1-bd87-2404bf52d7db,3190,,,"[67.8, 77.7]",3938639,72,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Otar Kakabadze,25036.0,Right Wing Back,121,Georgia,2138,"['6a713566-1ae7-424f-9369-0b706d8981a1', '8c22f1fc-04f0-414c-aa3d-d9ae74fa48e5']",34,,,,,,,,,,,,,,,,,,Georgia,2138,00:27:34.208,Carry,,,,,,,67.8,77.7,69.8,77.1,Turkey vs Georgia,Turkey,Georgia
