bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,team,team_id,timestamp,type,under_pressure,tactics.formation,tactics.lineup,tactics,x,y,end_x,end_y,match_name,home_team,away_team
,,,,,,,,,,,,,,,,,,0.762527,,,,,,,,,,,,,085547e4-8a92-4828-9d07-41fd5ca6ffdc,18,,"[21.6, 4.2]",3930184,0,,,,,2.2518134,,Right Foot,,,"[16.9, 10.0]",,Ground Pass,,7.465253,,,,Ferdi Erenay Kadıoğlu,30438.0,,,,,1,Regular Play,Kenan Yildiz,151813.0,Left Wing,3,Turkey,909,"['0d9fefe5-3abd-4013-9c57-cbb9bc8d57ad', '71516fa5-03ba-4417-9f7f-df614ebe3d03']",12,,,,,,,,,,,,,,,,,Turkey,909,00:00:12.836,Pass,True,,,,21.6,4.2,16.9,10.0,Czech Republic vs Turkey,Czech Republic,Turkey
,,,,,,,,,,,,,,,,,,1.625384,,,,,,,,,,,,,eb68ba8b-902c-44e1-8595-6b17db67dbeb,21,,"[15.0, 10.6]",3930184,0,,,,,0.42877802,,Right Foot,,,"[32.5, 18.6]",,High Pass,,19.241882,,Incomplete,,,,,,,,1,Regular Play,Ferdi Erenay Kadıoğlu,30438.0,Left Back,3,Turkey,909,"['7372dd05-28b0-42b4-b32b-0007ba7493bd', 'e6139ad9-ce0b-47ef-bb00-f0b574b44cbf']",13,,,,,,,,,,,,,,,,,Turkey,909,00:00:13.598,Pass,True,,,,15.0,10.6,32.5,18.6,Czech Republic vs Turkey,Czech Republic,Turkey
,,,,,,,,,,,,,,,,,,1.353257,,,,,,,,,,,,,e6139ad9-ce0b-47ef-bb00-f0b574b44cbf,22,,"[87.6, 61.5]",3930184,0,,,,,0.24870999,,Head,,,"[100.2, 64.7]",,High Pass,,13.0,,Incomplete,,Antonín Barák,7801.0,,,,Recovery,1,Regular Play,Lukáš Provod,28034.0,Left Defensive Midfield,3,Turkey,909,"['59df0193-ebca-4c50-ae3a-d4af67ee1c83', 'ac24c9a6-4c8d-4181-9c8c-672a3c33476a', 'eb68ba8b-902c-44e1-8595-6b17db67dbeb']",15,,,,,,,,,,,,,,,,,Czech Republic,912,00:00:15.224,Pass,,,,,87.6,61.5,100.2,64.7,Czech Republic vs Turkey,Czech Republic,Turkey
,,,,,,,,,,,,,,,,,,2.553266,,,,,,,,,,,,,231c763a-b78e-4bb9-9a08-38efa1e69143,25,,"[100.0, 80.0]",3930184,0,,,,,-1.3481354,,,,,"[108.4, 42.9]",,High Pass,,38.03906,,Unknown,,Tomáš Souček,4870.0,,,,Throw-in,1,From Throw In,Vladimír Coufal,16570.0,Right Wing Back,4,Czech Republic,912,['f3e84f37-f90c-4521-8e16-525153783140'],31,,,,,,,,,,,,,,,,,Czech Republic,912,00:00:31.411,Pass,,,,,100.0,80.0,108.4,42.9,Czech Republic vs Turkey,Czech Republic,Turkey
,,,,,,,,,,,,,,,,,,3.784277,,,,,,,,,,,,,3dd1bf27-d070-4f06-85a4-b88e9a6bb28c,30,,"[10.4, 34.7]",3930184,1,,,,,0.45712724,,Right Foot,,,"[78.1, 68.0]",,High Pass,,75.44654,,,,Barış Alper Yılmaz,134209.0,,,,Free Kick,1,From Free Kick,Fehmi Mert Günok,30310.0,Goalkeeper,5,Turkey,909,['b7f0a099-857c-415f-930e-94aff9014569'],18,,,,,,,,,,,,,,,,,Turkey,909,00:01:18.688,Pass,,,,,10.4,34.7,78.1,68.0,Czech Republic vs Turkey,Czech Republic,Turkey
,,,,,,,,,,,,,,,,,,3.294909,,,,,,,,,,,,,da7e7c07-93a1-416d-9c8a-58bd8a732bb0,33,,"[78.1, 68.0]",3930184,1,,,,True,0.6375488,,,,,"[94.3, 80.0]",,High Pass,,20.160357,,Out,,Arda Güler,116587.0,,,,,1,From Free Kick,Barış Alper Yılmaz,134209.0,Right Wing,5,Turkey,909,"['1fe376ea-1bb2-45bc-8fdb-7386f4c328a1', '796c127a-c639-4e46-aae3-ba246c547f01']",22,,,,,,,,,,,,,,,,,Turkey,909,00:01:22.472,Pass,True,,,,78.1,68.0,94.3,80.0,Czech Republic vs Turkey,Czech Republic,Turkey
,,,,,,,,,,,,,,,,,,1.45286,,,,,,,,,,,,,698b3a2b-16fc-4664-96c6-f630863674a5,35,,"[19.1, 0.1]",3930184,1,,,,,2.271926,,,,,"[2.3, 20.0]",,Low Pass,,26.043234,,,,Jindřich Staněk,28040.0,,,,Throw-in,1,From Throw In,Ladislav Krejčí,28272.0,Left Center Back,6,Czech Republic,912,['7b318459-b8ac-4bfd-a966-15eadf194531'],35,,,,,,,,,,,,,,,,,Czech Republic,912,00:01:35.431,Pass,,,,,19.1,0.1,2.3,20.0,Czech Republic vs Turkey,Czech Republic,Turkey
,,,,,,,,,,,,,,,,,,3.405593,,,,,,,,,,,,,6e1933ff-5781-4efc-814d-41457783668e,39,,"[2.2, 18.7]",3930184,1,,,,,-0.19704652,,Left Foot,,,"[57.3, 7.7]",,High Pass,,56.187275,,Incomplete,,Adam Hložek,28239.0,,,,,1,From Throw In,Jindřich Staněk,28040.0,Goalkeeper,6,Czech Republic,912,"['261af672-a2ef-4cc4-b4d8-3e7646fc814b', 'e09bcafc-2529-49da-acea-5f3b24bec068', 'f02fbd1f-ae55-4a0e-ab46-d3ed412cb918']",38,,,,,,,,,,,,,,,,,Czech Republic,912,00:01:38.185,Pass,True,,,,2.2,18.7,57.3,7.7,Czech Republic vs Turkey,Czech Republic,Turkey
,,,,,,,,,,,,,,,,,,0.913806,,,,,,,,,,,,,f02fbd1f-ae55-4a0e-ab46-d3ed412cb918,41,,"[62.8, 72.4]",3930184,1,,,,,0.41571388,,Head,,,"[73.9, 77.3]",,Low Pass,,12.133425,,,,Barış Alper Yılmaz,134209.0,,,,Recovery,1,Regular Play,Salih Özcan,9085.0,Right Defensive Midfield,7,Turkey,909,"['3aa32a9d-56df-42fa-8395-30f0df88dab2', '6e1933ff-5781-4efc-814d-41457783668e']",41,,,,,,,,,,,,,,,,,Turkey,909,00:01:41.591,Pass,,,,,62.8,72.4,73.9,77.3,Czech Republic vs Turkey,Czech Republic,Turkey
,,,,,,,,,,,,,,,,,,0.468835,,,,,,,,,,,,,5804d9d7-e151-4729-a19a-e746b43dd4c1,49,,"[70.0, 72.7]",3930184,1,,,,,-0.69473827,,Right Foot,,,"[73.0, 70.2]",,Ground Pass,,3.905125,,,,Salih Özcan,9085.0,,,,,1,Regular Play,Barış Alper Yılmaz,134209.0,Right Wing,7,Turkey,909,['99ee4197-49a1-4f8c-9282-3292beee7cce'],45,,,,,,,,,,,,,,,,,Turkey,909,00:01:45.752,Pass,,,,,70.0,72.7,73.0,70.2,Czech Republic vs Turkey,Czech Republic,Turkey
,,,,,,,,,,,,,,,,,,1.061178,,,,,,,,,,,,,9c3dc8b0-49ba-45f4-80d4-8c67dc3edfa4,52,,"[73.0, 70.2]",3930184,1,,,,,-1.5208379,,Right Foot,,,"[73.2, 66.2]",,Ground Pass,,4.004997,,Incomplete,,Barış Alper Yılmaz,134209.0,,,,,1,Regular Play,Salih Özcan,9085.0,Right Defensive Midfield,7,Turkey,909,"['5b57246d-9c3d-49b0-bd50-0f0bddbc86ab', '8f53e791-8c30-4d2f-a146-0e0e85daf15a']",46,,,,,,,,,,,,,,,,,Turkey,909,00:01:46.261,Pass,,,,,73.0,70.2,73.2,66.2,Czech Republic vs Turkey,Czech Republic,Turkey
,,,,,,,,,,,,,,,,,,1.585046,,,,,,,,,,,,,9d05649f-158c-42d7-9a01-b00b852343be,61,,"[103.8, 17.7]",3930184,1,,,,,1.942714,,Left Foot,,,"[98.3, 31.8]",,Ground Pass,,15.134728,,,,Antonín Barák,7801.0,,,,Recovery,1,Regular Play,Adam Hložek,28239.0,Left Attacking Midfield,8,Czech Republic,912,['38d19d0f-8a28-4a46-8d8e-5f2081590c1e'],53,,,,,,,,,,,,,,,,,Czech Republic,912,00:01:53.678,Pass,,,,,103.8,17.7,98.3,31.8,Czech Republic vs Turkey,Czech Republic,Turkey
,,,,,,,,,,,,,,,,,,0.624465,,,,,,,,,,,,,6a734a33-1043-42a9-9e06-3e77f9a2944e,63,,"[98.3, 31.8]",3930184,1,,,,,-1.7616274,4cb7f844-d9d4-4993-801a-8fbf2c07dc5b,Left Foot,,,"[96.6, 23.0]",,Ground Pass,,8.962701,,,,Lukáš Provod,28034.0,True,,,,1,Regular Play,Antonín Barák,7801.0,Right Attacking Midfield,8,Czech Republic,912,['500bfc76-6a7b-4f55-8032-0aed9cb9a832'],55,,,,,,,,,,,,,,,,,Czech Republic,912,00:01:55.263,Pass,,,,,98.3,31.8,96.6,23.0,Czech Republic vs Turkey,Czech Republic,Turkey
,,,,,,,,,,,,,,,,,,1.597507,,,,,,,,,,,,,dff816b1-60dc-42cb-855d-14738b8cf951,70,,"[120.0, 80.0]",3930184,2,,,,,-1.7711949,,Right Foot,,,"[110.9, 35.2]",,High Pass,,45.714878,,Incomplete,True,,,,True,Outswinging,Corner,1,From Corner,Vladimír Coufal,16570.0,Right Wing Back,9,Czech Republic,912,['af652148-cf21-494a-a530-326b47587a99'],20,,,,,,,,,,,,,,,,,Czech Republic,912,00:02:20.545,Pass,,,,,120.0,80.0,110.9,35.2,Czech Republic vs Turkey,Czech Republic,Turkey
,,,,,,,,,,,,,,,,,,2.541688,,,,,,,,,,,,,edb26773-deba-4f6e-9172-62c62177c7c1,74,,"[93.8, 19.0]",3930184,2,,,,,0.8965175,,Left Foot,,,"[114.9, 45.4]",,High Pass,,33.796005,,Incomplete,,Ladislav Krejčí,28272.0,,,,,1,From Corner,David Jurásek,134272.0,Left Wing Back,9,Czech Republic,912,"['00e8c8b0-4eca-485d-8b7c-fb892a9d5e06', '5b46e914-1ddc-4ace-96dd-786045196700']",25,,,,,,,,,,,,,,,,,Czech Republic,912,00:02:25.938,Pass,,,,,93.8,19.0,114.9,45.4,Czech Republic vs Turkey,Czech Republic,Turkey
,,,,,,,,,,,,,,,,,,3.651844,,,,,,,,,,,,,90a9579c-6259-4bfe-b051-b847999d9c5a,78,,"[16.9, 30.2]",3930184,2,,,,,-0.18187574,,Drop Kick,,,"[77.8, 19.0]",,Low Pass,,61.92132,,Incomplete,,Barış Alper Yılmaz,134209.0,,,,,1,From Keeper,Fehmi Mert Günok,30310.0,Goalkeeper,10,Turkey,909,"['4a4988fc-d757-4b5a-976a-5966bdbbe663', 'b6b53c68-0ab6-4025-bb13-ecaa80aef897']",33,,,,,,,,,,,,,,,,,Turkey,909,00:02:33.419,Pass,,,,,16.9,30.2,77.8,19.0,Czech Republic vs Turkey,Czech Republic,Turkey
,,,,,,,,,,,,,,,,,,1.064828,,,,,,,,,,,,,87accd67-862e-482e-9974-b1abc31d1595,82,,"[78.4, 0.1]",3930184,2,,,,,1.2533376,,,,,"[83.0, 14.1]",,Low Pass,,14.73635,,,,Hakan Çalhanoğlu,7039.0,,,,Throw-in,1,From Throw In,Ferdi Erenay Kadıoğlu,30438.0,Left Back,11,Turkey,909,['28f6117a-cbbf-4c95-8375-dc17d1104c11'],58,,,,,,,,,,,,,,,,,Turkey,909,00:02:58.917,Pass,,,,,78.4,0.1,83.0,14.1,Czech Republic vs Turkey,Czech Republic,Turkey
,,,,,,,,,,,,,,,,,,0.817854,,,,,,,,,,,,,6fb8f111-01f4-4926-8ca4-931c24015771,85,,"[83.0, 14.1]",3930184,2,,,,,-1.6238439,,Right Foot,,,"[82.4, 2.8]",,Low Pass,,11.315918,,,,Ferdi Erenay Kadıoğlu,30438.0,,,,,1,From Throw In,Hakan Çalhanoğlu,7039.0,Center Attacking Midfield,11,Turkey,909,"['99e77854-e8f3-4350-a0cc-8acb3af9dad1', 'eb78c182-95b4-4015-99ca-1951fb751f4b']",59,,,,,,,,,,,,,,,,,Turkey,909,00:02:59.982,Pass,True,,,,83.0,14.1,82.4,2.8,Czech Republic vs Turkey,Czech Republic,Turkey
,,,,,,,,,,,,,,,,,,0.300688,,,,,,,,,,,,,80d36d55-326a-43a3-b2d6-040d91ecad36,88,,"[83.0, 3.5]",3930184,3,,,,,0.0,,Right Foot,,,"[85.8, 3.5]",,Ground Pass,,2.8,,Incomplete,,Kenan Yildiz,151813.0,,,,,1,From Throw In,Ferdi Erenay Kadıoğlu,30438.0,Left Back,11,Turkey,909,"['34bdbb32-b04d-46f6-b0ea-63ff6cea4787', 'c2a76d77-004a-4388-9d71-0727c233d49c']",1,,,,,,,,,,,,,,,,,Turkey,909,00:03:01.468,Pass,,,,,83.0,3.5,85.8,3.5,Czech Republic vs Turkey,Czech Republic,Turkey
,,,,,,,,,,,,,,,,,,1.679941,,,,,,,,,,,,,b2676ea8-403e-4bc2-850c-7b5a45632ba9,91,,"[81.7, 0.1]",3930184,3,,,,,0.3983011,,,,,"[101.9, 8.6]",,High Pass,,21.91552,,Incomplete,,Barış Alper Yılmaz,134209.0,,,,Throw-in,1,From Throw In,Ferdi Erenay Kadıoğlu,30438.0,Left Back,12,Turkey,909,"['5f4341e8-ba74-4478-b203-4b06047d38d2', '99565fe1-8701-42ce-98ff-aa0bc812f3dc']",13,,,,,,,,,,,,,,,,,Turkey,909,00:03:13.245,Pass,,,,,81.7,0.1,101.9,8.6,Czech Republic vs Turkey,Czech Republic,Turkey
,,,,,,,,,,,,,,,,,,3.929278,,,,,,,,,,,,,c0680325-dec8-4792-95cf-32156da46e64,95,,"[13.9, 74.1]",3930184,3,,,,,0.030435564,,Right Foot,,,"[56.6, 75.4]",,High Pass,,42.719784,,,,Mojmír Chytil,32985.0,,,,,1,Regular Play,Tomáš Holeš,16469.0,Right Center Back,13,Czech Republic,912,['7ed83080-cd61-43c6-a0f2-4538d6bdeb0f'],15,,,,,,,,,,,,,,,,,Czech Republic,912,00:03:15.852,Pass,,,,,13.9,74.1,56.6,75.4,Czech Republic vs Turkey,Czech Republic,Turkey
,,,,,,,,,,,,,,,,,,1.021786,,,,,,,,,,,,,c66e9209-2e9d-4fd5-82e7-0337a3880aab,101,,"[61.4, 75.7]",3930184,3,,,,,-2.6244247,,Right Foot,,,"[50.5, 69.5]",,Ground Pass,,12.539936,,,,Tomáš Holeš,16469.0,,,,Free Kick,1,From Free Kick,Vladimír Coufal,16570.0,Right Wing Back,14,Czech Republic,912,['2c4c5556-3816-464c-adb7-07c9af878246'],34,,,,,,,,,,,,,,,,,Czech Republic,912,00:03:34.853,Pass,,,,,61.4,75.7,50.5,69.5,Czech Republic vs Turkey,Czech Republic,Turkey
,,,,,,,,,,,,,,,,,,2.552776,,,,,,,,,,,,,5eeb1faa-4116-4613-9253-0ca46e7a7cb7,104,,"[49.8, 69.2]",3930184,3,,,,,-2.000843,,Right Foot,,,"[38.7, 45.0]",,Ground Pass,,26.624237,,,,Robin Hranáč,81330.0,,,,,1,From Free Kick,Tomáš Holeš,16469.0,Right Center Back,14,Czech Republic,912,['aa5c208c-ed30-476b-93eb-ec5e648087fb'],36,,,,,,,,,,,,,,,,,Czech Republic,912,00:03:36.417,Pass,,,,,49.8,69.2,38.7,45.0,Czech Republic vs Turkey,Czech Republic,Turkey
,,,,,,,,,,,,,,,,,,1.179586,,,,,,,,,,,,,0d61be93-6f1a-4c30-a77f-997abf2bc8fb,106,,"[38.7, 44.1]",3930184,3,,,,,-1.7561443,,Right Foot,,,"[35.1, 24.9]",,Ground Pass,,19.534584,,,,Ladislav Krejčí,28272.0,,,,,1,From Free Kick,Robin Hranáč,81330.0,Center Back,14,Czech Republic,912,['7d0c0479-16a1-47ab-a260-adac858c7fc8'],38,,,,,,,,,,,,,,,,,Czech Republic,912,00:03:38.970,Pass,,,,,38.7,44.1,35.1,24.9,Czech Republic vs Turkey,Czech Republic,Turkey
,,,,,,,,,,,,,,,,,,3.561194,,,,,,,,,,,,,ad840dfb-5fdc-45ca-ac8e-59e1cb14a27c,109,,"[32.6, 24.6]",3930184,3,,,,,1.6771474,,Left Foot,,,"[27.7, 70.5]",,Ground Pass,,46.160805,,,,Tomáš Holeš,16469.0,,True,,,1,From Free Kick,Ladislav Krejčí,28272.0,Left Center Back,14,Czech Republic,912,['f8e34bd7-f693-4db8-bcb9-e3f53731f2b8'],42,,,,,,,,,,,,,,,,,Czech Republic,912,00:03:42.109,Pass,,,,,32.6,24.6,27.7,70.5,Czech Republic vs Turkey,Czech Republic,Turkey
