50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,team,team_id,timestamp,type,under_pressure,tactics.formation,tactics.lineup,tactics,50_50.outcome.id,50_50.outcome.name,x,y,end_x,end_y,match_name,home_team,away_team
,,,,,,"[42.8, 5.2]",,,,,,,,,,,,0.619914,,,,,,,,,,,,2e991d0f-5f8e-48b0-8913-2bb2bacf9449,2762,,,"[42.4, 5.8]",3930169,84,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Michel Aebischer,16016.0,Left Wing Back,161,Switzerland,773,"['6d812af1-d430-4001-982b-9180719ca228', '6f87d265-ca65-47fa-a986-c9bd2272bc07', '75cc77e0-5895-4374-ba8d-8fe8404fc08d', 'e6833bf3-b4b6-49bf-94bf-a806b50df589']",8,,,,,,,,,,,,,,,,Switzerland,773,00:39:08.438,Carry,True,,,,,,42.4,5.8,42.8,5.2,Scotland vs Switzerland,Scotland,Switzerland
,,,,,,"[55.4, 74.4]",,,,,,,,,,,,2.8741,,,,,,,,,,,,d1d7fda3-10c6-4f28-a23a-07c003d4b5e0,2774,,,"[38.2, 57.1]",3930169,84,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Fabian Lukas Schär,5537.0,Right Center Back,162,Switzerland,773,"['16dbe7e1-fbf6-4515-bfc4-0f6ce76bf25f', '82fc0f6b-1ac7-4ab4-bdde-07edf6e9bc73', 'c7c4fba8-1d38-435b-807a-3c68bf1a5acc']",33,,,,,,,,,,,,,,,,Switzerland,773,00:39:33.694,Carry,True,,,,,,38.2,57.1,55.4,74.4,Scotland vs Switzerland,Scotland,Switzerland
,,,,,,"[6.7, 23.6]",,,,,,,,,,,,0.08,,,,,,,,,,,,b9a468c3-d1d8-43f2-8521-49b71d32b310,2784,,,"[6.1, 24.1]",3930169,84,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Angus Gunn,22379.0,Goalkeeper,163,Scotland,942,"['103b6534-d584-451e-858e-9a56dbd2493b', '92481a94-97bc-45b7-b668-5bb1b923f774', 'ef112f85-4dca-48b6-99ea-748af8e2aa55']",43,,,,,,,,,,,,,,,,Scotland,942,00:39:43.246,Carry,True,,,,,,6.1,24.1,6.7,23.6,Scotland vs Switzerland,Scotland,Switzerland
,,,,,,"[52.6, 44.1]",,,,,,,,,,,,2.419139,,,,,,,,,,,,5985f979-7e32-4f96-93a2-584c4a1f662c,2789,,,"[56.9, 59.7]",3930169,84,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Che Adams,9466.0,Right Center Forward,163,Scotland,942,"['252c2ad0-beac-4e9a-9885-e622779d04e9', '75c593cf-0e49-414c-a198-94ff7e108e74', 'e50bfd70-80e8-4f22-8917-c4fdb9dbbb7a']",47,,,,,,,,,,,,,,,,Scotland,942,00:39:47.868,Carry,True,,,,,,56.9,59.7,52.6,44.1,Scotland vs Switzerland,Scotland,Switzerland
,,,,,,"[52.6, 44.1]",,,,,,,,,,,,0.08,,,,,,,,,,,,589282ab-9fd6-442c-a5e5-b55f41a500a8,2793,,,"[52.6, 44.1]",3930169,84,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Che Adams,9466.0,Right Center Forward,163,Scotland,942,"['252c2ad0-beac-4e9a-9885-e622779d04e9', '2a5ad1cd-6c96-4b90-a92c-db57a585b9aa', '75c593cf-0e49-414c-a198-94ff7e108e74', 'e5a1d347-f2d2-4fc2-9afe-fd10306802d9']",50,,,,,,,,,,,,,,,,Scotland,942,00:39:50.287,Carry,True,,,,,,52.6,44.1,52.6,44.1,Scotland vs Switzerland,Scotland,Switzerland
,,,,,,"[48.1, 46.6]",,,,,,,,,,,,0.08,,,,,,,,,,,,850b36b7-3f37-4f4f-ad10-95ccb902951e,2796,,,"[48.1, 46.6]",3930169,84,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Callum McGregor,10534.0,Left Defensive Midfield,163,Scotland,942,"['c178ddca-eafc-4ade-aadb-a83ac63abfbb', 'd7fd6553-ee94-4022-9ef0-97741c2f7097']",51,,,,,,,,,,,,,,,,Scotland,942,00:39:51.121,Carry,,,,,,,48.1,46.6,48.1,46.6,Scotland vs Switzerland,Scotland,Switzerland
,,,,,,"[44.4, 65.5]",,,,,,,,,,,,0.384417,,,,,,,,,,,,be9d7f23-99f4-4a25-91e3-03aadf4ac409,2799,,,"[44.4, 65.5]",3930169,84,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Kenneth McLean,9478.0,Right Defensive Midfield,163,Scotland,942,"['267fbfd7-fd2f-4f31-a517-590398fbdfb6', 'ce614ef1-bb69-4e59-ae91-67ac79ec5019']",52,,,,,,,,,,,,,,,,Scotland,942,00:39:52.649,Carry,,,,,,,44.4,65.5,44.4,65.5,Scotland vs Switzerland,Scotland,Switzerland
,,,,,,"[62.9, 77.6]",,,,,,,,,,,,0.822162,,,,,,,,,,,,8f06a5ee-73c8-4f8d-a66d-ab03141237ef,2802,,,"[59.6, 75.7]",3930169,84,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Anthony Ralston,22308.0,Right Wing Back,163,Scotland,942,"['4f8f018b-70eb-48e1-bb3a-c77f336eeeb8', '70309ff5-114d-45a6-ad4e-5abbc5563540']",54,,,,,,,,,,,,,,,,Scotland,942,00:39:54.588,Carry,,,,,,,59.6,75.7,62.9,77.6,Scotland vs Switzerland,Scotland,Switzerland
,,,,,,"[56.1, 69.2]",,,,,,,,,,,,2.129659,,,,,,,,,,,,8aaf0f93-c164-4299-9c47-60ad486cedd9,2805,,,"[53.5, 72.6]",3930169,84,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Kenneth McLean,9478.0,Right Defensive Midfield,163,Scotland,942,"['04baaf8f-54d8-4a45-a190-e7263d3fb223', '5c25e57b-29fb-4267-878a-e8e66fd205ae']",57,,,,,,,,,,,,,,,,Scotland,942,00:39:57.012,Carry,,,,,,,53.5,72.6,56.1,69.2,Scotland vs Switzerland,Scotland,Switzerland
,,,,,,"[63.5, 37.6]",,,,,,,,,,,,1.450119,,,,,,,,,,,,5dcce34c-6d9c-4b3b-999e-1743b2bae318,2808,,,"[59.0, 42.5]",3930169,85,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Che Adams,9466.0,Right Center Forward,163,Scotland,942,"['58a77fb4-5a44-4025-a761-8ea78b772d2c', '65952678-c3e7-4610-9e3a-e83e09298fb8', 'd6914dee-def0-46d4-9c90-b2a9ff408042']",0,,,,,,,,,,,,,,,,Scotland,942,00:40:00.434,Carry,True,,,,,,59.0,42.5,63.5,37.6,Scotland vs Switzerland,Scotland,Switzerland
,,,,,,"[84.5, 59.9]",,,,,,,,,,,,1.759281,,,,,,,,,,,,e187c66c-7b32-4cfd-8151-73c733a9dc9a,2819,,,"[89.8, 62.8]",3930169,86,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Kenneth McLean,9478.0,Right Defensive Midfield,164,Scotland,942,"['394bd43e-34d3-4db9-a621-d1c0a828c749', 'b99bd9f8-d83e-4031-9783-0174bb21931b', 'c2fa3dfb-69da-457b-a60d-ba49854ba595']",1,,,,,,,,,,,,,,,,Scotland,942,00:41:01.673,Carry,True,,,,,,89.8,62.8,84.5,59.9,Scotland vs Switzerland,Scotland,Switzerland
,,,,,,"[84.8, 22.4]",,,,,,,,,,,,1.277534,,,,,,,,,,,,c49d0380-e219-4f32-b2e0-f1de406cebfe,2823,,,"[84.8, 22.4]",3930169,86,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,John McGinn,9974.0,Left Center Forward,164,Scotland,942,"['7d90027a-f066-47c4-ab2f-200a51db5bb7', 'af509054-10d6-4368-8609-45e03adb72e7']",5,,,,,,,,,,,,,,,,Scotland,942,00:41:05.240,Carry,,,,,,,84.8,22.4,84.8,22.4,Scotland vs Switzerland,Scotland,Switzerland
,,,,,,"[115.9, 60.9]",,,,,,,,,,,,0.934034,,,,,,,,,,,,00f3a1fb-776b-449f-b4d7-ce2c93bfd650,2829,,,"[116.1, 61.4]",3930169,86,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Anthony Ralston,22308.0,Right Wing Back,164,Scotland,942,"['172e3148-cf80-4b13-95a1-246503d36efb', 'b9089db0-88cc-47f5-8543-96ca86c68995']",9,,,,,,,,,,,,,,,,Scotland,942,00:41:09.979,Carry,,,,,,,116.1,61.4,115.9,60.9,Scotland vs Switzerland,Scotland,Switzerland
,,,,,,"[98.5, 60.6]",,,,,,,,,,,,1.430215,,,,,,,,,,,,055942dd-e510-4f39-9769-d9719d51f0de,2832,,,"[97.7, 62.4]",3930169,86,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Kenneth McLean,9478.0,Right Defensive Midfield,164,Scotland,942,"['0e6a78fd-4be0-434d-9dbd-5116d9014155', '2b089219-0b39-48ba-b7e1-1ba6f92354f0', '63842f94-1468-4522-921a-879aebb6dff7']",12,,,,,,,,,,,,,,,,Scotland,942,00:41:12.519,Carry,True,,,,,,97.7,62.4,98.5,60.6,Scotland vs Switzerland,Scotland,Switzerland
,,,,,,"[35.9, 41.4]",,,,,,,,,,,,7.391543,,,,,,,,,,,,ddda238e-7dd2-44d4-9234-d181d0dcd743,2838,,,"[18.6, 43.6]",3930169,86,,,,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,Manuel Obafemi Akanji,5549.0,Center Back,166,Switzerland,773,"['4ff56f07-7cde-4a51-9fba-388744600bf3', 'e9a2506b-e12e-4915-8228-7321630b3ef5']",25,,,,,,,,,,,,,,,,Switzerland,773,00:41:25.310,Carry,,,,,,,18.6,43.6,35.9,41.4,Scotland vs Switzerland,Scotland,Switzerland
,,,,,,"[43.3, 54.9]",,,,,,,,,,,,0.846609,,,,,,,,,,,,ad90fab9-c895-4177-a64c-38c040f737bf,2841,,,"[43.3, 54.9]",3930169,86,,,,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,Vincent Sierro,11457.0,Right Defensive Midfield,166,Switzerland,773,"['53ecce1f-472c-4c17-9aad-176e6e726c1b', '75b28d87-ad50-4758-bff2-ad839de2e70b']",33,,,,,,,,,,,,,,,,Switzerland,773,00:41:33.772,Carry,,,,,,,43.3,54.9,43.3,54.9,Scotland vs Switzerland,Scotland,Switzerland
,,,,,,"[50.2, 60.8]",,,,,,,,,,,,0.161457,,,,,,,,,,,,4142c1c1-2dcb-4b0d-9b08-d4482904194d,2846,,,"[49.2, 61.0]",3930169,86,,,,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,Breel-Donald Embolo,5545.0,Center Forward,166,Switzerland,773,"['1132ae72-2c61-4e37-91ac-18d3a2a09e57', '1db3960d-14f1-4de2-a565-fcab8e6cd880', 'acf93b06-a686-4225-bcfc-371cdffa4b14', 'dcb2d5a6-d5be-4863-a50f-27c021c274a5', 'ef7fb436-eee7-40fd-8d31-f885da2db888']",35,,,,,,,,,,,,,,,,Switzerland,773,00:41:35.353,Carry,True,,,,,,49.2,61.0,50.2,60.8,Scotland vs Switzerland,Scotland,Switzerland
,,,,,,"[50.2, 54.3]",,,,,,,,,,,,1.365552,,,,,,,,,,,,7f5b2afc-f4d7-4527-be77-f6978b3234b5,2849,,,"[50.2, 60.8]",3930169,86,,,,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,Breel-Donald Embolo,5545.0,Center Forward,166,Switzerland,773,"['1132ae72-2c61-4e37-91ac-18d3a2a09e57', 'c19d775f-6a14-4cdb-b103-5c9e11744fe1', 'dcb2d5a6-d5be-4863-a50f-27c021c274a5']",35,,,,,,,,,,,,,,,,Switzerland,773,00:41:35.514,Carry,True,,,,,,50.2,60.8,50.2,54.3,Scotland vs Switzerland,Scotland,Switzerland
,,,,,,"[70.1, 24.9]",,,,,,,,,,,,2.200328,,,,,,,,,,,,71043766-f5dd-405b-b84a-dc0647ed92a3,2852,,,"[70.4, 26.5]",3930169,86,,,,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,Granit Xhaka,3500.0,Left Defensive Midfield,166,Switzerland,773,"['2ed23329-e1a3-434d-9693-ece79ab53b3f', '7de9bf30-3b80-41c3-9444-aeb9c6941cee', 'c25872ac-1cf3-4b97-bebc-dd4c0cb33f26']",37,,,,,,,,,,,,,,,,Switzerland,773,00:41:37.112,Carry,True,,,,,,70.4,26.5,70.1,24.9,Scotland vs Switzerland,Scotland,Switzerland
,,,,,,"[92.1, 40.9]",,,,,,,,,,,,0.726604,,,,,,,,,,,,0b72200d-3e0f-4478-b16b-51f616f5ec50,2857,,,"[90.7, 34.5]",3930169,86,,,,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,Mohamed Zeki Amdouni,48335.0,Left Wing,166,Switzerland,773,"['27253a79-d7c7-405f-b1fd-1c9931b0e289', 'a3954ff5-2fc5-4577-843e-f303f8d032a4', 'ad445fcf-cb46-43d9-a585-d42ffa9dab88']",40,,,,,,,,,,,,,,,,Switzerland,773,00:41:40.675,Carry,True,,,,,,90.7,34.5,92.1,40.9,Scotland vs Switzerland,Scotland,Switzerland
,,,,,,"[43.4, 14.8]",,,,,,,,,,,,1.854643,,,,,,,,,,,,27a111ac-0c0d-4d01-a59a-b534115f5813,2867,,,"[42.3, 22.9]",3930169,86,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Callum McGregor,10534.0,Left Defensive Midfield,167,Scotland,942,"['2fa720cf-822e-4458-b73b-4bc6e82a407a', '557ca1d2-9494-4bc5-ab67-22771c347c23', '7ac803cb-2bcb-4edc-957d-e524f3a5b41f']",49,,,,,,,,,,,,,,,,Scotland,942,00:41:49.877,Carry,True,,,,,,42.3,22.9,43.4,14.8,Scotland vs Switzerland,Scotland,Switzerland
,,,,,,"[35.2, 8.2]",,,,,,,,,,,,0.039999,,,,,,,,,,,,2f24ae45-b443-4e79-a14e-ae0ae24eeab0,2871,,,"[35.2, 8.2]",3930169,86,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Andrew Robertson,3655.0,Left Wing Back,167,Scotland,942,"['2810a25e-7359-4a1a-8e32-90bd47cad826', 'e1d179c6-35ab-4c42-8077-1072e7cb4a3e']",52,,,,,,,,,,,,,,,,Scotland,942,00:41:52.678,Carry,,,,,,,35.2,8.2,35.2,8.2,Scotland vs Switzerland,Scotland,Switzerland
,,,,,,"[78.7, 73.5]",,,,,,,,,,,,2.613522,,,,,,,,,,,,a415d3f7-5d79-4888-b3e4-98ef7698c3ae,2877,,,"[63.0, 71.2]",3930169,86,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Fabian Lukas Schär,5537.0,Right Center Back,168,Switzerland,773,"['08cf8276-9ea1-4b97-872c-3669417ae81e', '19b3e0c1-e9ba-4f16-bfcb-b688a3b7df65', '983aa098-c898-4b6c-bfbf-1175ae5d6fba']",54,,,,,,,,,,,,,,,,Switzerland,773,00:41:54.867,Carry,True,,,,,,63.0,71.2,78.7,73.5,Scotland vs Switzerland,Scotland,Switzerland
,,,,,,"[70.1, 69.6]",,,,,,,,,,,,0.488289,,,,,,,,,,,,dee82444-35bb-44be-aa84-f85e41bae177,2886,,,"[71.0, 69.6]",3930169,87,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Fabian Rieder,50436.0,Right Wing,168,Switzerland,773,"['598d178a-b8f2-4443-a587-a850be49946d', '91dc124e-161c-4201-bf60-71a954dd960e', 'f5797946-423f-4edc-9c25-267292dd59e0']",1,,,,,,,,,,,,,,,,Switzerland,773,00:42:01.027,Carry,True,,,,,,71.0,69.6,70.1,69.6,Scotland vs Switzerland,Scotland,Switzerland
,,,,,,"[57.0, 70.4]",,,,,,,,,,,,0.861523,,,,,,,,,,,,e483d188-7a6e-4fb0-b674-4f63a66cf814,2889,,,"[63.2, 70.1]",3930169,87,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Leonidas Stergiou,29227.0,Right Wing Back,168,Switzerland,773,"['eeb1ba60-eb61-4837-a25e-006656c13727', 'f20cdf3e-642b-4f85-933d-0b0e1489c393']",1,,,,,,,,,,,,,,,,Switzerland,773,00:42:01.987,Carry,,,,,,,63.2,70.1,57.0,70.4,Scotland vs Switzerland,Scotland,Switzerland
,,,,,,"[50.5, 54.3]",,,,,,,,,,,,9.845721,,,,,,,,,,,,346ab0c2-a0e3-495c-be12-c43fba860ca4,2892,,,"[47.6, 61.4]",3930169,87,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Manuel Obafemi Akanji,5549.0,Center Back,168,Switzerland,773,"['2dd4f061-fc0f-47d0-a07a-62a5d2dfe4ff', 'f136d882-3af3-436c-898e-b662d7c45f8a']",4,,,,,,,,,,,,,,,,Switzerland,773,00:42:04.032,Carry,,,,,,,47.6,61.4,50.5,54.3,Scotland vs Switzerland,Scotland,Switzerland
