50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,team,team_id,timestamp,type,under_pressure,tactics.formation,tactics.lineup,tactics,50_50.outcome.id,50_50.outcome.name,x,y,end_x,end_y,match_name,home_team,away_team
,,,,,,,,,,,,,,,,,,3.217062,,,,,,,,,,,,,,14c8dd0f-f43c-4f2e-904a-5aacc54b7c4f,3177,,,"[63.9, 19.5]",3930172,74,,,,,1.3496035,,Left Foot,,,"[77.1, 78.2]",High Pass,,60.165855,,,Daniel Carvajal Ramos,5721.0,,True,,,,2,From Goal Kick,Aymeric Laporte,4353.0,Left Center Back,121,Spain,772,['fe896ebe-f10b-44a3-b07a-87dc05d43137'],27,,,,,,,,,,,,,,,,,,Spain,772,00:29:27.981,Pass,,,,,,,63.9,19.5,77.1,78.2,Spain vs Italy,Spain,Italy
,,,,,,,,,,,,,,,,,,1.268437,,,,,,,,,,,,,,71aad060-5689-4b6e-9fbc-bb9cedc4161e,3186,,,"[48.6, 53.1]",3930172,74,,,,,2.8492453,,Right Foot,,,"[38.3, 56.2]",Ground Pass,,10.756393,,,Robin Aime Robert Le Normand,22128.0,,,,,,2,From Goal Kick,Daniel Carvajal Ramos,5721.0,Right Back,121,Spain,772,['deec0796-165d-49b4-a308-540eeb05edb4'],37,,,,,,,,,,,,,,,,,,Spain,772,00:29:37.750,Pass,,,,,,,48.6,53.1,38.3,56.2,Spain vs Italy,Spain,Italy
,,,,,,,,,,,,,,,,,,1.548773,,,,,,,,,,,,,,7a1cec83-ed0f-49d0-8064-41a7b17dd025,3189,,,"[38.3, 56.2]",3930172,74,,,,,-1.648898,,Right Foot,,,"[35.6, 21.7]",Ground Pass,,34.60549,,,Aymeric Laporte,4353.0,,,,,,2,From Goal Kick,Robin Aime Robert Le Normand,22128.0,Right Center Back,121,Spain,772,['36c9a9fd-dc72-4212-a76d-aba0e14114c0'],39,,,,,,,,,,,,,,,,,,Spain,772,00:29:39.059,Pass,,,,,,,38.3,56.2,35.6,21.7,Spain vs Italy,Spain,Italy
,,,,,,,,,,,,,,,,,,1.042524,,,,,,,,,,,,,,03e94b03-a6e4-497d-b109-d66631d39c67,3192,,,"[37.0, 19.7]",3930172,74,,,,,-0.92286557,,Left Foot,,,"[47.9, 5.3]",Ground Pass,,18.060177,,,Marc Cucurella Saseta,17620.0,,,,,,2,From Goal Kick,Aymeric Laporte,4353.0,Left Center Back,121,Spain,772,['a2cfc1d9-cacf-4cf3-90e7-e1aef088d21f'],42,,,,,,,,,,,,,,,,,,Spain,772,00:29:42.294,Pass,,,,,,,37.0,19.7,47.9,5.3,Spain vs Italy,Spain,Italy
,,,,,,,,,,,,,,,,,,0.94662,,,,,,,,,,,,,,38e7accf-7c60-41a1-a6a8-865d6dba1656,3195,,,"[54.3, 3.3]",3930172,74,,,,,0.57852423,,Left Foot,,,"[69.0, 12.9]",Ground Pass,,17.55705,,,Nicholas Williams Arthuer,68574.0,,,,,,2,From Goal Kick,Marc Cucurella Saseta,17620.0,Left Back,121,Spain,772,['9ad9bc71-843e-44f5-9be3-6feae2838db3'],44,,,,,,,,,,,,,,,,,,Spain,772,00:29:44.755,Pass,,,,,,,54.3,3.3,69.0,12.9,Spain vs Italy,Spain,Italy
,,,,,,,,,,,,,,,,,,2.134818,,,,,,,,,,,,,,e404d5f0-ad4d-4b28-bb0e-1ed7859ed5d7,3202,,,"[39.9, 80.0]",3930172,74,,,,,-2.70248,,,,,"[20.1, 70.7]",Low Pass,,21.875328,,,Alessandro Bastoni,7480.0,,,,,Throw-in,2,From Throw In,Giovanni Di Lorenzo,11514.0,Right Back,122,Italy,914,['cd9d8a61-658f-428f-a2ed-7fe4c9030df0'],51,,,,,,,,,,,,,,,,,,Italy,914,00:29:51.005,Pass,,,,,,,39.9,80.0,20.1,70.7,Spain vs Italy,Spain,Italy
,,,,,,,,,,,,,,,,,,2.016239,,,,,,,,,,,,,,f0083690-d367-4943-b205-3ff5dc2592f5,3205,,,"[15.2, 68.8]",3930172,74,,,,,-1.9440477,,Left Foot,,,"[4.0, 40.2]",Ground Pass,,30.714817,,,Gianluigi Donnarumma,7036.0,,,,,,2,From Throw In,Alessandro Bastoni,7480.0,Right Center Back,122,Italy,914,['49fa0de8-278a-4aff-9bb1-e5652d930764'],54,,,,,,,,,,,,,,,,,,Italy,914,00:29:54.250,Pass,,,,,,,15.2,68.8,4.0,40.2,Spain vs Italy,Spain,Italy
,,,,,,,,,,,,,,,,,,1.565309,,,,,,,,,,,,,,5e7f435b-0012-4f37-bd91-f521ec0f6537,3209,,,"[3.4, 39.9]",3930172,74,,,,,-1.1234642,,Right Foot,,,"[11.7, 22.6]",Ground Pass,,19.188017,,,Riccardo Calafiori,41768.0,,,,,,2,From Throw In,Gianluigi Donnarumma,7036.0,Goalkeeper,122,Italy,914,"['bf42e875-521b-42b6-92e6-887eaa11ad6a', 'c779aba5-357d-48a0-981b-edc77415b3fb']",56,,,,,,,,,,,,,,,,,,Italy,914,00:29:56.962,Pass,True,,,,,,3.4,39.9,11.7,22.6,Spain vs Italy,Spain,Italy
,,,,,,,,,,,,,,,,,,1.468705,,,,,,,,,,,,,,7bc23726-51f0-4ee5-8a23-e5f99d166eac,3213,,,"[26.4, 17.9]",3930172,75,,,,,-0.63274884,,Right Foot,,,"[47.4, 2.5]",Ground Pass,,26.041506,,,Federico Dimarco,12255.0,,,,,,2,From Throw In,Riccardo Calafiori,41768.0,Left Center Back,122,Italy,914,"['b898969e-f884-4c73-b634-c3c05605b15c', 'fe0ff536-2311-4500-8e32-7f2fcacf7180']",1,,,,,,,,,,,,,,,,,,Italy,914,00:30:01.161,Pass,True,,,,,,26.4,17.9,47.4,2.5,Spain vs Italy,Spain,Italy
,,,,,,,,,,,,,,,,,,1.123334,,,,,,,,,,,,,,3d2d3329-7c50-4159-9945-daa588279927,3216,,,"[47.3, 2.6]",3930172,75,,,,,-0.076123804,,Left Foot,,,"[59.1, 1.7]",Ground Pass,,11.834272,,,Mattia Zaccagni,8792.0,,,,,,2,From Throw In,Federico Dimarco,12255.0,Left Back,122,Italy,914,['511c4baf-6b14-445a-a699-2dc3d3d9a4e6'],3,,,,,,,,,,,,,,,,,,Italy,914,00:30:03.168,Pass,,,,,,,47.3,2.6,59.1,1.7,Spain vs Italy,Spain,Italy
,,,,,,,,,,,,,,,,,,1.64636,,,,,,,,,,,,,,2906df08-06ff-4617-ab9b-b7fc18efb679,3222,,,"[63.2, 0.1]",3930172,75,,,,,2.9669204,,,,,"[42.8, 3.7]",Low Pass,,20.715212,,,Riccardo Calafiori,41768.0,,,,,Throw-in,2,From Throw In,Federico Dimarco,12255.0,Left Back,123,Italy,914,['8cbaf464-aa82-462f-b80a-34e4d79498a0'],13,,,,,,,,,,,,,,,,,,Italy,914,00:30:13.712,Pass,,,,,,,63.2,0.1,42.8,3.7,Spain vs Italy,Spain,Italy
,,,,,,,,,,,,,,,,,,1.881164,,,,,,,,,,,,,,0a44a060-b7b6-448e-aa68-45d5d564882b,3225,,,"[47.1, 10.7]",3930172,75,,,,,2.0647378,,Left Foot,,,"[34.5, 34.1]",Ground Pass,,26.576681,,,Alessandro Bastoni,7480.0,,,,,,2,From Throw In,Riccardo Calafiori,41768.0,Left Center Back,123,Italy,914,['ab0d378e-dcee-45b9-a45f-e5901dded25d'],17,,,,,,,,,,,,,,,,,,Italy,914,00:30:17.553,Pass,,,,,,,47.1,10.7,34.5,34.1,Spain vs Italy,Spain,Italy
,,,,,,,,,,,,,,,,,,1.725179,,,,,,,,,,,,,,279be5da-a801-423f-95ca-91bf3c1dc9ab,3228,,,"[35.7, 36.6]",3930172,75,,,,,1.2726197,,Left Foot,,,"[42.4, 58.4]",Ground Pass,,22.806358,,,Giovanni Di Lorenzo,11514.0,,,,,,2,From Throw In,Alessandro Bastoni,7480.0,Right Center Back,123,Italy,914,['23871060-244c-4888-ba90-6f98bbd3ff49'],21,,,,,,,,,,,,,,,,,,Italy,914,00:30:21.608,Pass,,,,,,,35.7,36.6,42.4,58.4,Spain vs Italy,Spain,Italy
,,,,,,,,,,,,,,,,,,1.23586,,,,,,,,,,,,,,e7ac5234-d0df-4da7-af9e-9e4eff1d2e45,3231,,,"[42.5, 60.4]",3930172,75,,,,,0.87377495,,Right Foot,,,"[53.3, 73.3]",Ground Pass,,16.82409,,,Andrea Cambiaso,50729.0,,,,,,2,From Throw In,Giovanni Di Lorenzo,11514.0,Right Back,123,Italy,914,['c097d682-22eb-4b71-9b00-c32c4ac7ed8b'],24,,,,,,,,,,,,,,,,,,Italy,914,00:30:24.554,Pass,,,,,,,42.5,60.4,53.3,73.3,Spain vs Italy,Spain,Italy
,,,,,,,,,,,,,,,,,,0.093195,,,,,,,,,,,,,,fa964515-e233-4ffb-b67d-9083a95736ab,3234,,,"[50.5, 71.5]",3930172,75,,,,,-2.6671927,,Left Foot,,,"[46.8, 69.6]",Ground Pass,,4.159327,,Incomplete,Giovanni Di Lorenzo,11514.0,,,,,,2,From Throw In,Andrea Cambiaso,50729.0,Right Wing,123,Italy,914,"['07a5f842-0e33-4255-aff4-85cc9ac16d3a', 'ec3aa0cd-a9f3-47a5-9ad6-2cb865dc7f68']",26,,,,,,,,,,,,,,,,,,Italy,914,00:30:26.629,Pass,,,,,,,50.5,71.5,46.8,69.6,Spain vs Italy,Spain,Italy
,,,,,,,,,,,,,,,,,,0.93777,,,,,,,,,,,,,,dfa67628-2310-4a79-bb0b-a10a72ad0ae0,3237,,,"[48.6, 80.0]",3930172,75,,,,,-1.3549155,,,,,"[51.1, 68.6]",Low Pass,,11.670904,,,Andrea Cambiaso,50729.0,,,,,Throw-in,2,From Throw In,Giovanni Di Lorenzo,11514.0,Right Back,124,Italy,914,['534f4481-e04b-4592-a0b4-7d2d443d71c0'],36,,,,,,,,,,,,,,,,,,Italy,914,00:30:36.492,Pass,,,,,,,48.6,80.0,51.1,68.6,Spain vs Italy,Spain,Italy
,,,,,,,,,,,,,,,,,,1.137739,,,,,,,,,,,,,,e3202e1d-1076-45a9-9e7a-6dd1d091886b,3241,,,"[51.1, 70.0]",3930172,75,,,,,2.718282,,Left Foot,,,"[42.0, 74.1]",Ground Pass,,9.980982,,,Giovanni Di Lorenzo,11514.0,,,,,,2,From Throw In,Andrea Cambiaso,50729.0,Right Wing,124,Italy,914,"['2bcba140-2af0-4195-9ef6-1e5b8bc21951', '86d9eeb7-7a9e-407e-a38d-19b4013e1069']",37,,,,,,,,,,,,,,,,,,Italy,914,00:30:37.880,Pass,True,,,,,,51.1,70.0,42.0,74.1,Spain vs Italy,Spain,Italy
,,,,,,,,,,,,,,,,,,1.768323,,,,,,,,,,,,,,7912e742-5ef1-49a9-9a02-9dff6b24565f,3244,,,"[40.4, 71.2]",3930172,75,,,,,-3.0315418,,Right Foot,,,"[22.3, 69.2]",Ground Pass,,18.210161,,,Alessandro Bastoni,7480.0,,,,,,2,From Throw In,Giovanni Di Lorenzo,11514.0,Right Back,124,Italy,914,['ad22d406-ce8b-4e1b-bd4d-1c4740e5180f'],39,,,,,,,,,,,,,,,,,,Italy,914,00:30:39.812,Pass,,,,,,,40.4,71.2,22.3,69.2,Spain vs Italy,Spain,Italy
,,,,,,,,,,,,,,,,,,2.62815,,,,,,,,,,,,,,74890d77-ec0f-4e75-9318-2d8508d3b295,3247,,,"[23.5, 70.1]",3930172,75,,,,,-2.2659426,,Right Foot,,,"[3.4, 46.0]",Ground Pass,,31.381842,,,Gianluigi Donnarumma,7036.0,,,,,,2,From Throw In,Alessandro Bastoni,7480.0,Right Center Back,124,Italy,914,['4400f888-7260-4ede-9a0a-2abac73320fb'],42,,,,,,,,,,,,,,,,,,Italy,914,00:30:42.642,Pass,,,,,,,23.5,70.1,3.4,46.0,Spain vs Italy,Spain,Italy
,,,,,,,,,,,,,,,,,,1.656801,,,,,,,,,,,,,,6d4f016f-8c6b-4fd3-b958-6497ea3698bb,3250,,,"[9.2, 43.6]",3930172,75,,,,,-1.2712643,,Right Foot,,,"[15.5, 23.2]",Ground Pass,,21.350643,,,Riccardo Calafiori,41768.0,,,,,,2,From Throw In,Gianluigi Donnarumma,7036.0,Goalkeeper,124,Italy,914,['6e37b64f-e4aa-4502-ae22-44a9b76c532f'],46,,,,,,,,,,,,,,,,,,Italy,914,00:30:46.947,Pass,,,,,,,9.2,43.6,15.5,23.2,Spain vs Italy,Spain,Italy
,,,,,,,,,,,,,,,,,,0.937324,,,,,,,,,,,,,,e47b850c-f7ee-417a-af53-b979dc95b2c7,3253,,,"[16.3, 22.6]",3930172,75,,,,,1.1047274,,Left Foot,,,"[24.6, 39.1]",Ground Pass,,18.469976,,,Nicolò Barella,8181.0,,,,,,2,From Throw In,Riccardo Calafiori,41768.0,Left Center Back,124,Italy,914,['ca36eab5-aed2-4a40-a442-646ae9a72a96'],49,,,,,,,,,,,,,,,,,,Italy,914,00:30:49.496,Pass,,,,,,,16.3,22.6,24.6,39.1,Spain vs Italy,Spain,Italy
,,,,,,,,,,,,,,,,,,1.777945,,,,,,,,,,,,,,33d7d219-d615-417c-b289-ca24c01bae37,3257,,,"[23.5, 34.1]",3930172,75,,,,,2.775096,,Right Foot,,,"[3.7, 41.7]",Ground Pass,,21.208488,,,Gianluigi Donnarumma,7036.0,,,,,,2,From Throw In,Nicolò Barella,8181.0,Center Defensive Midfield,124,Italy,914,"['463302f0-8b7b-4374-ba1c-c2e7343bbe49', '4e6ba7e9-0905-4b00-b9ef-565af04682f8']",51,,,,,,,,,,,,,,,,,,Italy,914,00:30:51.078,Pass,True,,,,,,23.5,34.1,3.7,41.7,Spain vs Italy,Spain,Italy
,,,,,,,,,,,,,,,,,,1.77163,,,,,,,,,,,,,,20c4d0bb-e816-420c-b547-499b9bb7b845,3259,,,"[3.7, 41.7]",3930172,75,,,,,0.59197086,,Right Foot,,,"[21.1, 53.4]",Ground Pass,,20.967833,,,Alessandro Bastoni,7480.0,,,,,,2,From Throw In,Gianluigi Donnarumma,7036.0,Goalkeeper,124,Italy,914,['3b0a71a4-e7f0-475c-901e-3a7701a137e2'],52,,,,,,,,,,,,,,,,,,Italy,914,00:30:52.856,Pass,,,,,,,3.7,41.7,21.1,53.4,Spain vs Italy,Spain,Italy
,,,,,,,,,,,,,,,,,,0.022152,,,,,,,,,,,,,,daa433eb-59a9-47ec-bc56-888c295e7010,3262,,,"[21.2, 56.4]",3930172,75,,,,,0.0,,Right Foot,,,"[23.6, 56.4]",Ground Pass,,2.4,,Incomplete,Nicolò Barella,8181.0,,,,,,2,From Throw In,Alessandro Bastoni,7480.0,Right Center Back,124,Italy,914,"['3f7251a0-bd3d-43d4-9ebf-03481e798620', '983760ee-0cc8-4bac-96c8-ddc3cbd18dc0']",54,,,,,,,,,,,,,,,,,,Italy,914,00:30:54.628,Pass,,,,,,,21.2,56.4,23.6,56.4,Spain vs Italy,Spain,Italy
,,,,,,,,,,,,,,,,,,1.233707,,,,,,,,,,,,,,bf7bf167-4745-404f-9ba2-6eb75efb4b63,3267,,,"[111.5, 15.0]",3930172,75,,,,,2.3887033,,Right Foot,,,"[98.8, 26.9]",Ground Pass,,17.404022,,,Fabián Ruiz Peña,6655.0,,,,,,2,Regular Play,Nicholas Williams Arthuer,68574.0,Left Wing,125,Spain,772,['7f33ae52-28c2-4a0d-93f4-4b99a3d492ab'],59,,,,,,,,,,,,,,,,,,Spain,772,00:30:59.755,Pass,,,,,,,111.5,15.0,98.8,26.9,Spain vs Italy,Spain,Italy
,,,,,,,,,,,,,,,,,,1.17252,,,,,,,,,,,,,,d0bc60e3-8a7c-44e5-8012-53fa3faa4d6a,3273,,,"[91.4, 24.6]",3930172,76,,,,,-0.7817618,,Left Foot,,,"[105.2, 10.9]",Ground Pass,,19.445564,,,Nicholas Williams Arthuer,68574.0,,,,,,2,Regular Play,Fabián Ruiz Peña,6655.0,Left Defensive Midfield,125,Spain,772,['d07f83c1-f7e8-4210-a85a-79b382b82f3d'],3,,,,,,,,,,,,,,,,,,Spain,772,00:31:03.618,Pass,,,,,,,91.4,24.6,105.2,10.9,Spain vs Italy,Spain,Italy
,,,,,,,,,,,,,,,,,,1.349136,,,,,,,,,,,,,,620589a1-9b88-4bd2-b74a-2546d9a94d75,3276,,,"[109.9, 12.9]",3930172,76,,,,,-2.8477232,,Left Foot,,,"[94.7, 8.3]",Ground Pass,,15.880806,,,Marc Cucurella Saseta,17620.0,,,,,,2,Regular Play,Nicholas Williams Arthuer,68574.0,Left Wing,125,Spain,772,['796f7d56-0218-4b1a-a5cf-cc16987da704'],8,,,,,,,,,,,,,,,,,,Spain,772,00:31:08.087,Pass,,,,,,,109.9,12.9,94.7,8.3,Spain vs Italy,Spain,Italy
,,,,,,,,,,,,,,,,,,0.662165,,,,,,,,,,,,,,74030fd0-c0df-4e67-8b0e-94ff4be96136,3279,,,"[92.6, 8.8]",3930172,76,,,,,1.6539376,,Left Foot,,,"[92.0, 16.0]",Ground Pass,,7.2249565,,,Fabián Ruiz Peña,6655.0,,,,,,2,Regular Play,Marc Cucurella Saseta,17620.0,Left Back,125,Spain,772,['bbffecd3-0644-4856-9879-e0d36b979feb'],10,,,,,,,,,,,,,,,,,,Spain,772,00:31:10.379,Pass,,,,,,,92.6,8.8,92.0,16.0,Spain vs Italy,Spain,Italy
,,,,,,,,,,,,,,,,,,1.235706,,,,,,,,,,,,,,1aeabdb6-4308-4383-9092-45ab13bc9a18,3282,,,"[92.0, 16.2]",3930172,76,,,,,-1.2522407,,Right Foot,,,"[95.1, 6.8]",Ground Pass,,9.89798,,,Marc Cucurella Saseta,17620.0,,,,,,2,Regular Play,Fabián Ruiz Peña,6655.0,Left Defensive Midfield,125,Spain,772,['234a1983-a7c3-408f-8a66-70ef52c05395'],11,,,,,,,,,,,,,,,,,,Spain,772,00:31:11.122,Pass,,,,,,,92.0,16.2,95.1,6.8,Spain vs Italy,Spain,Italy
