50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,team,team_id,timestamp,type,under_pressure,tactics.formation,tactics.lineup,tactics,50_50.outcome.id,50_50.outcome.name,x,y,end_x,end_y,match_name,home_team,away_team
,,,,,,,,,,,,,,,,1.242844,,,,,,,,,,,,f6ee9cc9-f557-4a74-a991-db21bd27b8ee,18,,,"[33.3, 30.5]",3941019,0,,,,-1.2264366,,Right Foot,,,"[41.8, 6.8]",Ground Pass,,25.178165,,,Theo Bernard François Hernández,6704.0,,,,,,1,From Kick Off,William Saliba,17592.0,Left Center Back,2,France,771,['13b09d98-88e7-4914-a82a-10547ca8b198'],10,,,,,,,,,,,,,,,,France,771,00:00:10.296,Pass,,,,,,,33.3,30.5,41.8,6.8,France vs Belgium,France,Belgium
,,,,,,,,,,,,,,,,0.979854,,,,,,,,,,,,52440d58-57d1-4b89-a8b4-d23985a07f2f,21,,,"[45.1, 4.9]",3941019,0,,,,-0.046598367,,Left Foot,,,"[64.4, 4.0]",Ground Pass,,19.320972,,,Kylian Mbappé Lottin,3009.0,,,,,,1,From Kick Off,Theo Bernard François Hernández,6704.0,Left Back,2,France,771,['ba395f28-20db-436d-a077-4437a82e00a8'],13,,,,,,,,,,,,,,,,France,771,00:00:13.228,Pass,,,,,,,45.1,4.9,64.4,4.0,France vs Belgium,France,Belgium
,,,,,,,,,,,,,,,,1.42519,,,,,,,,,,,,912507c9-e85b-41bb-9c0f-7408fcf59566,24,,,"[63.6, 4.2]",3941019,0,,,,3.1278949,,Right Foot,,,"[49.0, 4.4]",Ground Pass,,14.60137,,,Theo Bernard François Hernández,6704.0,,,,,,1,From Kick Off,Kylian Mbappé Lottin,3009.0,Left Wing,2,France,771,['e5d38e07-cf0c-498f-8005-d59b308231b3'],14,,,,,,,,,,,,,,,,France,771,00:00:14.528,Pass,,,,,,,63.6,4.2,49.0,4.4,France vs Belgium,France,Belgium
,,,,,,,,,,,,,,,,1.273871,,,,,,,,,,,,5a5aa4ff-0fae-49b0-bc7b-244e1b630a91,27,,,"[49.0, 4.4]",3941019,0,,,,2.327862,,Left Foot,,,"[37.0, 17.1]",Ground Pass,,17.47255,,,William Saliba,17592.0,,,,,,1,From Kick Off,Theo Bernard François Hernández,6704.0,Left Back,2,France,771,['9e5e7093-56a9-49e5-891d-2887f7f25dee'],16,,,,,,,,,,,,,,,,France,771,00:00:16.444,Pass,,,,,,,49.0,4.4,37.0,17.1,France vs Belgium,France,Belgium
,,,,,,,,,,,,,,,,2.05879,,,,,,,,,,,,cfc4deb7-9a67-4c68-b4b5-ea35caa05385,30,,,"[37.0, 18.1]",3941019,0,,,,1.4586731,,Right Foot,,,"[42.9, 70.5]",Ground Pass,,52.73111,,,Jules Koundé,4445.0,,True,,,,1,From Kick Off,William Saliba,17592.0,Left Center Back,2,France,771,['6f7b1243-606b-401c-9238-81acf0a2311f'],19,,,,,,,,,,,,,,,,France,771,00:00:19.091,Pass,,,,,,,37.0,18.1,42.9,70.5,France vs Belgium,France,Belgium
,,,,,,,,,,,,,,,,0.85463,,,,,,,,,,,,6def3c8e-4672-426c-9044-c428bc2f94a8,33,,,"[55.1, 70.1]",3941019,0,,,,-2.2175548,,Right Foot,,,"[47.7, 60.3]",Ground Pass,,12.280066,,,Dayotchanculle Upamecano,8519.0,,,,,,1,From Kick Off,Jules Koundé,4445.0,Right Back,2,France,771,['dcadcf96-9280-47b2-84a8-3baa336d6663'],25,,,,,,,,,,,,,,,,France,771,00:00:25.403,Pass,,,,,,,55.1,70.1,47.7,60.3,France vs Belgium,France,Belgium
,,,,,,,,,,,,,,,,1.393877,,,,,,,,,,,,4d592e6c-8dbf-4fdd-a855-a75c207ac929,36,,,"[47.5, 58.1]",3941019,0,,,,-1.5405025,,Right Foot,,,"[48.6, 21.8]",Ground Pass,,36.31666,,,Adrien Rabiot,3026.0,,,,,,1,From Kick Off,Dayotchanculle Upamecano,8519.0,Right Center Back,2,France,771,['4ae22692-cddc-4d3d-84ab-363f2eeb91da'],27,,,,,,,,,,,,,,,,France,771,00:00:27.386,Pass,,,,,,,47.5,58.1,48.6,21.8,France vs Belgium,France,Belgium
,,,,,,,,,,,,,,,,0.878174,,,,,,,,,,,,5ea62905-f348-4f34-8cb9-4a39c87ed589,39,,,"[63.8, 16.3]",3941019,0,,,,-1.1043555,,Right Foot,,,"[71.0, 2.0]",Ground Pass,,16.01031,,,Kylian Mbappé Lottin,3009.0,,,,,,1,From Kick Off,Adrien Rabiot,3026.0,Left Center Midfield,2,France,771,['a8180e92-9280-4b05-ba64-72438602232d'],32,,,,,,,,,,,,,,,,France,771,00:00:32.437,Pass,,,,,,,63.8,16.3,71.0,2.0,France vs Belgium,France,Belgium
,,,,,,,,,,,,,,,,1.117122,,,,,,,,,,,,5c161ec9-7e6b-4de0-bb5a-a1f308f76f77,42,,,"[71.0, 2.0]",3941019,0,,,,2.6576433,,Left Foot,,,"[63.2, 6.1]",Ground Pass,,8.811924,,,Theo Bernard François Hernández,6704.0,,,,,,1,From Kick Off,Kylian Mbappé Lottin,3009.0,Left Wing,2,France,771,['32dab851-fff4-4135-903e-ca04a243442e'],33,,,,,,,,,,,,,,,,France,771,00:00:33.798,Pass,,,,,,,71.0,2.0,63.2,6.1,France vs Belgium,France,Belgium
,,,,,,,,,,,,,,,,1.105456,,,,,,,,,,,,d3ffee78-a384-42b6-8a28-ad486393e73c,45,,,"[63.2, 6.1]",3941019,0,,,,2.5409782,,Left Foot,,,"[50.5, 14.8]",Ground Pass,,15.394155,,,William Saliba,17592.0,,,,,,1,From Kick Off,Theo Bernard François Hernández,6704.0,Left Back,2,France,771,['f321ca77-71d1-4450-ba36-57aeadafb933'],35,,,,,,,,,,,,,,,,France,771,00:00:35.359,Pass,,,,,,,63.2,6.1,50.5,14.8,France vs Belgium,France,Belgium
