50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,team,team_id,timestamp,type,under_pressure,tactics.formation,tactics.lineup,tactics,50_50.outcome.id,50_50.outcome.name,x,y,end_x,end_y,match_name,home_team,away_team
,,,,,,,,,,,,,,,,,,0.943156,,,,,,,,,,,,,,,4beb3a4b-868a-41b6-be33-67005f293396,28,,"[108.3, 59.1]",3930183,0,,,,-1.5002067,,Right Foot,True,,"[109.0, 49.2]",,Low Pass,,9.924717,,,Incomplete,,David Strelec,43976.0,,,,,Recovery,1,From Kick Off,Ivan Schranz,28032.0,Right Wing,2,Slovakia,908,"['27d5c7bf-6f01-40b9-97f1-a8a47fb65451', '677311ad-0be1-4aea-932b-5d1823bb22a6']",16,,,,,,,,,,,,,,Slovakia,908,00:00:16.431,Pass,,,,,,,108.3,59.1,109.0,49.2,Slovakia vs Romania,Slovakia,Romania
,,,,,,,,,,,,,,,,,,0.592423,,,,,,,,,,,,,,,a4b0c6a2-b1d3-4ce3-ab33-7531979e6d63,37,,"[12.2, 11.5]",3930183,0,,,,1.150133,,Right Foot,,,"[13.9, 15.3]",,Low Pass,,4.1629314,,,,,Nicușor Silviu Bancu,34600.0,,,,,,1,From Counter,Florinel Teodor Coman,34599.0,Left Midfield,3,Romania,905,['e5776fb2-3929-46e8-9b31-e75805f277f1'],20,,,,,,,,,,,,,,Romania,905,00:00:20.906,Pass,,,,,,,12.2,11.5,13.9,15.3,Slovakia vs Romania,Slovakia,Romania
,,,,,,,,,,,,,,,,,,1.072748,,,,,,,,,,,,,,,f1b986e0-2f37-49e7-b213-b56e17060f36,40,,"[14.1, 15.1]",3930183,0,,,,0.9213956,,Left Foot,,,"[18.2, 20.5]",,Ground Pass,,6.780118,,,,,Nicolae Claudiu Stanciu,10916.0,,,,,,1,From Counter,Nicușor Silviu Bancu,34600.0,Left Back,3,Romania,905,['8f0284cf-2ec5-4f82-b5e1-1b34d75def5d'],22,,,,,,,,,,,,,,Romania,905,00:00:22.344,Pass,,,,,,,14.1,15.1,18.2,20.5,Slovakia vs Romania,Slovakia,Romania
,,,,,,,,,,,,,,,,,,1.096962,,,,,,,,,,,,,,,2e1e2a06-58bd-4620-8c80-9612cb29a3d7,43,,"[18.2, 21.0]",3930183,0,,,,-0.25811112,,Right Foot,,,"[30.7, 17.7]",,Ground Pass,,12.928264,,,,,Denis Mihai Drăguş,31193.0,,,,,,1,From Counter,Nicolae Claudiu Stanciu,10916.0,Left Center Midfield,3,Romania,905,['fc9808d2-5aba-4617-8c2c-0f1da45db7e3'],23,,,,,,,,,,,,,,Romania,905,00:00:23.491,Pass,,,,,,,18.2,21.0,30.7,17.7,Slovakia vs Romania,Slovakia,Romania
,,,,,,,,,,,,,,,,,,1.706561,,,,,,,,,,,,,,,cff292d5-8b50-4b2b-bd85-7701c1c12140,45,,"[30.7, 17.7]",3930183,0,,,,-1.8944091,,Right Foot,,,"[25.3, 1.6]",,Low Pass,,16.98146,,,Out,,Nicușor Silviu Bancu,34600.0,,,,,,1,From Counter,Denis Mihai Drăguş,31193.0,Center Forward,3,Romania,905,['26242381-d7ca-4788-b907-7085a17ea67c'],24,,,,,,,,,,,,,,Romania,905,00:00:24.588,Pass,,,,,,,30.7,17.7,25.3,1.6,Slovakia vs Romania,Slovakia,Romania
,,,,,,,,,,,,,,,,,,1.620433,,,,,,,,,,,,,,,3541132e-a655-43fd-b882-2c0fa0c97582,47,,"[90.3, 80.0]",3930183,0,,,,-0.11838654,,,,,"[113.0, 77.3]",,Low Pass,,22.860008,,,,,Ivan Schranz,28032.0,,,,,Throw-in,1,From Throw In,Peter Pekarík,9722.0,Right Back,4,Slovakia,908,['5976c9e5-d122-4057-af74-6cb064f7e574'],42,,,,,,,,,,,,,,Slovakia,908,00:00:42.625,Pass,,,,,,,90.3,80.0,113.0,77.3,Slovakia vs Romania,Slovakia,Romania
,,,,,,,,,,,,,,,,,,0.891524,,,,,,,,,,,,,,,a00fd4aa-ddc1-4ad9-9231-0006801727be,50,,"[114.5, 76.8]",3930183,0,,,,-2.0926306,,Right Foot,,,"[109.9, 68.8]",,Ground Pass,,9.228217,,,,,Juraj Kucka,10919.0,,,,,,1,From Throw In,Ivan Schranz,28032.0,Right Wing,4,Slovakia,908,['1e83a60e-8d20-41cd-93d4-9058b90bd385'],45,,,,,,,,,,,,,,Slovakia,908,00:00:45.001,Pass,,,,,,,114.5,76.8,109.9,68.8,Slovakia vs Romania,Slovakia,Romania
,,,,,,,,,,,,,,,,,,0.477033,,,,,,,,,,,,,,,dd7a33e5-953c-4dea-9003-bf96308456d8,54,,"[109.2, 70.0]",3930183,0,,,,2.166581,,Right Foot,,,"[105.2, 75.9]",,Ground Pass,,7.1281133,,,Incomplete,,Peter Pekarík,9722.0,,,,,,1,From Throw In,Juraj Kucka,10919.0,Right Center Midfield,4,Slovakia,908,"['ca0324e8-171d-4322-a070-9cd6b8564eda', 'fd4914c6-fb52-404c-ab85-1aa130ac2635']",46,,,,,,,,,,,,,,Slovakia,908,00:00:46.109,Pass,,,,,,,109.2,70.0,105.2,75.9,Slovakia vs Romania,Slovakia,Romania
,,,,,,,,,,,,,,,,,,0.988214,,,,,,,,,,,,,,,0c89d6b3-bd24-4144-9fbf-4051e5c77f27,59,,"[14.4, 3.9]",3930183,0,,,,0.71090937,,Right Foot,,,"[18.0, 7.0]",,Ground Pass,,4.7507896,,,Incomplete,,Marius Mihai Marin,30913.0,,,,,,1,From Throw In,Denis Mihai Drăguş,31193.0,Center Forward,4,Slovakia,908,"['4e326be8-7815-45cd-9bc1-e68d2d5b6d69', 'a595077c-4a23-4527-aff5-25192d0e0bbc', 'bb7ceac7-95e2-43c6-9ba0-45107b0bab4a']",47,,,,,,,,,,,,,,Romania,905,00:00:47.194,Pass,True,,,,,,14.4,3.9,18.0,7.0,Slovakia vs Romania,Slovakia,Romania
,,,,,,,,,,,,True,,,,,,2.855147,,,,,,,,,,,,,,,4e326be8-7815-45cd-9bc1-e68d2d5b6d69,61,,"[102.1, 73.1]",3930183,0,,,,2.9441972,,Right Foot,,,"[82.1, 77.1]",,Ground Pass,,20.396078,,,,,Denis Vavro,16298.0,,,,,Interception,1,From Throw In,Peter Pekarík,9722.0,Right Back,4,Slovakia,908,"['0c89d6b3-bd24-4144-9fbf-4051e5c77f27', '19cbe73f-1518-48b3-9911-0f4073c905a2']",48,,,,,,,,,,,,,,Slovakia,908,00:00:48.182,Pass,,,,,,,102.1,73.1,82.1,77.1,Slovakia vs Romania,Slovakia,Romania
