50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,team,team_id,timestamp,type,under_pressure,tactics.formation,tactics.lineup,tactics,50_50.outcome.id,50_50.outcome.name,x,y,end_x,end_y,match_name,home_team,away_team
,,,,,,,,,,,,,,,,,,0.852122,,,,,,,,,,,,,d61077a9-6e46-4cc0-9755-631347a9b041,17,,"[50.1, 13.9]",3930176,0,,,,2.6574202,,Right Foot,,,,"[36.6, 21.0]",,Ground Pass,,15.253197,,,Jonathan Tah,8221.0,,,,,,1,From Kick Off,Maximilian Mittelstädt,12407.0,Left Back,2,Germany,770,['625a8f8d-94fd-45d1-9105-3a0a209f563b'],6,,,,,,,,,,,,,,,Germany,770,00:00:06.854,Pass,,,,,,,50.1,13.9,36.6,21.0,Switzerland vs Germany,Switzerland,Germany
,,,,,,,,,,,,,,,,,,1.071039,,,,,,,,,,,,,cf231b67-86be-46b8-9f04-c944c5000154,21,,"[36.9, 20.3]",3930176,0,,,,-1.1878116,,Right Foot,,,,"[42.5, 6.4]",,Ground Pass,,14.98566,,,Maximilian Mittelstädt,12407.0,,,,,,1,From Kick Off,Jonathan Tah,8221.0,Left Center Back,2,Germany,770,"['10482e8a-fb84-4b3d-b32f-4df5264c54a5', 'e08baf1c-78e4-40a1-b1b7-c7f02aeba45e']",8,,,,,,,,,,,,,,,Germany,770,00:00:08.632,Pass,True,,,,,,36.9,20.3,42.5,6.4,Switzerland vs Germany,Switzerland,Germany
,,,,,,,,,,,,,,,,,,0.455488,,,,,,,,,,,,,0b645704-7c50-48b0-9ef4-e57f1b6ee385,27,,"[47.5, 6.9]",3930176,0,True,,,1.8233505,,Left Foot,,,,"[45.1, 16.2]",,Ground Pass,,9.604687,,,Robert Andrich,9195.0,,,,,Free Kick,1,From Free Kick,Toni Kroos,5574.0,Left Defensive Midfield,3,Germany,770,['c83668d0-eaf5-4c0e-8a6e-b2f5fbee1f58'],28,,,,,,,,,,,,,,,Germany,770,00:00:28.022,Pass,,,,,,,47.5,6.9,45.1,16.2,Switzerland vs Germany,Switzerland,Germany
,,,,,,,,,,,,,,,,,,1.90195,,,,,,,,,,,,,3f8d7987-d5b6-413f-8b4f-a28483c6342c,29,,"[45.1, 16.0]",3930176,0,True,,,-1.2691773,,Right Foot,,,,"[47.9, 7.0]",,Ground Pass,,9.425497,,,Toni Kroos,5574.0,,,,,,1,From Free Kick,Robert Andrich,9195.0,Right Defensive Midfield,3,Germany,770,['accc85cf-1fbb-4d88-9510-e3dfb051a328'],29,,,,,,,,,,,,,,,Germany,770,00:00:29.067,Pass,,,,,,,45.1,16.0,47.9,7.0,Switzerland vs Germany,Switzerland,Germany
,,,,,,,,,,,,,,,,,,0.462355,,,,,,,,,,,,,8be59fa6-537a-4d3b-9dcc-a72b95bf8080,31,,"[47.3, 8.2]",3930176,0,,,,2.0344439,,Left Foot,,,,"[43.4, 16.0]",,Ground Pass,,8.720665,,,Robert Andrich,9195.0,,,,,,1,From Free Kick,Toni Kroos,5574.0,Left Defensive Midfield,3,Germany,770,['7c662d8a-7b2d-434a-a7b7-fc5f168bb585'],32,,,,,,,,,,,,,,,Germany,770,00:00:32.421,Pass,,,,,,,47.3,8.2,43.4,16.0,Switzerland vs Germany,Switzerland,Germany
,,,,,,,,,,,,,,,,,,0.383205,,,,,,,,,,,,,46943880-baa2-4525-adc3-846d7176e876,34,,"[43.4, 16.0]",3930176,0,,,,0.08430673,,Right Foot,,,,"[50.5, 16.6]",,Ground Pass,,7.125307,,,Florian Wirtz,40724.0,,,,,,1,From Free Kick,Robert Andrich,9195.0,Right Defensive Midfield,3,Germany,770,['7da7acf9-3ba7-4e4b-a7a6-d3497653c2c6'],32,,,,,,,,,,,,,,,Germany,770,00:00:32.954,Pass,,,,,,,43.4,16.0,50.5,16.6,Switzerland vs Germany,Switzerland,Germany
,,,,,,,,,,,,,,,,,,0.560056,,,,,,,,,,,,,163f01c8-1973-4626-82d5-c2bafa76802b,37,,"[50.5, 16.6]",3930176,0,,,,2.3847582,,Right Foot,,,,"[46.9, 20.0]",,Ground Pass,,4.9517674,Incomplete,,Robert Andrich,9195.0,,,,,,1,From Free Kick,Florian Wirtz,40724.0,Left Wing,3,Germany,770,"['0ffde3ae-329b-42ea-baf5-1766793f2e19', '5f909d72-6ae2-4ee5-8fb3-75b87f4aa3d7']",33,,,,,,,,,,,,,,,Germany,770,00:00:33.417,Pass,,,,,,,50.5,16.6,46.9,20.0,Switzerland vs Germany,Switzerland,Germany
,,,,,,,,,,,,,,,,,,0.49464,,,,,,,,,,,,,29211e83-201f-471c-bb9d-73892ac1298f,45,,"[44.0, 26.9]",3930176,0,,,,0.79570705,,Right Foot,,,,"[48.8, 31.8]",,Ground Pass,,6.8593,,,Jamal Musiala,39565.0,,,,,,1,From Free Kick,Florian Wirtz,40724.0,Left Wing,3,Germany,770,"['915b0ba2-4024-402a-bb2e-098d1adc226b', 'c407a1dd-93e3-465d-9626-c8e29e000d6a']",36,,,,,,,,,,,,,,,Germany,770,00:00:36.165,Pass,True,,,,,,44.0,26.9,48.8,31.8,Switzerland vs Germany,Switzerland,Germany
,,,,,,,,,,,,,,,,,,1.843633,,,,,,,,,,,,,3047cfc7-e134-426b-8336-b69319400c69,48,,"[49.0, 32.6]",3930176,0,,,,1.8982775,,Right Foot,,,,"[41.9, 53.5]",,Ground Pass,,22.073061,,,Joshua Kimmich,5579.0,,,,,,1,From Free Kick,Jamal Musiala,39565.0,Right Wing,3,Germany,770,['1448bd63-863b-4244-8991-721a29f9ebdb'],37,,,,,,,,,,,,,,,Germany,770,00:00:37.953,Pass,,,,,,,49.0,32.6,41.9,53.5,Switzerland vs Germany,Switzerland,Germany
,,,,,,,,,,,,,,,,,,1.037062,,,,,,,,,,,,,1c6ba205-42b6-4c24-9590-994e1e6a707e,51,,"[49.4, 58.4]",3930176,0,,,,-1.541819,,Right Foot,,,,"[49.6, 51.5]",,Ground Pass,,6.902898,,,Robert Andrich,9195.0,,,,,,1,From Free Kick,Joshua Kimmich,5579.0,Right Back,3,Germany,770,['cfd97716-fc53-46c9-905f-2aa92cbba67a'],41,,,,,,,,,,,,,,,Germany,770,00:00:41.847,Pass,,,,,,,49.4,58.4,49.6,51.5,Switzerland vs Germany,Switzerland,Germany
