50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,team,team_id,timestamp,type,under_pressure,tactics.formation,tactics.lineup,tactics,50_50.outcome.id,50_50.outcome.name,x,y,end_x,end_y,match_name,home_team,away_team
,,,,,,,,,,,,,,,,,1.842409,,,,,,,,,,,,,f31fb275-4e0f-46ee-a226-090eb7add6b3,1925,,,"[69.8, 53.4]",3942752,53,,,,,0.7853982,,Right Foot,,,"[91.5, 75.1]",,High Pass,,30.688435,,,,Ousmane Dembélé,5477.0,,,,,2,From Free Kick,Aurélien Djani Tchouaméni,10481.0,Center Defensive Midfield,88,France,771,['91324bf5-d48b-4455-9096-406fa0d033fc'],57,,,,,,,,,,,,,,,,France,771,00:08:57.999,Pass,,,,,,,69.8,53.4,91.5,75.1,Spain vs France,Spain,France
,,,,,,,,,,,,,,,,,0.959315,,,,,,,,,,,,,88a54e14-d56b-415d-958a-0928f1c5a7a6,1928,,,"[106.4, 61.3]",3942752,54,,,,,-1.5707964,,Right Foot,True,,"[106.4, 48.5]",,Ground Pass,,12.8,,Incomplete,,,,,,,,2,From Free Kick,Ousmane Dembélé,5477.0,Right Wing,88,France,771,['f9f5f508-437a-4e0b-962c-0a067d243e40'],3,,,,,,,,,,,,,,,,France,771,00:09:03.014,Pass,,,,,,,106.4,61.3,106.4,48.5,Spain vs France,Spain,France
,,,,,,,,,,,,,,,,,0.951291,,,,,,,,,,,,,a2e5b9d9-3330-43ff-96a2-06cdd8af44c8,1932,,,"[98.1, 73.6]",3942752,54,,,,,-2.4737601,,Right Foot,,,"[91.0, 68.0]",,Ground Pass,,9.042677,,,,N'Golo Kanté,3961.0,,,,,2,From Free Kick,Jules Koundé,4445.0,Right Back,88,France,771,['229d35a2-8fef-4f5a-b5f4-7fdab733fe7a'],8,,,,,,,,,,,,,,,,France,771,00:09:08.912,Pass,,,,,,,98.1,73.6,91.0,68.0,Spain vs France,Spain,France
,,,,,,,,,,,,,,,,,1.674568,,,,,,,,,,,,,0c4147d3-b9ae-4c91-8ab9-770dca6b1cca,1935,,,"[85.8, 59.8]",3942752,54,,,,,-2.2073045,,Right Foot,,,"[72.2, 41.4]",,Ground Pass,,22.88056,,,,William Saliba,17592.0,,,,,2,From Free Kick,N'Golo Kanté,3961.0,Right Center Midfield,88,France,771,['7210d28d-210b-4dd8-bf7f-be3658a4a430'],11,,,,,,,,,,,,,,,,France,771,00:09:11.963,Pass,,,,,,,85.8,59.8,72.2,41.4,Spain vs France,Spain,France
,,,,,,,,,,,,,,,,,0.92986,,,,,,,,,,,,,6b77b8e1-497a-43cd-b003-d0f0830f921b,1938,,,"[72.0, 39.9]",3942752,54,,,,,-0.76604575,,Right Foot,,,"[79.9, 32.3]",,Ground Pass,,10.962208,,,,Adrien Rabiot,3026.0,,,,,2,From Free Kick,William Saliba,17592.0,Left Center Back,88,France,771,['3bd597b3-af5b-4ea7-9caa-2ea785f63b66'],14,,,,,,,,,,,,,,,,France,771,00:09:14.187,Pass,,,,,,,72.0,39.9,79.9,32.3,Spain vs France,Spain,France
,,,,,,,,,,,,,,,,,1.33084,,,,,,,,,,,,,5084cdb9-4e15-43d8-98b0-5496746f79df,1945,,,"[91.1, 55.4]",3942752,54,,,,,1.0783106,,Left Foot,,,"[99.9, 71.8]",,Ground Pass,,18.611824,,,,Jules Koundé,4445.0,,,,,2,From Free Kick,Adrien Rabiot,3026.0,Left Center Midfield,88,France,771,['4e696d1c-c78d-4d38-868d-bca531b49bbd'],19,,,,,,,,,,,,,,,,France,771,00:09:19.150,Pass,,,,,,,91.1,55.4,99.9,71.8,Spain vs France,Spain,France
,,,,,,,,,,,,,,,,,1.294406,,,,,,,,,,,,,73ce2eef-7f1d-4f2f-9a0d-4db2c82c91ce,1948,,,"[102.2, 72.4]",3942752,54,,,,,-1.3100191,,Right Foot,True,,"[111.7, 36.8]",,High Pass,,36.84576,,Incomplete,,,,,,,,2,From Free Kick,Jules Koundé,4445.0,Right Back,88,France,771,['f723a837-6468-4d1b-9f5d-9223db2174e3'],21,,,,,,,,,,,,,,,,France,771,00:09:21.577,Pass,,,,,,,102.2,72.4,111.7,36.8,Spain vs France,Spain,France
,,,,,,,,,,,,,,,,,0.892468,,,,,,,,,,,,,edada7bf-0416-445a-8915-cb0f1b721350,1955,,,"[4.6, 80.0]",3942752,54,,,,,-0.9025069,,,,,"[10.6, 72.4]",,Low Pass,,9.682975,,,,Rodrigo Hernández Cascante,6765.0,,,,Throw-in,2,From Throw In,Jesús Navas González,6821.0,Right Back,90,Spain,772,['4516cc13-2b5c-41ba-b015-4bb5827d9d3b'],54,,,,,,,,,,,,,,,,Spain,772,00:09:54.468,Pass,,,,,,,4.6,80.0,10.6,72.4,Spain vs France,Spain,France
,,,,,,,,,,,,,,,,,1.300532,,,,,,,,,,,,,5d2c7eb9-474e-47bc-a776-805196ef97e9,1960,,,"[14.9, 77.5]",3942752,54,,,,,0.01826281,,Right Foot,,,"[36.8, 77.9]",,Ground Pass,,21.903652,,,,Lamine Yamal Nasraoui Ebana,316046.0,,,,,2,From Throw In,Rodrigo Hernández Cascante,6765.0,Right Defensive Midfield,90,Spain,772,"['2a2afc63-0195-458f-86ab-09a8e2e2b0dd', '823e3a97-b3fe-46c4-9049-ffabb690ccdf']",57,,,,,,,,,,,,,,,,Spain,772,00:09:57.647,Pass,True,,,,,,14.9,77.5,36.8,77.9,Spain vs France,Spain,France
,,,,,,,,,,,,,,,,,3.29179,,,,,,,,,,,,,8dd071e8-db77-482b-9235-28dd877d395c,1965,,,"[63.1, 4.4]",3942752,55,,,,,2.7367008,,Right Foot,,,"[29.5, 18.8]",,Ground Pass,,36.55571,,,,Mike Maignan,3761.0,,,,Recovery,2,Regular Play,Dayotchanculle Upamecano,8519.0,Right Center Back,91,France,771,['6cc81ed6-6d35-4e1c-8129-3a7add3eca8b'],2,,,,,,,,,,,,,,,,France,771,00:10:02.026,Pass,,,,,,,63.1,4.4,29.5,18.8,Spain vs France,Spain,France
,,,,,,,,,,,,,,,,,1.758663,,,,,,,,,,,,,0f4d5266-6fc5-46f0-ae9b-b7df111370ff,1968,,,"[29.9, 20.0]",3942752,55,,,,,1.2762764,,Right Foot,,,"[41.7, 58.9]",,Ground Pass,,40.650337,,,,Jules Koundé,4445.0,,,,,2,Regular Play,Mike Maignan,3761.0,Goalkeeper,91,France,771,['de3724c7-f05e-4671-872d-60b0727082e0'],7,,,,,,,,,,,,,,,,France,771,00:10:07.068,Pass,,,,,,,29.9,20.0,41.7,58.9,Spain vs France,Spain,France
,,,,,,,,,,,,,,,,,1.839263,,,,,,,,,,,,,be671ad8-ff10-4029-ba01-1853402de376,1971,,,"[51.0, 59.6]",3942752,55,,,,,0.68461716,,Right Foot,,,"[70.6, 75.6]",,Ground Pass,,25.301384,,,,Ousmane Dembélé,5477.0,,,,,2,Regular Play,Jules Koundé,4445.0,Right Back,91,France,771,['9e951d20-5347-456e-8227-19647fc8bd34'],11,,,,,,,,,,,,,,,,France,771,00:10:11.172,Pass,,,,,,,51.0,59.6,70.6,75.6,Spain vs France,Spain,France
,,,,,,,,,,,,,,,,,1.73871,,,,,,,,,,,,,990ad62e-a04e-44ff-af45-5a638d1710bd,1974,,,"[77.3, 74.4]",3942752,55,,,,,-2.338445,,Right Foot,,,"[69.0, 65.8]",,Ground Pass,,11.951987,,,,Jules Koundé,4445.0,,,,,2,Regular Play,Ousmane Dembélé,5477.0,Right Wing,91,France,771,['65f60271-b6c8-48c3-b4f5-9f00d6607e11'],15,,,,,,,,,,,,,,,,France,771,00:10:15.707,Pass,,,,,,,77.3,74.4,69.0,65.8,Spain vs France,Spain,France
