50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,team,team_id,timestamp,type,under_pressure,tactics.formation,tactics.lineup,tactics,50_50.outcome.id,50_50.outcome.name,x,y,end_x,end_y,match_name,home_team,away_team
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,a0e714d7-90a6-4765-96b1-75e757e63d79,2956,,,"[101.0, 24.7]",3938638,86,,True,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Artem Dovbyk,25079.0,Right Center Forward,140,Ukraine,911,,54,,,,,,,,,,,,,,,,Ukraine,911,00:41:54.839,Miscontrol,,,,,,,101.0,24.7,,,Romania vs Ukraine,Romania,Ukraine
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,4a1cda8a-bf46-447a-8d41-db9cc8f82a1d,34,,,"[21.4, 61.6]",3938638,0,,,,,,,,,,,,,,,,,,,,,,,,1,From Kick Off,Mykola Shaparenko,21294.0,Right Defensive Midfield,2,Ukraine,911,['88794d90-d6b4-4178-b096-87df8be20f1f'],22,,,,,,,,,,,,,,,,Ukraine,911,00:00:22.388,Ball Recovery,,,,,,,21.4,61.6,,,Romania vs Ukraine,Romania,Ukraine
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,36d3d78c-9f57-41c9-b003-b48ee3e62d56,59,,,"[49.7, 19.5]",3938638,0,,,,,,,,,,,,,,,,,,,,,,,,1,From Kick Off,Illia Zabarnyi,39136.0,Right Center Back,2,Ukraine,911,,42,,,,,,,,,,,,,,,,Ukraine,911,00:00:42.702,Ball Recovery,,,,,,,49.7,19.5,,,Romania vs Ukraine,Romania,Ukraine
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,21783ff5-e427-4919-a10d-d69a5851eebd,69,,,"[7.2, 58.9]",3938638,0,,,,,,,,,,,,,,,,,,,,,,,,1,From Kick Off,Florin Constantin Niţă,28242.0,Goalkeeper,2,Ukraine,911,['6257c2ce-b05c-4a30-8232-64e10b4e0dbf'],57,,,,,,,,,,,,,,,,Romania,905,00:00:57.038,Ball Recovery,,,,,,,7.2,58.9,,,Romania vs Ukraine,Romania,Ukraine
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,19465433-ccac-495c-bbd8-8a8304fb4fcb,91,,,"[51.6, 68.7]",3938638,1,,,,,,,,,,,,,,,,,,,,,,,,1,From Kick Off,Viktor Tsygankov,16509.0,Right Wing,2,Ukraine,911,['fedd3eba-5b21-464a-9d45-4d86d4284fd7'],40,,,,,,,,,,,,,,,,Ukraine,911,00:01:40.051,Ball Recovery,True,,,,,,51.6,68.7,,,Romania vs Ukraine,Romania,Ukraine
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,11612ca6-7375-4dbe-a827-8c063f7021b2,164,,,"[40.4, 32.2]",3938638,3,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Illia Zabarnyi,39136.0,Right Center Back,5,Romania,905,['fc096e06-8e74-4450-997f-aadc678273ea'],1,,,,,,,,,,,,,,,,Ukraine,911,00:03:01.402,Ball Recovery,,,,,,,40.4,32.2,,,Romania vs Ukraine,Romania,Ukraine
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,c4cda0dd-02b8-47a1-9fac-7b1fc19f5774,186,,,"[3.3, 35.4]",3938638,3,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Andriy Lunin,21390.0,Goalkeeper,6,Ukraine,911,['fff52ae7-dc28-4723-a303-df2d20e2ffc0'],29,,,,,,,,,,,,,,,,Ukraine,911,00:03:29.693,Ball Recovery,,,,,,,3.3,35.4,,,Romania vs Ukraine,Romania,Ukraine
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,a01847bb-d22a-47e3-a19c-5fc909ab411f,225,,,"[8.3, 24.2]",3938638,4,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Florin Constantin Niţă,28242.0,Goalkeeper,6,Ukraine,911,['7ec22ee5-0275-4ab6-8dd7-c922890aae7f'],29,,,,,,,,,,,,,,,,Romania,905,00:04:29.118,Ball Recovery,,,,,,,8.3,24.2,,,Romania vs Ukraine,Romania,Ukraine
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,1a802c60-4bf0-43d6-bb88-d04e87314e11,266,,,"[3.6, 60.1]",3938638,6,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Andrei Florin Ratiu,24861.0,Right Back,8,Ukraine,911,,0,,,,,,,,,,,,,,,,Romania,905,00:06:00.094,Ball Recovery,,,,,,,3.6,60.1,,,Romania vs Ukraine,Romania,Ukraine
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,7962b3c7-9caf-4f56-8822-dd334b881415,272,,,"[78.0, 6.0]",3938638,6,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Oleksandr Zinchenko,3575.0,Left Back,8,Ukraine,911,['51de34a4-fd41-461a-8d58-3c62a348969a'],5,,,,,,,,,,,,,,,,Ukraine,911,00:06:05.802,Ball Recovery,True,,,,,,78.0,6.0,,,Romania vs Ukraine,Romania,Ukraine
