50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,team,team_id,timestamp,type,under_pressure,tactics.formation,tactics.lineup,tactics,50_50.outcome.id,50_50.outcome.name,x,y,end_x,end_y,match_name,home_team,away_team
,,,,,,,,,,,,,,,,,,,1.296444,,,,,,,,,,,,,,,45cf91d1-8c0e-42fe-af9e-c80b757b2bb7,17,,,"[43.6, 28.2]",3938644,0,,,,0.50066775,,Right Foot,,,"[54.2, 34.0]",,Ground Pass,,12.083046,,,Georges Mikautadze,33234.0,,,,,,,1,Regular Play,Otar Kiteishvili,11335.0,Center Defensive Midfield,3,Georgia,2138,['35e14366-b959-4e7c-94fa-863c4cd945d0'],9,,,,,,,,,,,,,,,,Georgia,2138,00:00:09.123,Pass,,,,,,,43.6,28.2,54.2,34.0,Georgia vs Portugal,Georgia,Portugal
,,,,,,,,,,,,,,,,,,,0.350645,,,,,,,,,,,,,,,39e6d885-3db2-424d-bc3f-e51ed9cae028,21,,,"[55.9, 34.0]",3938644,0,,,,2.3561945,,Right Foot,,,"[54.1, 35.8]",,Ground Pass,,2.5455844,Incomplete,,Giorgi Chakvetadze,23646.0,,,,,,,1,Regular Play,Georges Mikautadze,33234.0,Right Center Forward,3,Georgia,2138,"['5eccca65-7a93-43eb-8d02-408aed7c7f32', 'abba1cef-9944-4944-b918-f6188c10b977', 'bd24027a-a882-4cf6-b966-e92932ddef7b']",10,,,,,,,,,,,,,,,,Georgia,2138,00:00:10.503,Pass,True,,,,,,55.9,34.0,54.1,35.8,Georgia vs Portugal,Georgia,Portugal
,,,,,,,,,,,,,,,,,,,0.086255,,,,,,,,,,,,,,,eba80071-fb9e-4f97-b86e-f12d91c1ffd9,28,,,"[83.8, 8.8]",3938644,0,,,,3.1415927,,Right Foot,,,"[81.1, 8.8]",,Ground Pass,,2.7,Incomplete,,Pedro Lomba Neto,23256.0,,,,,,,1,Regular Play,Cristiano Ronaldo dos Santos Aveiro,5207.0,Center Forward,4,Portugal,780,"['0c4d1ab9-c5e6-4531-a6f0-f46f5a920dc7', '72ee7d14-5c33-4cc0-9f08-fc4bf68cb9e8', 'a90d690f-3187-44ec-bdda-aa89756c66f4']",16,,,,,,,,,,,,,,,,Portugal,780,00:00:16.264,Pass,True,,,,,,83.8,8.8,81.1,8.8,Georgia vs Portugal,Georgia,Portugal
,,,,,,,,,,,,,,,,,,,2.699504,,,,,,,,,,,,,,,4a09f47e-8d9d-483b-a15e-2bb59dfc243c,36,,,"[71.6, 5.5]",3938644,0,,,,3.0305407,,Right Foot,,,"[43.8, 8.6]",,Ground Pass,,27.972307,,,Gonçalo Bernardo Inácio,42106.0,,,,,,,1,Regular Play,Pedro Lomba Neto,23256.0,Left Wing Back,4,Portugal,780,['0de12083-4077-4418-914f-04c6486d6def'],19,,,,,,,,,,,,,,,,Portugal,780,00:00:19.598,Pass,,,,,,,71.6,5.5,43.8,8.6,Georgia vs Portugal,Georgia,Portugal
,,,,,,,,,,,,,,,,,,,1.230038,,,,,,,,,,,,,,,77d7215d-e44f-4a7b-afda-bb9f85a14ecc,39,,,"[42.8, 8.2]",3938644,0,,,,-0.34097895,,Left Foot,,,"[55.2, 3.8]",,Ground Pass,,13.157507,,,Pedro Lomba Neto,23256.0,,,,,,,1,Regular Play,Gonçalo Bernardo Inácio,42106.0,Left Center Back,4,Portugal,780,['a0770632-f0ec-439b-9c33-3888323f27c1'],22,,,,,,,,,,,,,,,,Portugal,780,00:00:22.879,Pass,,,,,,,42.8,8.2,55.2,3.8,Georgia vs Portugal,Georgia,Portugal
,,,,,,,,,,,,,,,,,,,0.997169,,,,,,,,,,,,,,,2fc0d1ab-ba14-438a-b1cb-2caa20c5debd,42,,,"[56.3, 7.6]",3938644,0,,,,0.46803355,,Right Foot,,,"[65.4, 12.2]",,Ground Pass,,10.1965685,,,João Félix Sequeira,12041.0,,,,,,,1,Regular Play,Pedro Lomba Neto,23256.0,Left Wing Back,4,Portugal,780,['1ad26387-f450-466d-ac33-c80cbdd05388'],25,,,,,,,,,,,,,,,,Portugal,780,00:00:25.677,Pass,,,,,,,56.3,7.6,65.4,12.2,Georgia vs Portugal,Georgia,Portugal
,,,,,,,,,,,,,,,,,,,1.907636,,,,,,,,,,,,,,,490e6dd2-24be-498c-89e3-cf5809fa302b,45,,,"[56.2, 18.4]",3938644,0,,,,2.1515527,,Right Foot,,,"[45.7, 34.4]",,Ground Pass,,19.13766,,,Danilo Luís Hélio Pereira,13621.0,,,,,,,1,Regular Play,João Félix Sequeira,12041.0,Left Attacking Midfield,4,Portugal,780,['18456053-f3bc-4c49-9b3d-312619332ad6'],28,,,,,,,,,,,,,,,,Portugal,780,00:00:28.802,Pass,,,,,,,56.2,18.4,45.7,34.4,Georgia vs Portugal,Georgia,Portugal
,,,,,,,,,,,,,,,,,,,1.614323,,,,,,,,,,,,,,,94ab4eca-4a9f-4d2e-a7a5-e0edc4ad9801,48,,,"[47.4, 34.4]",3938644,0,,,,-1.1096057,,Right Foot,,,"[55.5, 18.1]",,Ground Pass,,18.201649,,,Gonçalo Bernardo Inácio,42106.0,,,,,,,1,Regular Play,Danilo Luís Hélio Pereira,13621.0,Center Back,4,Portugal,780,['7fbc3bed-f4df-41e6-aeb9-40b2e2108fdc'],31,,,,,,,,,,,,,,,,Portugal,780,00:00:31.571,Pass,,,,,,,47.4,34.4,55.5,18.1,Georgia vs Portugal,Georgia,Portugal
,,,,,,,,,,,,,,,,,,,1.202962,,,,,,,,,,,,,,,9c37347c-eef9-4888-8cff-a2442300fc0b,51,,,"[64.7, 12.8]",3938644,0,,,,-0.8600889,,Right Foot,,,"[71.5, 4.9]",,Ground Pass,,10.423532,,,Pedro Lomba Neto,23256.0,,,,,,,1,Regular Play,Gonçalo Bernardo Inácio,42106.0,Left Center Back,4,Portugal,780,['88980af5-84ad-44f9-892b-f9a54e79e2fb'],35,,,,,,,,,,,,,,,,Portugal,780,00:00:35.856,Pass,,,,,,,64.7,12.8,71.5,4.9,Georgia vs Portugal,Georgia,Portugal
,,,,,,,,,,,,,,,,,,,1.146331,,,,,,,,,,,,,,,ec2c0a4d-b566-4e43-a192-6043289d5a1d,53,,,"[73.1, 4.1]",3938644,0,,,,2.664553,,Left Foot,,,"[64.2, 8.7]",,Ground Pass,,10.018483,,,Gonçalo Bernardo Inácio,42106.0,,,,,,,1,Regular Play,Pedro Lomba Neto,23256.0,Left Wing Back,4,Portugal,780,['9d0520c4-9d8e-412a-b3a7-c9071949f504'],37,,,,,,,,,,,,,,,,Portugal,780,00:00:37.059,Pass,,,,,,,73.1,4.1,64.2,8.7,Georgia vs Portugal,Georgia,Portugal
,,,,,,,,,,,,,,,,,,,1.884742,,,,,,,,,,,,,,,d9555245-3190-45f3-9842-811b171d7a54,56,,,"[64.2, 8.7]",3938644,0,,,,2.226975,,Left Foot,,,"[48.8, 28.7]",,Ground Pass,,25.24203,,,Danilo Luís Hélio Pereira,13621.0,,,,,,,1,Regular Play,Gonçalo Bernardo Inácio,42106.0,Left Center Back,4,Portugal,780,['c68e2092-7fec-41e4-bdb5-0d7641c8dc3f'],38,,,,,,,,,,,,,,,,Portugal,780,00:00:38.817,Pass,,,,,,,64.2,8.7,48.8,28.7,Georgia vs Portugal,Georgia,Portugal
,,,,,,,,,,,,,,,,,,,2.205084,,,,,,,,,,,,,,,3c2f9a9d-cf42-410d-a1e4-244ae1576120,59,,,"[49.7, 31.5]",3938644,0,,,,1.3161309,,Right Foot,,,"[57.9, 63.0]",,Ground Pass,,32.54981,,,António João Pereira Albuquerque Tavares Silva,143854.0,,,,,,,1,Regular Play,Danilo Luís Hélio Pereira,13621.0,Center Back,4,Portugal,780,['645ad032-911e-45fa-b0ed-c98c2ced1524'],41,,,,,,,,,,,,,,,,Portugal,780,00:00:41.414,Pass,,,,,,,49.7,31.5,57.9,63.0,Georgia vs Portugal,Georgia,Portugal
,,,,,,,,,,,,,,,,,,,0.58076,,,,,,,,,,,,,,,72e9262c-3280-45f6-bcbf-cfe69e9ef994,62,,,"[65.4, 62.8]",3938644,0,,,,-0.34194982,,Right Foot,,,"[71.3, 60.7]",,Ground Pass,,6.2625875,,,João Neves,143859.0,,,,,,,1,Regular Play,António João Pereira Albuquerque Tavares Silva,143854.0,Right Center Back,4,Portugal,780,['ec2a7284-4858-4a4a-897a-c6d0127501cc'],47,,,,,,,,,,,,,,,,Portugal,780,00:00:47.326,Pass,,,,,,,65.4,62.8,71.3,60.7,Georgia vs Portugal,Georgia,Portugal
,,,,,,,,,,,,,,,,,,,1.220761,,,,,,,,,,,,,,,39ad10d8-1656-402c-8a8e-b03233ef5999,66,,,"[69.9, 58.3]",3938644,0,,,,2.777924,,Right Foot,,,"[56.5, 63.4]",,Ground Pass,,14.337712,,,António João Pereira Albuquerque Tavares Silva,143854.0,,,,,,,1,Regular Play,João Neves,143859.0,Right Defensive Midfield,4,Portugal,780,"['2afb005c-db50-40bb-83e0-7ce088d05c89', 'e0385e88-e98b-4800-ac6a-a60ba0e6fa0a']",47,,,,,,,,,,,,,,,,Portugal,780,00:00:47.946,Pass,True,,,,,,69.9,58.3,56.5,63.4,Georgia vs Portugal,Georgia,Portugal
,,,,,,,,,,,,,,,,,,,2.528925,,,,,,,,,,,,,,,d72e8ed7-934c-462d-8e86-569f341f44ba,70,,,"[52.5, 68.2]",3938644,0,,,,-2.5832844,,Left Foot,,,"[21.6, 48.9]",,Ground Pass,,36.43213,,,Diogo Meireles Costa,32975.0,,,,,,,1,Regular Play,António João Pereira Albuquerque Tavares Silva,143854.0,Right Center Back,4,Portugal,780,['0473d42b-776d-457a-b142-3b3f8596406a'],50,,,,,,,,,,,,,,,,Portugal,780,00:00:50.359,Pass,,,,,,,52.5,68.2,21.6,48.9,Georgia vs Portugal,Georgia,Portugal
,,,,,,,,,,,,,,,,,,,1.741538,,,,,,,,,,,,,,,9711e61c-cd36-4119-9a16-4c45ea6e6a5b,73,,,"[24.4, 48.2]",3938644,0,,,,-0.8105185,,Right Foot,,,"[43.8, 27.8]",,Ground Pass,,28.151731,,,Gonçalo Bernardo Inácio,42106.0,,,,,,,1,Regular Play,Diogo Meireles Costa,32975.0,Goalkeeper,4,Portugal,780,['a7fa7355-f5d6-467c-8b9e-a0d91cb5584a'],54,,,,,,,,,,,,,,,,Portugal,780,00:00:54.354,Pass,,,,,,,24.4,48.2,43.8,27.8,Georgia vs Portugal,Georgia,Portugal
,,,,,,,,,,,,,,,,,,,1.249893,,,,,,,,,,,,,,,79f181be-27cc-4c05-83f0-603f1d87eb01,76,,,"[54.2, 16.7]",3938644,0,,,,-0.68080884,,Right Foot,,,"[64.2, 8.6]",,Ground Pass,,12.868955,,,Pedro Lomba Neto,23256.0,,,,,,,1,Regular Play,Gonçalo Bernardo Inácio,42106.0,Left Center Back,4,Portugal,780,['6d69cb25-22b2-4d9b-8607-8ee21939ccbf'],57,,,,,,,,,,,,,,,,Portugal,780,00:00:57.689,Pass,,,,,,,54.2,16.7,64.2,8.6,Georgia vs Portugal,Georgia,Portugal
,,,,,,,,,,,,,,,,,,,0.918922,,,,,,,,,,,,,,,836a2e22-b6be-4be8-a446-2ec5af733704,79,,,"[78.1, 11.6]",3938644,1,,,,-1.2966288,,Left Foot,,,"[79.9, 5.2]",,Ground Pass,,6.6483083,,,João Félix Sequeira,12041.0,,,,,,,1,Regular Play,Pedro Lomba Neto,23256.0,Left Wing Back,4,Portugal,780,['d9f01468-d522-4c0c-bd0e-6b1b9ec21780'],1,,,,,,,,,,,,,,,,Portugal,780,00:01:01.348,Pass,,,,,,,78.1,11.6,79.9,5.2,Georgia vs Portugal,Georgia,Portugal
,,,,,,,,,,,,,,,,,,,0.779316,,,,,,,,,,,,,,,80bb8e49-07a6-4a8f-80c6-8b34dae2cef4,82,,,"[80.1, 5.7]",3938644,1,,,,2.0246403,,Right Foot,,,"[76.1, 13.9]",,Ground Pass,,9.123596,,,João Maria Lobo Alves Palhinha Gonçalves,12169.0,,,,,,,1,Regular Play,João Félix Sequeira,12041.0,Left Attacking Midfield,4,Portugal,780,['b425416c-9660-4865-9133-0c595b88344f'],3,,,,,,,,,,,,,,,,Portugal,780,00:01:03.790,Pass,,,,,,,80.1,5.7,76.1,13.9,Georgia vs Portugal,Georgia,Portugal
,,,,,,,,,,,,,,,,,,,1.145615,,,,,,,,,,,,,,,05170616-0c20-421f-bf52-9d92e92105e1,84,,,"[76.1, 13.9]",3938644,1,,,,-2.5045223,,Right Foot,,,"[71.1, 10.2]",,Ground Pass,,6.2201285,,,Gonçalo Bernardo Inácio,42106.0,,,,,,,1,Regular Play,João Maria Lobo Alves Palhinha Gonçalves,12169.0,Left Defensive Midfield,4,Portugal,780,['9ed3f9fd-de77-4e1d-87fd-1c2446640f74'],4,,,,,,,,,,,,,,,,Portugal,780,00:01:04.570,Pass,,,,,,,76.1,13.9,71.1,10.2,Georgia vs Portugal,Georgia,Portugal
,,,,,,,,,,,,,,,,,,,0.780241,,,,,,,,,,,,,,,f95ce772-0576-4de5-8f77-9920a5440d3e,87,,,"[71.1, 10.2]",3938644,1,,,,-0.68405163,,Left Foot,,,"[77.6, 4.9]",,Ground Pass,,8.386894,,,João Félix Sequeira,12041.0,,,,,,,1,Regular Play,Gonçalo Bernardo Inácio,42106.0,Left Center Back,4,Portugal,780,['6df5c29f-dd6a-4381-86b9-da9211ea69d0'],5,,,,,,,,,,,,,,,,Portugal,780,00:01:05.923,Pass,,,,,,,71.1,10.2,77.6,4.9,Georgia vs Portugal,Georgia,Portugal
,,,,,,,,,,,,,,,,,,,0.959542,,,,,,,,,,,,,,,dda50dd4-bb0c-4c4b-997d-c7c6f43c8c8d,90,,,"[76.5, 5.2]",3938644,1,,,,1.9804424,,Right Foot,,,"[69.9, 20.4]",,Ground Pass,,16.571058,,,João Maria Lobo Alves Palhinha Gonçalves,12169.0,,,,,,,1,Regular Play,João Félix Sequeira,12041.0,Left Attacking Midfield,4,Portugal,780,['dca1e5ed-a237-4a41-bc1b-f52b93c2fe30'],7,,,,,,,,,,,,,,,,Portugal,780,00:01:07.075,Pass,,,,,,,76.5,5.2,69.9,20.4,Georgia vs Portugal,Georgia,Portugal
,,,,,,,,,,,,,,,,,,,1.295036,,,,,,,,,,,,,,,4c75176e-71c5-474d-b707-821301be6479,94,,,"[70.5, 18.7]",3938644,1,,,,2.725154,,Right Foot,,,"[54.9, 25.6]",,Ground Pass,,17.057842,,,Danilo Luís Hélio Pereira,13621.0,,,,,,,1,Regular Play,João Maria Lobo Alves Palhinha Gonçalves,12169.0,Left Defensive Midfield,4,Portugal,780,['c00cf586-a464-44cc-9ad6-a91e328dc704'],8,,,,,,,,,,,,,,,,Portugal,780,00:01:08.411,Pass,,,,,,,70.5,18.7,54.9,25.6,Georgia vs Portugal,Georgia,Portugal
,,,,,,,,,,,,,,,,,,,2.161601,,,,,,,,,,,,,,,016af01f-ddd1-4ea5-b0b2-584dd2f17dce,97,,,"[54.2, 25.6]",3938644,1,,,,1.1479424,,Right Foot,,,"[71.3, 63.6]",,Ground Pass,,41.670254,,,António João Pereira Albuquerque Tavares Silva,143854.0,,,,,,,1,Regular Play,Danilo Luís Hélio Pereira,13621.0,Center Back,4,Portugal,780,['435ed887-2983-45ff-90c4-4866f91f0157'],10,,,,,,,,,,,,,,,,Portugal,780,00:01:10.449,Pass,,,,,,,54.2,25.6,71.3,63.6,Georgia vs Portugal,Georgia,Portugal
,,,,,,,,,,,,,,,,,,,0.855142,,,,,,,,,,,,,,,8dcf1925-aee3-447e-af26-49c62c607af5,100,,,"[71.9, 64.1]",3938644,1,,,,0.8647292,,Left Foot,,,"[82.9, 77.0]",,Ground Pass,,16.95317,,,Francisco Fernandes Conceição,39624.0,,,,,,,1,Regular Play,António João Pereira Albuquerque Tavares Silva,143854.0,Right Center Back,4,Portugal,780,['76551249-c925-46f2-a10e-d694de96dcd5'],14,,,,,,,,,,,,,,,,Portugal,780,00:01:14.020,Pass,,,,,,,71.9,64.1,82.9,77.0,Georgia vs Portugal,Georgia,Portugal
,,,,,,,,,,,,,,,,,,,1.15767,,,,,,,,,,,,,,,0cfb0f7a-3960-481b-b233-c6427b564465,102,,,"[82.9, 77.0]",3938644,1,,,,-2.6268713,,Left Foot,,,"[70.7, 70.1]",,Ground Pass,,14.016062,,,António João Pereira Albuquerque Tavares Silva,143854.0,,,,,,,1,Regular Play,Francisco Fernandes Conceição,39624.0,Right Attacking Midfield,4,Portugal,780,['db28784a-c102-4c9d-bd57-b360d8fee515'],14,,,,,,,,,,,,,,,,Portugal,780,00:01:14.875,Pass,,,,,,,82.9,77.0,70.7,70.1,Georgia vs Portugal,Georgia,Portugal
