50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,team,team_id,timestamp,type,under_pressure,tactics.formation,tactics.lineup,tactics,50_50.outcome.id,50_50.outcome.name,x,y,end_x,end_y,match_name,home_team,away_team
,,,,,,,,,,,,,,,1.729074,,,,,,,,,,,,,93aa9489-6f1a-4648-9784-e02c7afe15f9,17,,"[38.9, 72.3]",3930173,0,,,,-2.2655346,,Right Foot,,,"[19.4, 48.9]",Ground Pass,,30.459974,,,,Bart Verbruggen,37274.0,,,,,,1,From Kick Off,Stefan de Vrij,7787.0,Right Center Back,2,Netherlands,941,['4f6aa896-bbae-4abf-8fe3-0f2d2200d3ea'],14,,,,,,,,,,,,,,,,Netherlands,941,00:00:14.204,Pass,,,,,,,38.9,72.3,19.4,48.9,Netherlands vs France,Netherlands,France
,,,,,,,,,,,,,,,2.157731,,,,,,,,,,,,,2bbe0b9d-06b2-4615-8bad-6e26a24c70bb,20,,"[19.4, 49.0]",3930173,0,,,,0.88051665,,Right Foot,,,"[32.2, 64.5]",Ground Pass,,20.10199,,,,Stefan de Vrij,7787.0,,,,,,1,From Kick Off,Bart Verbruggen,37274.0,Goalkeeper,2,Netherlands,941,['1c63ad07-65d2-4e07-adec-0406c855aa94'],18,,,,,,,,,,,,,,,,Netherlands,941,00:00:18.372,Pass,,,,,,,19.4,49.0,32.2,64.5,Netherlands vs France,Netherlands,France
,,,,,,,,,,,,,,,1.444274,,,,,,,,,,,,,6a4e3588-265f-4118-a16e-0b51ca27035c,23,,"[44.0, 68.2]",3930173,0,,,,0.75747246,,Left Foot,,,"[53.2, 76.9]",Ground Pass,,12.662148,,,,Jerdy Schouten,15503.0,,,,,,1,From Kick Off,Stefan de Vrij,7787.0,Right Center Back,2,Netherlands,941,['6a87734a-9121-4537-b9d8-de6c54414229'],24,,,,,,,,,,,,,,,,Netherlands,941,00:00:24.080,Pass,,,,,,,44.0,68.2,53.2,76.9,Netherlands vs France,Netherlands,France
,,,,,,,,,,,,,,,1.067071,,,,,,,,,,,,,8b22fae4-743c-4059-a6b0-3cd06c6a1ab5,26,,"[52.0, 76.9]",3930173,0,,,,-1.4104209,,Right Foot,,,"[54.2, 63.3]",Ground Pass,,13.776793,,,,Tijjani Reijnders,21582.0,,,,,,1,From Kick Off,Jerdy Schouten,15503.0,Right Defensive Midfield,2,Netherlands,941,['a236c798-6c86-4985-bb3d-6b71001d45f5'],26,,,,,,,,,,,,,,,,Netherlands,941,00:00:26.672,Pass,,,,,,,52.0,76.9,54.2,63.3,Netherlands vs France,Netherlands,France
,,,,,,,,,,,,,,,1.751328,,,,,,,,,,,,,3d4743d5-2edc-4491-a3eb-eef4e9e04aa1,29,,"[53.8, 62.3]",3930173,0,,,,2.9970675,,Right Foot,,,"[32.5, 65.4]",Ground Pass,,21.524405,,,,Stefan de Vrij,7787.0,,,,,,1,From Kick Off,Tijjani Reijnders,21582.0,Left Defensive Midfield,2,Netherlands,941,['c43b2d03-14dc-461b-9b7c-f4713ca41a51'],27,,,,,,,,,,,,,,,,Netherlands,941,00:00:27.753,Pass,,,,,,,53.8,62.3,32.5,65.4,Netherlands vs France,Netherlands,France
,,,,,,,,,,,,,,,0.866347,,,,,,,,,,,,,c806cf38-adf0-465a-bff8-109232b5579b,32,,"[32.5, 65.4]",3930173,0,,,,0.058755822,,Right Foot,,,"[39.3, 65.8]",Ground Pass,,6.8117547,,,,Jerdy Schouten,15503.0,,,,,,1,From Kick Off,Stefan de Vrij,7787.0,Right Center Back,2,Netherlands,941,['5bf5e2be-6d33-493a-838b-c992e6618bb0'],29,,,,,,,,,,,,,,,,Netherlands,941,00:00:29.545,Pass,,,,,,,32.5,65.4,39.3,65.8,Netherlands vs France,Netherlands,France
,,,,,,,,,,,,,,,2.66808,,,,,,,,,,,,,f886a7a9-1a4a-4754-a421-21df0b9e755b,34,,"[39.3, 65.8]",3930173,0,,,,-2.0058432,,Left Foot,,,"[24.8, 34.6]",Ground Pass,,34.404797,,,,Virgil van Dijk,3669.0,,,,,,1,From Kick Off,Jerdy Schouten,15503.0,Right Defensive Midfield,2,Netherlands,941,['4d9b5a0e-2463-4639-b593-d5e0d908ec13'],30,,,,,,,,,,,,,,,,Netherlands,941,00:00:30.412,Pass,,,,,,,39.3,65.8,24.8,34.6,Netherlands vs France,Netherlands,France
,,,,,,,,,,,,,,,1.760664,,,,,,,,,,,,,723da30b-f2de-401d-bcb1-a04a894d159a,37,,"[24.8, 33.3]",3930173,0,,,,2.099486,,Left Foot,,,"[18.9, 43.4]",Ground Pass,,11.697008,,,,Bart Verbruggen,37274.0,,,,,,1,From Kick Off,Virgil van Dijk,3669.0,Left Center Back,2,Netherlands,941,['18eaa6d5-ebb4-4fa4-bfd7-7891fd27a04b'],37,,,,,,,,,,,,,,,,Netherlands,941,00:00:37.471,Pass,,,,,,,24.8,33.3,18.9,43.4,Netherlands vs France,Netherlands,France
,,,,,,,,,,,,,,,1.314875,,,,,,,,,,,,,49efbf15-16d8-418b-a759-504ce2991e64,40,,"[18.8, 42.7]",3930173,0,,,,-1.4517044,,Right Foot,,,"[20.2, 31.0]",Ground Pass,,11.783463,,,,Virgil van Dijk,3669.0,,,,,,1,From Kick Off,Bart Verbruggen,37274.0,Goalkeeper,2,Netherlands,941,['0e3975fc-6c20-42e5-b16b-125830df977f'],41,,,,,,,,,,,,,,,,Netherlands,941,00:00:41.627,Pass,,,,,,,18.8,42.7,20.2,31.0,Netherlands vs France,Netherlands,France
,,,,,,,,,,,,,,,1.730513,,,,,,,,,,,,,975fbe1f-c197-408b-8da4-2fa6af2a5ae5,43,,"[18.9, 34.3]",3930173,0,,,,1.1709766,,Right Foot,,,"[32.0, 65.3]",Ground Pass,,33.65427,,,,Stefan de Vrij,7787.0,,,,,,1,From Kick Off,Virgil van Dijk,3669.0,Left Center Back,2,Netherlands,941,['47bedbf3-89b2-4ff6-b9a5-d3dea7c2dbb0'],43,,,,,,,,,,,,,,,,Netherlands,941,00:00:43.563,Pass,,,,,,,18.9,34.3,32.0,65.3,Netherlands vs France,Netherlands,France
,,,,,,,,,,,,,,,1.344982,,,,,,,,,,,,,6f45615d-e309-465e-b382-d5e1fe44a31b,47,,"[32.8, 68.7]",3930173,0,,,,0.97120005,,Right Foot,,,"[38.2, 76.6]",Ground Pass,,9.5692215,,,,Denzel Dumfries,8125.0,,,,,,1,From Kick Off,Stefan de Vrij,7787.0,Right Center Back,2,Netherlands,941,"['04006fda-354c-4766-9614-786b4934b7b0', '333b44e7-23cc-4205-919d-02e6d22baae8']",46,,,,,,,,,,,,,,,,Netherlands,941,00:00:46.176,Pass,True,,,,,,32.8,68.7,38.2,76.6,Netherlands vs France,Netherlands,France
,,,,,,,,,,,,,,,1.094919,,,,,,,,,,,,,10072c10-49d8-43de-ad60-b3030ac212ca,50,,"[38.2, 76.6]",3930173,0,,,,-0.6969201,,Right Foot,,,"[51.7, 65.3]",Ground Pass,,17.605112,,,,Memphis Depay,2988.0,,,,,,1,From Kick Off,Denzel Dumfries,8125.0,Right Back,2,Netherlands,941,['df937582-4016-4162-bf56-bbe59a3d9620'],48,,,,,,,,,,,,,,,,Netherlands,941,00:00:48.110,Pass,,,,,,,38.2,76.6,51.7,65.3,Netherlands vs France,Netherlands,France
,,,,,,,,,,,,,,,1.278393,,,,,,,,,,,,,92ee4c91-1920-4528-b2fd-44087d00bea0,52,,"[51.7, 65.8]",3930173,0,,,,0.56192154,,Right Foot,,,"[65.2, 74.3]",High Pass,,15.953056,,Incomplete,,Jeremie Frimpong,32712.0,,,,,,1,From Kick Off,Memphis Depay,2988.0,Center Forward,2,Netherlands,941,"['5497d8f6-9704-4aaa-a912-354d4744dd7d', '965737bf-5c7d-411d-8f96-61eeab438e29']",49,,,,,,,,,,,,,,,,Netherlands,941,00:00:49.205,Pass,,,,,,,51.7,65.8,65.2,74.3,Netherlands vs France,Netherlands,France
,,,,,,,,,,,,,,,1.766267,,,,,,,,,,,,,965737bf-5c7d-411d-8f96-61eeab438e29,55,,"[54.9, 5.8]",3930173,0,,,,1.6592743,,Left Foot,,,"[53.8, 18.2]",Low Pass,,12.448695,,Incomplete,,William Saliba,17592.0,,,,,Recovery,1,From Kick Off,Theo Bernard François Hernández,6704.0,Left Back,2,Netherlands,941,"['0e2b79df-91d4-404a-a488-5d20d03b5645', '92ee4c91-1920-4528-b2fd-44087d00bea0', 'ffa89c92-168a-4a1a-aabd-bbca70c371e4']",50,,,,,,,,,,,,,,,,France,771,00:00:50.483,Pass,,,,,,,54.9,5.8,53.8,18.2,Netherlands vs France,Netherlands,France
,,,,,,,,,,,,,,,2.626318,,,,,,,,,,,,,ffa89c92-168a-4a1a-aabd-bbca70c371e4,58,,"[66.3, 61.9]",3930173,0,,,,-0.105852865,e530546d-8236-4438-8138-4de501b67626,Right Foot,,,"[98.3, 58.5]",Ground Pass,,32.18012,,,,Jeremie Frimpong,32712.0,True,,Through Ball,True,Recovery,1,From Kick Off,Xavi Simons,39167.0,Center Attacking Midfield,2,Netherlands,941,"['965737bf-5c7d-411d-8f96-61eeab438e29', '9d39b94d-b32f-4d92-a427-49151c5a9e67', 'e9cdef0c-36ca-4102-836d-ae944680d827']",52,,,,,,,,,,,,,,,,Netherlands,941,00:00:52.249,Pass,True,,,,,,66.3,61.9,98.3,58.5,Netherlands vs France,Netherlands,France
,,,,,,,,,,,,,,,1.058365,,,,,,,,,,,,,717398b4-5162-4514-a93e-d819048ad23e,64,,"[120.0, 0.1]",3930173,2,,,,1.6669179,,Right Foot,,,"[116.5, 36.4]",High Pass,True,36.46834,,Incomplete,,Nathan Aké,3306.0,,,Inswinging,,Corner,1,From Corner,Memphis Depay,2988.0,Center Forward,3,Netherlands,941,"['291f8cc0-4f38-43a4-b2bc-388f25fb2862', '6be7cf8a-749b-46d6-b9e0-7e25ad870639']",6,,,,,,,,,,,,,,,,Netherlands,941,00:02:06.242,Pass,,,,,,,120.0,0.1,116.5,36.4,Netherlands vs France,Netherlands,France
,,,,,,,,,,,,,,,1.776026,,,,,,,,,,,,,4ac63467-f809-41d1-9f46-8a415e680c5f,70,,"[20.5, 23.0]",3930173,2,True,,,-0.6923344,,Right Foot,,,"[24.6, 19.6]",Ground Pass,,5.3263497,,,,Adrien Rabiot,3026.0,,,,,Free Kick,1,From Free Kick,William Saliba,17592.0,Left Center Back,4,France,771,['7cd6681d-1f34-47f2-a9d2-e419b8ca44b2'],15,,,,,,,,,,,,,,,,France,771,00:02:15.898,Pass,,,,,,,20.5,23.0,24.6,19.6,Netherlands vs France,Netherlands,France
,,,,,,,,,,,,,,,0.999303,,,,,,,,,,,,,9b610c89-8a25-41b4-b4f3-de0d4a135278,72,,"[37.5, 17.3]",3930173,2,,,,2.9331274,,Left Foot,,,"[32.3, 18.4]",Ground Pass,,5.315073,,,,Aurélien Djani Tchouaméni,10481.0,,,,,,1,From Free Kick,Adrien Rabiot,3026.0,Left Midfield,4,France,771,['7e3b053e-2dbc-418c-9f1d-d8806948d573'],21,,,,,,,,,,,,,,,,France,771,00:02:21.428,Pass,,,,,,,37.5,17.3,32.3,18.4,Netherlands vs France,Netherlands,France
,,,,,,,,,,,,,,,1.189554,,,,,,,,,,,,,0c930bab-0bb1-4a12-8620-f5bec28570d2,75,,"[32.5, 21.2]",3930173,2,,,,1.4025896,,Right Foot,,,"[36.1, 42.4]",Ground Pass,,21.503489,,,,N'Golo Kanté,3961.0,,,,,,1,From Free Kick,Aurélien Djani Tchouaméni,10481.0,Left Defensive Midfield,4,France,771,['3c61d807-b614-40f3-9914-b3797f3ab8af'],23,,,,,,,,,,,,,,,,France,771,00:02:23.682,Pass,,,,,,,32.5,21.2,36.1,42.4,Netherlands vs France,Netherlands,France
,,,,,,,,,,,,,,,0.823648,,,,,,,,,,,,,3901da91-fc96-4594-ac56-032dd3f715e9,77,,"[36.1, 42.4]",3930173,2,,,,-2.8992596,,Right Foot,,,"[27.2, 40.2]",Ground Pass,,9.167879,,,,Dayotchanculle Upamecano,8519.0,,,,,,1,From Free Kick,N'Golo Kanté,3961.0,Right Defensive Midfield,4,France,771,['f5846b9b-2e56-49f0-8826-153020aac885'],24,,,,,,,,,,,,,,,,France,771,00:02:24.871,Pass,,,,,,,36.1,42.4,27.2,40.2,Netherlands vs France,Netherlands,France
,,,,,,,,,,,,,,,1.522125,,,,,,,,,,,,,3b3b2c32-bbb6-47b5-80b3-7bc02bb5ab1e,80,,"[27.7, 40.1]",3930173,2,,,,-1.3579878,,Right Foot,,,"[32.0, 20.2]",Ground Pass,,20.359274,,,,William Saliba,17592.0,,,,,,1,From Free Kick,Dayotchanculle Upamecano,8519.0,Right Center Back,4,France,771,['cf0ded8d-c88a-414d-bba5-10ce11199f67'],27,,,,,,,,,,,,,,,,France,771,00:02:27.020,Pass,,,,,,,27.7,40.1,32.0,20.2,Netherlands vs France,Netherlands,France
,,,,,,,,,,,,,,,1.573271,,,,,,,,,,,,,6d5f0064-258a-4c8b-a785-d7abe41e5be7,83,,"[35.6, 19.9]",3930173,2,,,,1.7417308,,Right Foot,,,"[32.7, 36.7]",Ground Pass,,17.04846,,,,Dayotchanculle Upamecano,8519.0,,,,,,1,From Free Kick,William Saliba,17592.0,Left Center Back,4,France,771,['f0bef57f-4d90-47f9-9b60-da73400431ac'],30,,,,,,,,,,,,,,,,France,771,00:02:30.286,Pass,,,,,,,35.6,19.9,32.7,36.7,Netherlands vs France,Netherlands,France
,,,,,,,,,,,,,,,1.021803,,,,,,,,,,,,,a2b5356d-a0fa-40bf-a2aa-ab70b247cec6,86,,"[36.1, 44.2]",3930173,2,,,,1.3806098,,Left Foot,,,"[39.7, 62.9]",Ground Pass,,19.043371,,,,Jules Koundé,4445.0,,,,,,1,From Free Kick,Dayotchanculle Upamecano,8519.0,Right Center Back,4,France,771,['e36568b7-c640-4a96-a56a-1166694c310b'],33,,,,,,,,,,,,,,,,France,771,00:02:33.801,Pass,,,,,,,36.1,44.2,39.7,62.9,Netherlands vs France,Netherlands,France
,,,,,,,,,,,,,,,0.992687,,,,,,,,,,,,,a24441fa-51a5-454e-812a-00fca81459e8,89,,"[41.8, 59.4]",3930173,2,,,,-2.4822826,,Right Foot,,,"[33.8, 53.2]",Ground Pass,,10.121264,,,,Dayotchanculle Upamecano,8519.0,,,,,,1,From Free Kick,Jules Koundé,4445.0,Right Back,4,France,771,['15b48012-1a51-4996-8a1a-2b37651d5ad8'],36,,,,,,,,,,,,,,,,France,771,00:02:36.206,Pass,,,,,,,41.8,59.4,33.8,53.2,Netherlands vs France,Netherlands,France
,,,,,,,,,,,,,,,1.001618,,,,,,,,,,,,,0e38d3d6-f401-405c-9fe3-a899f7a77a15,92,,"[34.9, 54.7]",3930173,2,,,,0.04542328,,Right Foot,,,"[56.9, 55.7]",Ground Pass,,22.022715,,,,N'Golo Kanté,3961.0,,,,,,1,From Free Kick,Dayotchanculle Upamecano,8519.0,Right Center Back,4,France,771,['7c85d7e6-8995-46ef-81d1-d6a0d8bc542c'],38,,,,,,,,,,,,,,,,France,771,00:02:38.497,Pass,,,,,,,34.9,54.7,56.9,55.7,Netherlands vs France,Netherlands,France
,,,,,,,,,,,,,,,0.659771,,,,,,,,,,,,,a130271d-0690-4a46-abd4-f2ceb0f0cedb,95,,"[72.6, 65.5]",3930173,2,,,,1.1920505,,Left Foot,,,"[76.5, 75.3]",Ground Pass,,10.547511,,,,Ousmane Dembélé,5477.0,,,,,,1,From Free Kick,N'Golo Kanté,3961.0,Right Defensive Midfield,4,France,771,['d9fcc8ba-bb4e-406c-9083-3859c249e2b0'],42,,,,,,,,,,,,,,,,France,771,00:02:42.667,Pass,,,,,,,72.6,65.5,76.5,75.3,Netherlands vs France,Netherlands,France
,,,,,,,,,,,,,,,1.049505,,,,,,,,,,,,,d2cb80c5-21b2-40ec-91e9-3de345ecc36a,102,,"[75.0, 63.7]",3930173,2,,,,-2.643277,,Right Foot,,,"[61.4, 56.3]",Ground Pass,,15.482894,,,,Dayotchanculle Upamecano,8519.0,,,,,,1,From Free Kick,Ousmane Dembélé,5477.0,Right Midfield,4,France,771,['9ea1c127-2aef-4752-a5df-c34152959d4a'],46,,,,,,,,,,,,,,,,France,771,00:02:46.592,Pass,,,,,,,75.0,63.7,61.4,56.3,Netherlands vs France,Netherlands,France
,,,,,,,,,,,,,,,1.555357,,,,,,,,,,,,,92119e23-7618-4375-bbf9-85271f3f4724,105,,"[61.2, 50.9]",3930173,2,,,,-1.5579215,,Right Foot,,,"[61.5, 27.6]",Ground Pass,,23.301931,,,,Aurélien Djani Tchouaméni,10481.0,,,,,,1,From Free Kick,Dayotchanculle Upamecano,8519.0,Right Center Back,4,France,771,['73cdde64-aa71-47d1-9e48-06f6bd9b0d0f'],48,,,,,,,,,,,,,,,,France,771,00:02:48.873,Pass,,,,,,,61.2,50.9,61.5,27.6,Netherlands vs France,Netherlands,France
,,,,,,,,,,,,,,,0.746096,,,,,,,,,,,,,bd0e6b6c-e28d-41e5-8c58-74b1e4a6d4eb,108,,"[64.3, 28.0]",3930173,2,,,,-0.26060238,,Right Foot,,,"[74.8, 25.2]",Ground Pass,,10.866922,,Incomplete,,Adrien Rabiot,3026.0,,,,,,1,From Free Kick,Aurélien Djani Tchouaméni,10481.0,Left Defensive Midfield,4,France,771,"['8c51e743-2169-4f40-a44f-635286c0783c', 'ad132f54-3064-4501-b8b7-563ecbd7b5d7']",52,,,,,,,,,,,,,,,,France,771,00:02:52.396,Pass,,,,,,,64.3,28.0,74.8,25.2,Netherlands vs France,Netherlands,France
