50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_redirect,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,team,team_id,timestamp,type,under_pressure,tactics.formation,tactics.lineup,tactics,50_50.outcome.id,50_50.outcome.name,x,y,end_x,end_y,match_name,home_team,away_team
,,,,,,,,,,,,,,,,,1.485219,,,,,,,,,,,,,,,,117b60f0-1199-497a-b53b-e4abb102c795,925,,,"[40.4, 75.2]",3930160,20,,,,,-1.1601442,,Left Foot,,,,"[49.5, 54.3]",,Ground Pass,,22.795176,,,Mateo Kovačić,5456.0,,,,,,1,From Throw In,Marcelo Brozović,5469.0,Center Defensive Midfield,35,Croatia,785,['e9bd6727-702c-489a-9e54-8ee0c9b1971d'],37,,,,,,,,,,,,,,,,,,,Croatia,785,00:20:37.978,Pass,,,,,,,40.4,75.2,49.5,54.3,Spain vs Croatia,Spain,Croatia
,,,,,,,,,,,,,,,,,0.828867,,,,,,,,,,,,,,,,08c0bc1b-2782-4567-9b87-b47f8a66e598,928,,,"[49.5, 55.6]",3930160,20,,,,,2.5195606,,Right Foot,,,,"[44.2, 59.4]",,Ground Pass,,6.521503,,,Lovro Majer,28914.0,,,,,,1,From Throw In,Mateo Kovačić,5456.0,Left Center Midfield,35,Croatia,785,['02d39a34-766f-40ad-ab4e-576eccec4836'],40,,,,,,,,,,,,,,,,,,,Croatia,785,00:20:40.164,Pass,,,,,,,49.5,55.6,44.2,59.4,Spain vs Croatia,Spain,Croatia
,,,,,,,,,,,,,,,,,1.536286,,,,,,,,,,,,,,,,56e5d698-41ef-43a3-816d-da93a78ef38e,931,,,"[43.3, 58.7]",3930160,20,,,,,-1.9805542,,Right Foot,,,,"[34.7, 38.9]",,Ground Pass,,21.587032,,,Marin Pongracic,8773.0,,,,,,1,From Throw In,Lovro Majer,28914.0,Right Wing,35,Croatia,785,['93fa88eb-0bf4-4646-be8d-32418fbd0f82'],40,,,,,,,,,,,,,,,,,,,Croatia,785,00:20:40.993,Pass,,,,,,,43.3,58.7,34.7,38.9,Spain vs Croatia,Spain,Croatia
,,,,,,,,,,,,,,,,,1.49567,,,,,,,,,,,,,,,,58f19e59-c229-4bef-a870-983dc743b70c,934,,,"[53.3, 24.9]",3930160,20,,,,,-0.90975314,,Right Foot,,,,"[69.4, 4.2]",,Ground Pass,,26.224035,,,Joško Gvardiol,33018.0,,,,,,1,From Throw In,Marin Pongracic,8773.0,Left Center Back,35,Croatia,785,['dee264a4-ff06-478d-8cb3-bdc737896052'],45,,,,,,,,,,,,,,,,,,,Croatia,785,00:20:45.007,Pass,,,,,,,53.3,24.9,69.4,4.2,Spain vs Croatia,Spain,Croatia
,,,,,,,,,,,,,,,,,1.647227,,,,,,,,,,,,,,,,2309dff7-8bed-47c1-8af1-d8c5c92c2607,938,,,"[71.2, 5.1]",3930160,20,,,,,2.5239575,,Right Foot,,,,"[56.7, 15.4]",,Ground Pass,,17.78595,,,Marin Pongracic,8773.0,,,,,,1,From Throw In,Joško Gvardiol,33018.0,Left Back,35,Croatia,785,"['3ead6648-62df-43c4-aeee-9369cf8fe7db', 'c990e545-1fea-4cfc-99a3-e766c9531f5d']",48,,,,,,,,,,,,,,,,,,,Croatia,785,00:20:48.395,Pass,True,,,,,,71.2,5.1,56.7,15.4,Spain vs Croatia,Spain,Croatia
,,,,,,,,,,,,,,,,,0.75052,,,,,,,,,,,,,,,,a5880de9-7042-40a2-b521-b9d9a01d6976,941,,,"[56.7, 15.4]",3930160,20,,,,,1.0184928,,Right Foot,,,,"[62.0, 24.0]",,Ground Pass,,10.10198,,,Mateo Kovačić,5456.0,,,,,,1,From Throw In,Marin Pongracic,8773.0,Left Center Back,35,Croatia,785,['29586879-10fc-4550-b578-5228fb2a442c'],50,,,,,,,,,,,,,,,,,,,Croatia,785,00:20:50.253,Pass,,,,,,,56.7,15.4,62.0,24.0,Spain vs Croatia,Spain,Croatia
,,,,,,,,,,,,,,,,,1.492164,,,,,,,,,,,,,,,,c8136705-103e-4968-b725-bcae471a05b3,944,,,"[63.1, 28.2]",3930160,20,,,,,1.622153,,Right Foot,,,,"[62.0, 49.6]",,Ground Pass,,21.428253,,,Luka Modrić,5463.0,,,,,,1,From Throw In,Mateo Kovačić,5456.0,Left Center Midfield,35,Croatia,785,['b4a70f1a-4759-403f-b4db-4f238499cd70'],54,,,,,,,,,,,,,,,,,,,Croatia,785,00:20:54.949,Pass,,,,,,,63.1,28.2,62.0,49.6,Spain vs Croatia,Spain,Croatia
,,,,,,,,,,,,,,,,,0.79713,,,,,,,,,,,,,,,,64ce3c66-d3a3-4e82-97fc-61b06fd31c67,948,,,"[58.0, 48.7]",3930160,20,,,,,-2.0746233,,Right Foot,,,,"[53.7, 40.9]",,Ground Pass,,8.906739,,,Josip Šutalo,37148.0,,,,,,1,From Throw In,Luka Modrić,5463.0,Right Center Midfield,35,Croatia,785,"['db9b61e2-eb4d-44ee-a5ef-bd0a66c83966', 'e3562f7b-5d36-476c-b4e6-c819aa0c8be0']",56,,,,,,,,,,,,,,,,,,,Croatia,785,00:20:56.978,Pass,True,,,,,,58.0,48.7,53.7,40.9,Spain vs Croatia,Spain,Croatia
,,,,,,,,,,,,,,,,,1.052409,,,,,,,,,,,,,,,,d40beec6-a37c-41c9-9756-ccd27703708a,951,,,"[53.8, 40.9]",3930160,20,,,,,0.61242306,,Right Foot,,,,"[69.6, 52.0]",,Ground Pass,,19.309324,,,Andrej Kramarić,5460.0,,,,,,1,From Throw In,Josip Šutalo,37148.0,Right Center Back,35,Croatia,785,['4b9dc650-5004-49f7-8fbe-62c324531da8'],58,,,,,,,,,,,,,,,,,,,Croatia,785,00:20:58.644,Pass,,,,,,,53.8,40.9,69.6,52.0,Spain vs Croatia,Spain,Croatia
,,,,,,,,,,,,,,,,,2.12152,,,,,,,,,,,,,,,,0abc39fb-7df2-433d-965c-1d5aed6d78dd,954,,,"[76.0, 52.7]",3930160,21,,,,,-0.5708302,,Right Foot,,,,"[105.9, 33.5]",,Ground Pass,,35.533787,Incomplete,,Ante Budimir,8654.0,,,Through Ball,True,,1,From Throw In,Andrej Kramarić,5460.0,Left Wing,35,Croatia,785,"['9a2d1d9e-cae4-4db8-8088-61dd94a63f12', '9fdcd110-1954-4224-aefe-8234473f76b4']",0,,,,,,,,,,,,,,,,,,,Croatia,785,00:21:00.829,Pass,,,,,,,76.0,52.7,105.9,33.5,Spain vs Croatia,Spain,Croatia
