50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,team,team_id,timestamp,type,under_pressure,tactics.formation,tactics.lineup,tactics,50_50.outcome.id,50_50.outcome.name,x,y,end_x,end_y,match_name,home_team,away_team
,,,,,,,,,,,,,,,1.247599,,,,,,,,,,,,,7122011e-872e-4936-bac9-a0f17d3b03ad,3329,,"[19.7, 20.5]",3930178,78,,,,,0.83231205,,Left Foot,,,"[40.0, 42.8]",High Pass,,30.155928,,,,Federico Chiesa,7156.0,,,,,Recovery,2,From Throw In,Alessandro Bastoni,7480.0,Center Back,107,Croatia,785,"['52002cc9-f09f-4148-8402-d15f7651a59e', 'd1ab15dc-9f58-49b2-aae0-ad7813a25b79']",37,,,,,,,,,,,,,,,,Italy,914,00:33:37.422,Pass,,,,,,,19.7,20.5,40.0,42.8,Croatia vs Italy,Croatia,Italy
,,,,,,,,,,,,,,,3.325806,,,,,,,,,,,,,5a56ff2c-dabc-406d-bd1a-e2c368858101,3333,,"[84.8, 28.4]",3930178,78,,,,,-2.774749,,Left Foot,,,"[64.5, 20.6]",Ground Pass,,21.746954,,,,Joško Gvardiol,33018.0,,,,,Recovery,2,From Throw In,Ivan Perišić,5474.0,Left Wing,107,Croatia,785,['d4bcd0ed-5700-404a-b538-e50497ccfc52'],40,,,,,,,,,,,,,,,,Croatia,785,00:33:40.172,Pass,,,,,,,84.8,28.4,64.5,20.6,Croatia vs Italy,Croatia,Italy
,,,,,,,,,,,,,,,0.874471,,,,,,,,,,,,,c403af83-5dfa-4838-8a8b-1f0bffa13f09,3335,,"[61.4, 17.8]",3930178,78,,,,,1.2415646,,Right Foot,,,"[65.5, 29.8]",Ground Pass,,12.681088,,,,Marcelo Brozović,5469.0,,,,,,2,From Throw In,Joško Gvardiol,33018.0,Left Back,107,Croatia,785,['95bcd671-f450-4838-9f0d-f5805ca048ae'],43,,,,,,,,,,,,,,,,Croatia,785,00:33:43.498,Pass,,,,,,,61.4,17.8,65.5,29.8,Croatia vs Italy,Croatia,Italy
,,,,,,,,,,,,,,,1.027413,,,,,,,,,,,,,5d051ca1-193b-4d36-b1d3-e7d77fd14606,3338,,"[62.1, 21.8]",3930178,78,,,,,-1.3854483,,Right Foot,,,"[63.9, 12.2]",Ground Pass,,9.767292,,,,Joško Gvardiol,33018.0,,,,,,2,From Throw In,Marcelo Brozović,5469.0,Center Defensive Midfield,107,Croatia,785,['d563c3a8-0254-4213-a586-37c5fae35212'],45,,,,,,,,,,,,,,,,Croatia,785,00:33:45.999,Pass,,,,,,,62.1,21.8,63.9,12.2,Croatia vs Italy,Croatia,Italy
,,,,,,,,,,,,,,,1.285295,,,,,,,,,,,,,51a1dccb-a76c-4973-a9ae-773dead97612,3342,,"[75.7, 6.5]",3930178,78,,,,,1.2254956,,Left Foot,,,"[80.7, 20.4]",Ground Pass,,14.771933,,,,Luka Ivanušec,28368.0,,,,,,2,From Throw In,Joško Gvardiol,33018.0,Left Back,107,Croatia,785,"['ad2bc8a3-4f7a-4f52-bb7a-dc00440dead1', 'c39a8891-8427-45c2-80f6-a23803a0e265']",48,,,,,,,,,,,,,,,,Croatia,785,00:33:48.091,Pass,True,,,,,,75.7,6.5,80.7,20.4,Croatia vs Italy,Croatia,Italy
,,,,,,,,,,,,,,,1.280719,,,,,,,,,,,,,c10573f7-5399-41ff-9d3d-7e7621ce227c,3346,,"[77.7, 27.6]",3930178,78,,,,,2.3904016,,Right Foot,,,"[64.1, 40.3]",Ground Pass,,18.607794,,,,Josip Šutalo,37148.0,,,,,,2,From Throw In,Luka Ivanušec,28368.0,Left Center Midfield,107,Croatia,785,['4acf2ea4-3085-488f-83c4-191c97038bec'],51,,,,,,,,,,,,,,,,Croatia,785,00:33:51.467,Pass,,,,,,,77.7,27.6,64.1,40.3,Croatia vs Italy,Croatia,Italy
,,,,,,,,,,,,,,,0.788353,,,,,,,,,,,,,c1858cb5-8097-438b-b948-5599fb8ea789,3349,,"[60.8, 45.3]",3930178,78,,,,,1.1677772,,Right Foot,,,"[66.3, 58.2]",Ground Pass,,14.023552,,,,Josip Stanišić,49337.0,,,,,,2,From Throw In,Josip Šutalo,37148.0,Right Center Back,107,Croatia,785,['89eb8dbc-7d60-4d94-af26-b137664c763a'],54,,,,,,,,,,,,,,,,Croatia,785,00:33:54.155,Pass,,,,,,,60.8,45.3,66.3,58.2,Croatia vs Italy,Croatia,Italy
,,,,,,,,,,,,,,,0.90823,,,,,,,,,,,,,b34ef277-2283-4eaa-8cb3-5ea32f100695,3352,,"[65.7, 56.2]",3930178,78,,,,,-1.2291808,,Right Foot,,,"[67.3, 51.7]",Ground Pass,,4.7759814,,,,Marcelo Brozović,5469.0,,,,,,2,From Throw In,Josip Stanišić,49337.0,Right Back,107,Croatia,785,['03f2fce1-cc53-4985-b0fd-36048129de0b'],57,,,,,,,,,,,,,,,,Croatia,785,00:33:57.307,Pass,,,,,,,65.7,56.2,67.3,51.7,Croatia vs Italy,Croatia,Italy
,,,,,,,,,,,,,,,1.053226,,,,,,,,,,,,,c392070b-b482-4d4d-a7cc-b78476a709ca,3355,,"[64.4, 57.9]",3930178,78,,,,,1.2082521,,Right Foot,,,"[71.0, 75.3]",Ground Pass,,18.609674,,,,Luka Modrić,5463.0,,,,,,2,From Throw In,Marcelo Brozović,5469.0,Center Defensive Midfield,107,Croatia,785,['b79db684-c87d-49fb-be25-3a40e1f8d722'],59,,,,,,,,,,,,,,,,Croatia,785,00:33:59.502,Pass,,,,,,,64.4,57.9,71.0,75.3,Croatia vs Italy,Croatia,Italy
,,,,,,,,,,,,,,,2.688334,,,,,,,,,,,,,44b8f5b9-2d83-4b3d-9220-0e8bf08f6d28,3358,,"[70.9, 74.8]",3930178,79,,,,,0.107427955,,Right Foot,,,"[91.3, 77.0]",Low Pass,,20.518284,,,,Marcelo Brozović,5469.0,,,,,,2,From Throw In,Luka Modrić,5463.0,Right Center Midfield,107,Croatia,785,['62287c49-184e-4d54-ac6b-f67f710c8ae8'],1,,,,,,,,,,,,,,,,Croatia,785,00:34:01.083,Pass,,,,,,,70.9,74.8,91.3,77.0,Croatia vs Italy,Croatia,Italy
