50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,player_off_permanent,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,team,team_id,timestamp,type,under_pressure,tactics.formation,tactics.lineup,tactics,50_50.outcome.id,50_50.outcome.name,x,y,end_x,end_y,match_name,home_team,away_team
,,,,,,,,,,,,,,,,,,0.206066,,,,,,,,,,,,9cd85b59-6100-405e-9f9a-aa36455fe8fe,19,,"[117.5, 14.3]",3941021,0,,,,1.5707964,,Left Foot,,,,"[117.5, 16.2]",,Ground Pass,,1.9,,Incomplete,,,,,,,,,1,From Kick Off,Xavi Simons,39167.0,,Center Attacking Midfield,2,Netherlands,941,"['92ed7856-5371-4d82-aa44-78093b739691', 'f74635c1-679c-4814-9216-d5092af17345']",10,,,,,,,,,,,,,,,,Netherlands,941,00:00:10.923,Pass,True,,,,,,117.5,14.3,117.5,16.2,Romania vs Netherlands,Romania,Netherlands
,,,,,,,,,,,,,,,,,,3.079149,,,,,,,,,,,,335a9427-f1fd-46bb-9a11-e246b5996480,26,,"[15.7, 58.8]",3941021,0,,,,0.036856458,,Right Foot,,,,"[83.5, 61.3]",,High Pass,,67.84608,,Incomplete,,Denis Mihai Drăguş,31193.0,,,,,Free Kick,1,From Free Kick,Florin Constantin Niţă,28242.0,,Goalkeeper,4,Romania,905,"['c48a4b13-d41b-4d37-856b-904bf9d4963a', 'ead87b4c-7883-4e5e-b371-2962e44738bb']",40,,,,,,,,,,,,,,,,Romania,905,00:00:40.354,Pass,,,,,,,15.7,58.8,83.5,61.3,Romania vs Netherlands,Romania,Netherlands
,,,,,,,,,,,,,,,,,,1.205668,,,,,,,,,,,,ead87b4c-7883-4e5e-b371-2962e44738bb,28,,"[36.6, 18.8]",3941021,0,,,,0.020509943,,Head,,,,"[56.1, 19.2]",,High Pass,,19.504103,,Incomplete,,Xavi Simons,39167.0,,,,,Recovery,1,From Free Kick,Virgil van Dijk,3669.0,,Left Center Back,4,Romania,905,"['1bacd1c2-0556-4cd2-a1c6-5fd4ddc1c92d', '335a9427-f1fd-46bb-9a11-e246b5996480', '86d6512c-0676-4561-9ef5-61907d7412e0']",43,,,,,,,,,,,,,,,,Netherlands,941,00:00:43.433,Pass,,,,,,,36.6,18.8,56.1,19.2,Romania vs Netherlands,Romania,Netherlands
,,,,,,,,,,,,,,,,,,0.907107,,,,,,,,,,,,45971500-1b2f-49ea-9973-ddc7239f011e,32,,"[64.0, 61.6]",3941021,0,,,,0.028161567,,Right Foot,,,,"[71.1, 61.8]",,High Pass,,7.102816,,Incomplete,,Răzvan Gabriel Marin,16344.0,,,,,,1,From Free Kick,Marius Mihai Marin,30913.0,,Center Defensive Midfield,4,Romania,905,"['1180b474-c6a4-4ca3-9488-0ca3cce213c7', 'dc4ff263-5617-4129-b136-0a9ec3fae030']",45,,,,,,,,,,,,,,,,Romania,905,00:00:45.600,Pass,,,,,,,64.0,61.6,71.1,61.8,Romania vs Netherlands,Romania,Netherlands
,,,,,,,,,,,,,,,,,,0.924295,,,,,,,,,,,,fc6294c8-95a8-4555-a34c-13cb52285197,37,,"[76.8, 64.3]",3941021,0,,,,0.995724,,Right Foot,,,,"[80.3, 69.7]",,Low Pass,,6.43506,,Incomplete,,Dennis Man,56905.0,,,,,Recovery,1,From Free Kick,Denis Mihai Drăguş,31193.0,,Center Forward,4,Romania,905,"['d1bc07ba-1925-4304-8b1c-1e237317f44b', 'ee18c8d6-041b-4dec-a2e6-f66875ed52e5', 'f04c7ebe-cb32-4702-ab1a-001567369dac']",47,,,,,,,,,,,,,,,,Romania,905,00:00:47.545,Pass,True,,,,,,76.8,64.3,80.3,69.7,Romania vs Netherlands,Romania,Netherlands
,,,,,,,,,,,,,,,,,,3.502169,,,,,,,,,,,,f04c7ebe-cb32-4702-ab1a-001567369dac,39,,"[39.8, 10.4]",3941021,0,,,,-0.121352,,Left Foot,,,,"[72.6, 6.4]",,High Pass,,33.043003,,Incomplete,,Memphis Depay,2988.0,,,,,Recovery,1,From Free Kick,Nathan Aké,3306.0,,Left Back,4,Romania,905,"['6d22369c-73a1-4ea8-a51b-c7bccc94971f', 'c576c996-61ed-4f06-b0a1-c8414bc54d75', 'fc6294c8-95a8-4555-a34c-13cb52285197']",48,,,,,,,,,,,,,,,,Netherlands,941,00:00:48.469,Pass,,,,,,,39.8,10.4,72.6,6.4,Romania vs Netherlands,Romania,Netherlands
,,,,,,,,,,,,,,,,,,0.959049,,,,,,,,,,,,6d22369c-73a1-4ea8-a51b-c7bccc94971f,41,,"[47.5, 73.7]",3941021,0,,,,-0.21320452,,Head,,,,"[57.2, 71.6]",,Low Pass,,9.924717,,,,Răzvan Gabriel Marin,16344.0,,,,,Recovery,1,From Free Kick,Radu Drăgușin,39615.0,,Right Center Back,4,Romania,905,"['26ea2825-71d8-4830-8bc9-275559b442ed', 'f04c7ebe-cb32-4702-ab1a-001567369dac']",51,,,,,,,,,,,,,,,,Romania,905,00:00:51.971,Pass,,,,,,,47.5,73.7,57.2,71.6,Romania vs Netherlands,Romania,Netherlands
,,,,,,,,,,,,,,,,,,0.771964,,,,,,,,,,,,00e4a5ca-c9d7-4436-b43f-8b3562b64bd6,50,,"[60.2, 6.6]",3941021,0,,,,0.0,,Right Foot,,,,"[62.9, 6.6]",,Ground Pass,,2.7,,,,Cody Mathès Gakpo,20750.0,,,,,,1,From Free Kick,Tijjani Reijnders,21582.0,,Left Defensive Midfield,4,Romania,905,"['62416683-8c7c-4a93-b985-8d52a36c3f6d', '8ff5da2e-1d0f-464e-bcc5-f3dca459c7b8', 'c62511c1-d6ad-4ccc-a096-8a8d4185be2f']",56,,,,,,,,,,,,,,,,Netherlands,941,00:00:56.036,Pass,True,,,,,,60.2,6.6,62.9,6.6,Romania vs Netherlands,Romania,Netherlands
,,,,,,,,,,,,,,,,,,0.966669,,,,,,,,,,,,cbb151bd-d468-4ccb-9ac1-8f78faa92d7c,54,,"[62.9, 6.6]",3941021,0,,,,0.21109334,,Left Foot,,,,"[65.7, 7.2]",,High Pass,,2.8635643,,Incomplete,,Xavi Simons,39167.0,,,,,,1,From Free Kick,Cody Mathès Gakpo,20750.0,,Left Wing,4,Romania,905,"['6df25e7e-cc78-477e-ab77-bda6f52dea36', '94a79571-596c-446f-9d9d-57a561b0ba23', 'a7abccba-adc5-4acf-80a7-c34c75b3a8fb']",57,,,,,,,,,,,,,,,,Netherlands,941,00:00:57.139,Pass,True,,,,,,62.9,6.6,65.7,7.2,Romania vs Netherlands,Romania,Netherlands
,,,,,,,,,,,,,,,,,,1.083006,,,,,,,,,,,,94a79571-596c-446f-9d9d-57a561b0ba23,56,,"[54.4, 72.9]",3941021,0,,,,0.4636476,,Head,,,,"[63.4, 77.4]",,High Pass,,10.062305,,,,Denis Mihai Drăguş,31193.0,,,,,Recovery,1,From Free Kick,Marius Mihai Marin,30913.0,,Center Defensive Midfield,4,Romania,905,"['0b26cb9a-914c-4300-8e90-87290ecabe89', 'cbb151bd-d468-4ccb-9ac1-8f78faa92d7c']",58,,,,,,,,,,,,,,,,Romania,905,00:00:58.105,Pass,,,,,,,54.4,72.9,63.4,77.4,Romania vs Netherlands,Romania,Netherlands
