50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,team,team_id,timestamp,type,under_pressure,tactics.formation,tactics.lineup,tactics,50_50.outcome.id,50_50.outcome.name,x,y,end_x,end_y,match_name,home_team,away_team
,,,,,,,,,,,,,,,,,,1.216489,,,,,,,,,,,,,000ef3b2-31fa-47de-a6e3-76776cae7631,1189,,,"[89.1, 1.3]",3930179,29,,,,,0.91482925,,Left Foot,,,"[102.8, 19.1]",,Ground Pass,,22.461744,,,Qazim Laçi,7531.0,,,,,,1,From Throw In,Mario Mitaj,49097.0,Left Back,51,Albania,906,['e65dbb8b-8e71-4fb8-beda-b030b0d69721'],16,,,,,,,,,,,,,,,,Albania,906,00:29:16.982,Pass,,,,,,,89.1,1.3,102.8,19.1,Albania vs Spain,Albania,Spain
,,,,,,,,,,,,,,,,,,0.936489,,,,,,,,,,,,,fbde2e48-3ec6-4cac-8c11-4ebe5c416971,1195,,,"[22.9, 53.8]",3930179,29,,,,,-0.21406068,,Right Foot,,,"[41.3, 49.8]",,Ground Pass,,18.829763,,,José Luis Sanmartín Mato,3265.0,,,,,Recovery,1,From Throw In,Daniel Vivian Moreno,41542.0,Right Center Back,51,Albania,906,['a131e1b5-7ee0-4608-8a1e-a4acb1c1457a'],20,,,,,,,,,,,,,,,,Spain,772,00:29:20.791,Pass,,,,,,,22.9,53.8,41.3,49.8,Albania vs Spain,Albania,Spain
,,,,,,,,,,,,,,,,,,0.178627,,,,,,,,,,,,,3d18a01c-0f06-4a8f-9951-cc03af0e4d6d,1198,,,"[41.3, 49.8]",3930179,29,,,,,0.0,,Right Foot,,,"[44.6, 49.8]",,Ground Pass,,3.3,Incomplete,,,,,,,,,1,From Throw In,José Luis Sanmartín Mato,3265.0,Center Forward,51,Albania,906,"['938acab3-cda5-454a-986c-3b318e333403', 'd4810244-10d1-417e-8faa-e0d68ffad866']",21,,,,,,,,,,,,,,,,Spain,772,00:29:21.727,Pass,True,,,,,,41.3,49.8,44.6,49.8,Albania vs Spain,Albania,Spain
,,,,,,,,,,,,,,,,,,1.653732,,,,,,,,,,,,,35aaf291-9cf5-4be1-b550-de789099267a,1202,,,"[87.5, 29.4]",3930179,29,,,,,1.7403483,,Right Foot,,,"[81.2, 66.2]",,Ground Pass,,37.335373,,,Iván Balliu Campeny,3378.0,,,,,,1,From Throw In,Qazim Laçi,7531.0,Center Attacking Midfield,51,Albania,906,['56fd2d4d-d99d-4a82-b2e6-39d6ae3d872e'],27,,,,,,,,,,,,,,,,Albania,906,00:29:27.510,Pass,,,,,,,87.5,29.4,81.2,66.2,Albania vs Spain,Albania,Spain
,,,,,,,,,,,,,,,,,,0.759379,,,,,,,,,,,,,b63fa5f7-4680-4c5f-b7ea-7c7d1c5378c6,1205,,,"[83.3, 67.6]",3930179,29,,,,,0.851093,,Right Foot,,,"[90.4, 75.7]",,Ground Pass,,10.771258,,,Jasir Asani,41186.0,,,,,,1,From Throw In,Iván Balliu Campeny,3378.0,Right Back,51,Albania,906,['eec71dcd-e8ad-4de2-a060-f163982621ef'],30,,,,,,,,,,,,,,,,Albania,906,00:29:30.556,Pass,,,,,,,83.3,67.6,90.4,75.7,Albania vs Spain,Albania,Spain
,,,,,,,,,,,,,,,,,,2.742955,,,,,,,,,,,,,8b5bd458-588c-44de-95ef-a820d3bc0555,1208,,,"[83.5, 66.2]",3930179,29,,,,,-0.77010036,,Left Foot,,,"[120.0, 30.8]",,High Pass,,50.846928,Out,,,,,,,,,1,From Throw In,Jasir Asani,41186.0,Right Wing,51,Albania,906,,33,,,,,,,,,,,,,,,,Albania,906,00:29:33.706,Pass,,,,,,,83.5,66.2,120.0,30.8,Albania vs Spain,Albania,Spain
,,,,,,,,,,,,,,,,,,1.004161,,,,,,,,,,,,,cffa3982-2d8e-4ca4-90fc-976490a6f1f8,1209,,,"[7.0, 32.4]",3930179,30,,,,,1.9956285,,Left Foot,,,"[3.2, 40.8]",,Ground Pass,,9.219544,,,David Raya Martin,4127.0,,,,,Goal Kick,1,From Goal Kick,Aymeric Laporte,4353.0,Left Center Back,52,Spain,772,['6e69c551-b6c6-4e50-853e-544b067ddc9c'],6,,,,,,,,,,,,,,,,Spain,772,00:30:06.750,Pass,,,,,,,7.0,32.4,3.2,40.8,Albania vs Spain,Albania,Spain
,,,,,,,,,,,,,,,,,,3.701834,,,,,,,,,,,,,b7953c1b-7726-4178-afe2-8c43e72e9f4b,1212,,,"[7.7, 39.2]",3930179,30,,,,,-0.39305803,,Right Foot,,,"[69.2, 13.7]",,High Pass,,66.57703,Pass Offside,,Mikel Oyarzabal Ugarte,6685.0,,,,,,1,From Goal Kick,David Raya Martin,4127.0,Goalkeeper,52,Spain,772,['7d868c22-2575-4e00-8529-a48246fccf2b'],9,,,,,,,,,,,,,,,,Spain,772,00:30:09.500,Pass,,,,,,,7.7,39.2,69.2,13.7,Albania vs Spain,Albania,Spain
,,,,,,,,,,,,,,,,,,3.6,,,,,,,,,,,,,fe231051-e691-46d0-85af-9c26c28fa253,1214,,,"[48.4, 67.4]",3930179,30,,True,,,-1.8138294,,Right Foot,,,"[39.4, 31.1]",,Ground Pass,,37.399063,,,Kristjan Asllani,57303.0,,,,,Free Kick,1,From Free Kick,Arlind Afrim Ajeti,8291.0,Right Center Back,53,Albania,906,['6ae413e8-b1b9-4583-86aa-05e8deba6afd'],23,,,,,,,,,,,,,,,,Albania,906,00:30:23.124,Pass,,,,,,,48.4,67.4,39.4,31.1,Albania vs Spain,Albania,Spain
,,,,,,,,,,,,,,,,,,1.255046,,,,,,,,,,,,,a7be78db-25e1-4554-a981-dd5a104cdae6,1216,,,"[35.3, 27.5]",3930179,30,,,,,-2.4384825,,Right Foot,,,"[24.8, 18.6]",,Ground Pass,,13.764447,,,Berat Djimsiti,7108.0,,,,,,1,From Free Kick,Kristjan Asllani,57303.0,Left Defensive Midfield,53,Albania,906,['f2d1312c-17f8-46c0-9a46-fb51a8031d14'],27,,,,,,,,,,,,,,,,Albania,906,00:30:27.048,Pass,,,,,,,35.3,27.5,24.8,18.6,Albania vs Spain,Albania,Spain
,,,,,,,,,,,,,,,,,,1.479445,,,,,,,,,,,,,2d3a7f3b-62aa-4f7d-8919-56bbaeca0200,1219,,,"[25.1, 18.6]",3930179,30,,,,,-0.8523904,,Right Foot,,,"[39.7, 1.9]",,Ground Pass,,22.1822,,,Mario Mitaj,49097.0,,,,,,1,From Free Kick,Berat Djimsiti,7108.0,Left Center Back,53,Albania,906,['dc7f14f0-9bc5-45a0-9f32-55b2c43d1f2d'],28,,,,,,,,,,,,,,,,Albania,906,00:30:28.366,Pass,,,,,,,25.1,18.6,39.7,1.9,Albania vs Spain,Albania,Spain
,,,,,,,,,,,,,,,,,,1.007282,,,,,,,,,,,,,a6e3e386-d638-40ea-8cc7-098733424a73,1222,,,"[37.8, 3.5]",3930179,30,,,,,1.0516502,,Left Foot,,,"[41.0, 9.1]",,Ground Pass,,6.449806,,,Kristjan Asllani,57303.0,,,,,,1,From Free Kick,Mario Mitaj,49097.0,Left Back,53,Albania,906,['efdb4c98-45b3-48e2-8485-e383f333dd9f'],30,,,,,,,,,,,,,,,,Albania,906,00:30:30.432,Pass,,,,,,,37.8,3.5,41.0,9.1,Albania vs Spain,Albania,Spain
,,,,,,,,,,,,,,,,,,2.717297,,,,,,,,,,,,,c8846921-0871-4f1b-813a-730621f7fcf1,1225,,,"[41.0, 9.1]",3930179,30,,,,,0.03029376,,Right Foot,,,"[83.9, 10.4]",,High Pass,,42.919693,Incomplete,,Rey Manaj,23987.0,,,,,,1,From Free Kick,Kristjan Asllani,57303.0,Left Defensive Midfield,53,Albania,906,"['3ebe98cd-0638-441b-986b-a80cc1e61812', '45f72514-bb95-4cfb-8322-0c70bb8dc99c']",31,,,,,,,,,,,,,,,,Albania,906,00:30:31.454,Pass,,,,,,,41.0,9.1,83.9,10.4,Albania vs Spain,Albania,Spain
,,,,,,,,,,,,,,,,,,1.381471,,,,,,,,,,,,,2cbeece1-89a6-4d5c-9b77-f55eb79201ec,1229,,,"[82.7, 0.1]",3930179,30,,,,,0.45647928,,,,,"[93.9, 5.6]",,High Pass,,12.47758,,,Rey Manaj,23987.0,,,,,Throw-in,1,From Throw In,Mario Mitaj,49097.0,Left Back,54,Albania,906,['2706a4c4-e6d3-4608-9fbb-9b426235d3b4'],46,,,,,,,,,,,,,,,,Albania,906,00:30:46.018,Pass,,,,,,,82.7,0.1,93.9,5.6,Albania vs Spain,Albania,Spain
,,,,,,,,,,,,,,,,,,0.626019,,,,,,,,,,,,,aba404d5-ce36-4731-a0fc-485517849e0d,1233,,,"[93.9, 5.6]",3930179,30,,,,,-0.9774462,,Other,,,"[96.8, 1.3]",,Low Pass,,5.186521,,,Nedim Bajrami,32030.0,,,,,,1,From Throw In,Rey Manaj,23987.0,Center Forward,54,Albania,906,['7361e90e-1774-44e1-b1e2-a98f8fd2e974'],47,,,,,,,,,,,,,,,,Albania,906,00:30:47.506,Pass,,,,,,,93.9,5.6,96.8,1.3,Albania vs Spain,Albania,Spain
,,,,,,,,,,,,,,,,,,4.940101,,,,,,,,,,,,,e4c7f66b-7a34-41cf-a727-92ac22f7f361,1239,,,"[95.0, 0.1]",3930179,31,,,,,0.9272952,,,,,"[115.1, 26.9]",,High Pass,,33.5,Incomplete,,Rey Manaj,23987.0,,,,,Throw-in,1,From Throw In,Mario Mitaj,49097.0,Left Back,55,Albania,906,"['076539d5-3f4d-4347-b61a-936b84480fc5', '191d475b-cf51-49cb-82bc-bb252a9a97af']",0,,,,,,,,,,,,,,,,Albania,906,00:31:00.137,Pass,,,,,,,95.0,0.1,115.1,26.9,Albania vs Spain,Albania,Spain
,,,,,,,,,,,,,,,,,,1.000655,,,,,,,,,,,,,56df7cb3-2275-457a-bef4-988ba5c63701,1243,,,"[15.4, 35.2]",3930179,31,,,,,0.7414704,,Keeper Arm,,,"[24.9, 43.9]",,Ground Pass,,12.88177,,,Martín Zubimendi Ibáñez,24921.0,,,,,,1,Regular Play,David Raya Martin,4127.0,Goalkeeper,56,Spain,772,['b4b256fa-0995-461f-ad31-090e1132d661'],13,,,,,,,,,,,,,,,,Spain,772,00:31:13.389,Pass,,,,,,,15.4,35.2,24.9,43.9,Albania vs Spain,Albania,Spain
,,,,,,,,,,,,,,,,,,1.05119,,,,,,,,,,,,,9a08fe35-b79d-4c45-8a32-7282d9c02fed,1245,,,"[24.9, 43.9]",3930179,31,,,,,-2.6476512,,Right Foot,,,"[14.5, 38.3]",,Ground Pass,,11.811858,,,David Raya Martin,4127.0,,,,,,1,Regular Play,Martín Zubimendi Ibáñez,24921.0,Right Defensive Midfield,56,Spain,772,['f11dcb70-abcd-4e29-a757-87ee0132d5c6'],14,,,,,,,,,,,,,,,,Spain,772,00:31:14.390,Pass,,,,,,,24.9,43.9,14.5,38.3,Albania vs Spain,Albania,Spain
,,,,,,,,,,,,,,,,,,1.599119,,,,,,,,,,,,,713859f7-e063-4306-858c-9044d4404024,1248,,,"[14.5, 38.3]",3930179,31,,,,,-1.2547168,,Right Foot,,,"[19.7, 22.4]",,Ground Pass,,16.728718,,,Aymeric Laporte,4353.0,,,,,,1,Regular Play,David Raya Martin,4127.0,Goalkeeper,56,Spain,772,['d99d7c8f-a87c-465d-9ccf-b492e2560787'],17,,,,,,,,,,,,,,,,Spain,772,00:31:17.686,Pass,,,,,,,14.5,38.3,19.7,22.4,Albania vs Spain,Albania,Spain
,,,,,,,,,,,,,,,,,,0.984985,,,,,,,,,,,,,781bf7f9-6b0c-4d7b-9c5a-988147659095,1251,,,"[19.9, 22.4]",3930179,31,,,,,0.51048833,,Left Foot,,,"[32.4, 29.4]",,Ground Pass,,14.326549,,,Martín Zubimendi Ibáñez,24921.0,,,,,,1,Regular Play,Aymeric Laporte,4353.0,Left Center Back,56,Spain,772,['6331e761-f109-46b6-af74-30fd477ef0f3'],19,,,,,,,,,,,,,,,,Spain,772,00:31:19.618,Pass,,,,,,,19.9,22.4,32.4,29.4,Albania vs Spain,Albania,Spain
,,,,,,,,,,,,,,,,,,2.066991,,,,,,,,,,,,,22b0aaf2-85d0-4f57-aa0b-b0324e945b49,1255,,,"[37.8, 33.9]",3930179,31,,,,,2.8075645,,Left Foot,,,"[15.9, 41.5]",,Low Pass,,23.181242,,,David Raya Martin,4127.0,,,,,,1,Regular Play,Martín Zubimendi Ibáñez,24921.0,Right Defensive Midfield,56,Spain,772,['e137c31b-561d-4951-a84f-7c024c195e54'],22,,,,,,,,,,,,,,,,Spain,772,00:31:22.979,Pass,,,,,,,37.8,33.9,15.9,41.5,Albania vs Spain,Albania,Spain
