50_50,bad_behaviour_card,ball_receipt_outcome,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,team,team_id,timestamp,type,under_pressure,tactics.formation,tactics.lineup,tactics,50_50.outcome.id,50_50.outcome.name,x,y,end_x,end_y,match_name,home_team,away_team
,,,,,"[43.6, 7.5]",,,,,,,,,,,0.037967,,,,,,,,,,,,,94454520-c08d-4d81-b784-be606c6dc545,2208,,,"[42.8, 7.5]",3930161,49,,,,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,Mario Mitaj,49097.0,Left Back,70,Albania,906,"['244e4b7f-ce70-4a3e-bab3-bd7587f624c6', 'abdd06e0-7989-4b4c-83f2-629c2f17a550']",47,,,,,,,,,,,,,,,,,Albania,906,00:04:47.318,Carry,,,,,,,42.8,7.5,43.6,7.5,Italy vs Albania,Italy,Albania
,,,,,"[84.3, 27.5]",,,,,,,,,,,2.994443,,,,,,,,,,,,,aec0944a-06a6-41be-9c06-fb6f1a56c866,2211,,,"[56.6, 19.7]",3930161,49,,,,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,Nedim Bajrami,32030.0,Center Attacking Midfield,70,Albania,906,"['72330f55-cafc-4130-9f93-3bc869a0c784', 'bb9e63f5-7239-4a4e-a6ba-55747df63633']",49,,,,,,,,,,,,,,,,,Albania,906,00:04:49.145,Carry,,,,,,,56.6,19.7,84.3,27.5,Italy vs Albania,Italy,Albania
,,,,,"[80.3, 46.1]",,,,,,,,,,,2.493678,,,,,,,,,,,,,8ed2d947-ee9c-4acb-87ab-78db1743da10,2214,,,"[85.6, 48.3]",3930161,49,,,,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,Armando Broja,36885.0,Center Forward,70,Albania,906,"['07cfaf7c-5a56-41f6-a512-b2874820f9d0', '8e90af3f-d5b5-4397-b7ba-73b9510be572', 'a0b1ac6b-2275-4306-b95f-af41808484d4']",53,,,,,,,,,,,,,,,,,Albania,906,00:04:53.064,Carry,True,,,,,,85.6,48.3,80.3,46.1,Italy vs Albania,Italy,Albania
,,,,,"[79.1, 30.7]",,,,,,,,,,,3.205608,,,,,,,,,,,,,bd5fba7a-68a8-4d98-9cd3-f91e1008e118,2218,,,"[80.3, 46.1]",3930161,49,,,,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,Armando Broja,36885.0,Center Forward,70,Albania,906,"['14c2ec16-81de-4bc9-b28b-632ec9e860ee', '8e90af3f-d5b5-4397-b7ba-73b9510be572', 'b8c247b8-c4c1-459d-8c79-2efe07649fd0', 'd4f1bb7a-fe45-458e-a213-a89008fb9978']",55,,,,,,,,,,,,,,,,,Albania,906,00:04:55.558,Carry,True,,,,,,80.3,46.1,79.1,30.7,Italy vs Albania,Italy,Albania
,,,,,"[92.1, 28.2]",,,,,,,,,,,0.799174,,,,,,,,,,,,,70025f39-7687-4f85-ac0e-44471e76c868,2222,,,"[93.3, 18.9]",3930161,50,,,,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,Taulant Sulejmanov,29531.0,Left Wing,70,Albania,906,"['3403aa47-d755-4fe6-a5f0-55c2a2216569', '84f24d4f-763f-4646-b125-e167112d0885', 'fd2b003a-a0f5-458c-95d2-953e6bdd8bdf']",0,,,,,,,,,,,,,,,,,Albania,906,00:05:00.073,Carry,True,,,,,,93.3,18.9,92.1,28.2,Italy vs Albania,Italy,Albania
,,,,,"[70.2, 58.6]",,,,,,,,,,,0.708814,,,,,,,,,,,,,e8629c59-5bbe-42b6-8510-906e8242973d,2236,,,"[72.3, 59.7]",3930161,53,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Ylber Ramadani,24438.0,Right Defensive Midfield,74,Albania,906,"['4c7a3b3b-680c-4ed2-bc47-1ed4002c757a', '80fb107b-c49a-4505-8ac7-daa6862c3cd4']",11,,,,,,,,,,,,,,,,,Albania,906,00:08:11.634,Carry,,,,,,,72.3,59.7,70.2,58.6,Italy vs Albania,Italy,Albania
,,,,,"[56.6, 27.2]",,,,,,,,,,,1.255417,,,,,,,,,,,,,ee3601e4-1cd5-401f-91e7-25598137480d,2239,,,"[56.9, 36.7]",3930161,53,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Berat Djimsiti,7108.0,Left Center Back,74,Albania,906,"['0aff3baa-16f9-450c-b93c-01ec43646680', '19696459-979a-4c3d-8b37-bab0a28ecd8f']",14,,,,,,,,,,,,,,,,,Albania,906,00:08:14.225,Carry,,,,,,,56.9,36.7,56.6,27.2,Italy vs Albania,Italy,Albania
,,,,,"[76.7, 22.9]",,,,,,,,,,,1.415818,,,,,,,,,,,,,a1b51824-98ed-4cb8-9899-59770da77a9d,2242,,,"[76.7, 23.7]",3930161,53,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Nedim Bajrami,32030.0,Center Attacking Midfield,74,Albania,906,"['2aef6a28-3efd-480f-81f5-5784570196d2', '4037a6e8-4846-430e-9941-389862aa10dd']",17,,,,,,,,,,,,,,,,,Albania,906,00:08:17.110,Carry,,,,,,,76.7,23.7,76.7,22.9,Italy vs Albania,Italy,Albania
,,,,,"[71.2, 11.4]",,,,,,,,,,,1.110075,,,,,,,,,,,,,a9b4236c-3e13-46d1-8b98-f74720b9e2c2,2245,,,"[72.0, 9.3]",3930161,53,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Mario Mitaj,49097.0,Left Back,74,Albania,906,"['8515fa67-4c95-4066-bfac-cd90f0ae0e34', 'dc305b99-4e02-4a1e-b74c-8356796eaab7']",19,,,,,,,,,,,,,,,,,Albania,906,00:08:19.467,Carry,,,,,,,72.0,9.3,71.2,11.4,Italy vs Albania,Italy,Albania
,,,,,"[56.9, 25.9]",,,,,,,,,,,1.037749,,,,,,,,,,,,,fd73aacb-a2a8-42a5-8df3-83c9637caa5d,2248,,,"[57.1, 25.3]",3930161,53,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Berat Djimsiti,7108.0,Left Center Back,74,Albania,906,"['5e4584d3-de3c-4030-8058-4c6efb6e3893', 'a548f25f-7d4a-4dd9-969f-5c99d61f87e2']",22,,,,,,,,,,,,,,,,,Albania,906,00:08:22.209,Carry,,,,,,,57.1,25.3,56.9,25.9,Italy vs Albania,Italy,Albania
,,,,,"[70.4, 54.0]",,,,,,,,,,,2.260628,,,,,,,,,,,,,c755564b-cbb6-4bc2-a134-02511cf36bd4,2251,,,"[63.7, 45.9]",3930161,53,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Ylber Ramadani,24438.0,Right Defensive Midfield,74,Albania,906,"['8368227e-c5b1-44da-a204-f73875ba85a2', 'e17bac73-f382-49a3-a9ba-fbd68fbf35c3']",24,,,,,,,,,,,,,,,,,Albania,906,00:08:24.594,Carry,,,,,,,63.7,45.9,70.4,54.0,Italy vs Albania,Italy,Albania
,,,,,"[85.4, 76.3]",,,,,,,,,,,0.544058,,,,,,,,,,,,,3d2aa1dc-3947-4a5f-a250-8121dd1e95e7,2254,,,"[85.4, 76.3]",3930161,53,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Elseid Hysaj,7031.0,Right Back,74,Albania,906,"['4b70f559-76f4-4346-a7e0-f5002306daf9', 'bc5cbca1-b0a5-43a2-a916-939e4e56bb18']",28,,,,,,,,,,,,,,,,,Albania,906,00:08:28.621,Carry,,,,,,,85.4,76.3,85.4,76.3,Italy vs Albania,Italy,Albania
,,,,,"[86.7, 73.0]",,,,,,,,,,,1.919457,,,,,,,,,,,,,f4195ebf-fa21-4bf0-a39f-46b266241400,2258,,,"[93.7, 76.8]",3930161,53,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Jasir Asani,41186.0,Right Wing,74,Albania,906,"['064cb600-85fb-4f39-9cef-38fdafe9aa34', '8be242b1-198a-435d-9113-a1ffc660d8ae']",30,,,,,,,,,,,,,,,,,Albania,906,00:08:30.266,Carry,,,,,,,93.7,76.8,86.7,73.0,Italy vs Albania,Italy,Albania
,,,,,"[70.7, 68.4]",,,,,,,,,,,0.603163,,,,,,,,,,,,,e4bd866d-6b09-4657-86fa-6e2f97e1eb2c,2261,,,"[70.2, 70.6]",3930161,53,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Ylber Ramadani,24438.0,Right Defensive Midfield,74,Albania,906,"['d50e71b7-e0c3-413d-9215-e3c84c6227dc', 'fbfb8986-d360-4268-8c6c-154a62e90c9e']",33,,,,,,,,,,,,,,,,,Albania,906,00:08:33.564,Carry,,,,,,,70.2,70.6,70.7,68.4,Italy vs Albania,Italy,Albania
,,,,,"[56.1, 30.7]",,,,,,,,,,,0.893386,,,,,,,,,,,,,f738bb9c-781c-4169-9588-661bd78a03b8,2264,,,"[56.4, 37.2]",3930161,53,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Berat Djimsiti,7108.0,Left Center Back,74,Albania,906,"['3305bd91-44ee-4f47-935a-1d9be88deeec', 'fb90b208-1e1e-4bd4-8ce1-cab52d76f77e']",36,,,,,,,,,,,,,,,,,Albania,906,00:08:36.787,Carry,,,,,,,56.4,37.2,56.1,30.7,Italy vs Albania,Italy,Albania
,,,,,"[63.9, 17.5]",,,,,,,,,,,2.306757,,,,,,,,,,,,,ac339867-f2d7-4f40-b2f8-fd48a05149c9,2267,,,"[64.3, 14.8]",3930161,53,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Mario Mitaj,49097.0,Left Back,74,Albania,906,"['641432c2-95f6-4d83-8907-7a56fa5c2dc9', '90ea18f3-bad7-4ccd-a216-1a2a4905b771']",38,,,,,,,,,,,,,,,,,Albania,906,00:08:38.685,Carry,,,,,,,64.3,14.8,63.9,17.5,Italy vs Albania,Italy,Albania
,,,,,"[72.3, 19.4]",,,,,,,,,,,0.375225,,,,,,,,,,,,,f2554ef9-5cbe-404d-b838-bcf8f68158ac,2270,,,"[72.6, 19.3]",3930161,53,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Nedim Bajrami,32030.0,Center Attacking Midfield,74,Albania,906,"['17f6b328-bec0-4429-8e7a-42abe819ef97', '26356d8e-b85f-4839-bc63-7b3558c22495', '9f4a8693-4837-4413-bd5d-1a6cd1eb9c6d']",41,,,,,,,,,,,,,,,,,Albania,906,00:08:41.754,Carry,True,,,,,,72.6,19.3,72.3,19.4,Italy vs Albania,Italy,Albania
,,,,,"[78.9, 8.6]",,,,,,,,,,,0.561593,,,,,,,,,,,,,78235fce-1984-43f4-bef8-394470d38d6f,2274,,,"[78.0, 8.6]",3930161,53,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Taulant Sulejmanov,29531.0,Left Wing,74,Albania,906,"['c9c6b835-6b15-4376-a48f-7124fac492ba', 'fb47a2f0-4e50-4be8-8732-aeca3ad66b0b']",43,,,,,,,,,,,,,,,,,Albania,906,00:08:43.522,Carry,,,,,,,78.0,8.6,78.9,8.6,Italy vs Albania,Italy,Albania
