50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,team,team_id,timestamp,type,under_pressure,tactics.formation,tactics.lineup,tactics,50_50.outcome.id,50_50.outcome.name,x,y,end_x,end_y,match_name,home_team,away_team
,,,,,,,,,,,,,,,,2.595774,,,,,,,,,,,,968d43ed-8796-46c4-8112-d28a4f4abcd3,15,,,"[24.5, 59.6]",3938640,0,,,,0.4048918,,Right Foot,,,"[48.3, 69.8]",,High Pass,,25.89363,,Incomplete,,,,,,,,Recovery,1,From Kick Off,Mykola Shaparenko,21294.0,Right Defensive Midfield,2,Slovakia,908,"['6725fa97-ff61-4012-8ed5-64df94d32bc4', '821a4cf8-3754-43a4-b61d-fcc6fcddb98a']",8,,,,,,,,,,,,,,,,,Ukraine,911,00:00:08.619,Pass,,,,,,,24.5,59.6,48.3,69.8,Slovakia vs Ukraine,Slovakia,Ukraine
,,,,,,,,,,,,,,,,2.827256,,,,,,,,,,,,821a4cf8-3754-43a4-b61d-fcc6fcddb98a,16,,,"[71.8, 10.3]",3938640,0,,,,2.2281854,,Right Foot,,,"[54.2, 33.1]",,High Pass,,28.802778,,,,Denis Vavro,16298.0,,,,,Recovery,1,From Kick Off,Stanislav Lobotka,6798.0,Center Defensive Midfield,2,Slovakia,908,"['968d43ed-8796-46c4-8112-d28a4f4abcd3', 'd4d1c506-ceb2-4365-823e-29eebd4b5b5d']",11,,,,,,,,,,,,,,,,,Slovakia,908,00:00:11.215,Pass,,,,,,,71.8,10.3,54.2,33.1,Slovakia vs Ukraine,Slovakia,Ukraine
,,,,,,,,,,,,,,,,0.727556,,,,,,,,,,,,1c7c4818-486a-43a0-be61-c9ae83f9595a,18,,,"[54.2, 33.1]",3938640,0,,,,-0.6567017,,Right Foot,,,"[63.8, 25.7]",,Low Pass,,12.121056,,,,Stanislav Lobotka,6798.0,,,,,,1,From Kick Off,Denis Vavro,16298.0,Right Center Back,2,Slovakia,908,['640b6e53-7510-409a-9602-40ab7ab163f9'],14,,,,,,,,,,,,,,,,,Slovakia,908,00:00:14.042,Pass,,,,,,,54.2,33.1,63.8,25.7,Slovakia vs Ukraine,Slovakia,Ukraine
,,,,,,,,,,,,,,,,1.090764,,,,,,,,,,,,bc1d41d1-969e-41a4-bcb5-8ce9407487c5,21,,,"[64.0, 25.2]",3938640,0,,,,-2.3376782,,Left Foot,,,"[48.1, 8.7]",,Low Pass,,22.914188,,,,Milan Škriniar,6990.0,,,,,,1,From Kick Off,Stanislav Lobotka,6798.0,Center Defensive Midfield,2,Slovakia,908,['ce050de3-5a90-4b4e-bf4b-073bfec6172c'],14,,,,,,,,,,,,,,,,,Slovakia,908,00:00:14.885,Pass,,,,,,,64.0,25.2,48.1,8.7,Slovakia vs Ukraine,Slovakia,Ukraine
,,,,,,,,,,,,,,,,2.166635,,,,,,,,,,,,2c4ea705-0144-44a7-b276-8325e711a385,24,,,"[41.2, 11.4]",3938640,0,,,,1.7228601,,Right Foot,,,"[35.3, 49.9]",,Ground Pass,,38.949455,,,,Denis Vavro,16298.0,,,,,,1,From Kick Off,Milan Škriniar,6990.0,Left Center Back,2,Slovakia,908,['20702e77-6aa9-4e5c-843e-2772bb5977d3'],18,,,,,,,,,,,,,,,,,Slovakia,908,00:00:18.100,Pass,,,,,,,41.2,11.4,35.3,49.9,Slovakia vs Ukraine,Slovakia,Ukraine
,,,,,,,,,,,,,,,,1.537265,,,,,,,,,,,,5d1e76bc-c75e-4f31-a245-7a70c1859738,27,,,"[35.1, 46.4]",3938640,0,,,,-1.4138879,,Right Foot,,,"[40.4, 12.9]",,Ground Pass,,33.916664,,,,Milan Škriniar,6990.0,,,,,,1,From Kick Off,Denis Vavro,16298.0,Right Center Back,2,Slovakia,908,['d179244e-07e3-4c80-b83e-6a711e6bf015'],21,,,,,,,,,,,,,,,,,Slovakia,908,00:00:21.688,Pass,,,,,,,35.1,46.4,40.4,12.9,Slovakia vs Ukraine,Slovakia,Ukraine
,,,,,,,,,,,,,,,,0.743,,,,,,,,,,,,0c5fe47e-b526-4712-af8f-2ced3e951410,30,,,"[43.6, 16.8]",3938640,0,,,,0.65634835,,Right Foot,,,"[51.0, 22.5]",,Ground Pass,,9.340771,,,,Ondrej Duda,8967.0,,,,,,1,From Kick Off,Milan Škriniar,6990.0,Left Center Back,2,Slovakia,908,['7c019490-9c72-4c27-877e-1c57e1a72dd9'],23,,,,,,,,,,,,,,,,,Slovakia,908,00:00:23.961,Pass,,,,,,,43.6,16.8,51.0,22.5,Slovakia vs Ukraine,Slovakia,Ukraine
,,,,,,,,,,,,,,,,2.392865,,,,,,,,,,,,66ff6c8f-fcfd-4cbd-bce5-2255af0594e9,33,,,"[51.2, 23.7]",3938640,0,,,,1.8619636,,Right Foot,,,"[41.7, 55.4]",,Ground Pass,,33.0929,,,,Denis Vavro,16298.0,,,,,,1,From Kick Off,Ondrej Duda,8967.0,Left Center Midfield,2,Slovakia,908,['30f4d60b-a746-456e-9e64-d029e84f2aca'],24,,,,,,,,,,,,,,,,,Slovakia,908,00:00:24.744,Pass,,,,,,,51.2,23.7,41.7,55.4,Slovakia vs Ukraine,Slovakia,Ukraine
,,,,,,,,,,,,,,,,3.423005,,,,,,,,,,,,9a957469-d79a-4ca5-ae93-6bb9148ef2f0,36,,,"[47.8, 52.8]",3938640,0,,,,-0.70833826,,Right Foot,,,"[105.0, 3.8]",,High Pass,,75.31826,,,,Dávid Hancko,16879.0,,True,,,,1,From Kick Off,Denis Vavro,16298.0,Right Center Back,2,Slovakia,908,['02732e1f-78f1-45f3-a5e1-6b039ebd51ce'],29,,,,,,,,,,,,,,,,,Slovakia,908,00:00:29.526,Pass,,,,,,,47.8,52.8,105.0,3.8,Slovakia vs Ukraine,Slovakia,Ukraine
,,,,,,,,,,,,,,,,1.519429,,,,,,,,,,,,5d97a52b-88a5-4123-9beb-235bb04ba9d2,39,,,"[105.0, 3.8]",3938640,0,,,,0.97866577,,Left Foot,,,"[120.0, 26.1]",,Low Pass,,26.875454,,Out,,,,,,,,,1,From Kick Off,Dávid Hancko,16879.0,Left Back,2,Slovakia,908,,33,,,,,,,,,,,,,,,,,Slovakia,908,00:00:33.064,Pass,,,,,,,105.0,3.8,120.0,26.1,Slovakia vs Ukraine,Slovakia,Ukraine
