50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,team,team_id,timestamp,type,under_pressure,tactics.formation,tactics.lineup,tactics,50_50.outcome.id,50_50.outcome.name,x,y,end_x,end_y,match_name,home_team,away_team
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0cb3dde1-cc0d-44da-bbf4-762f3cf14248,5169,,,,3942349,120,,,,,,,,,,,,,,,,,,,,,,,,,,5,From Keeper,,,,177,France,771,['60185b7e-c881-44b2-8b8c-6791907e42b1'],0,,,,,,,,,,,,,,,,Portugal,780,00:00:00.000,Half Start,,,,,,,,,,,Portugal vs France,Portugal,France
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,60185b7e-c881-44b2-8b8c-6791907e42b1,5170,,,,3942349,120,,,,,,,,,,,,,,,,,,,,,,,,,,5,From Keeper,,,,177,France,771,['0cb3dde1-cc0d-44da-bbf4-762f3cf14248'],0,,,,,,,,,,,,,,,,France,771,00:00:00.000,Half Start,,,,,,,,,,,Portugal vs France,Portugal,France
,,,,,,,,,,,,,,,,,0.938508,,,,,,,,,,,,288aa142-de58-4f5d-a50a-73e9460db2ea,5,,,"[60.0, 40.0]",3942349,0,,,,,-2.9792411,,Left Foot,,,,"[48.4, 38.1]",Ground Pass,,11.754574,,,,Aurélien Djani Tchouaméni,10481.0,,,,,,Kick Off,1,From Kick Off,Antoine Griezmann,5487.0,Center Attacking Midfield,2,France,771,['3598e61a-a7c7-411a-a5b1-7634bbb36479'],0,,,,,,,,,,,,,,,,France,771,00:00:00.455,Pass,,,,,,,60.0,40.0,48.4,38.1,Portugal vs France,Portugal,France
,,,,,,,,,,,,,,,,,0.911355,,,,,,,,,,,,c0e3575f-d969-443c-8023-9da259c9ff6a,8,,,"[47.9, 37.4]",3942349,0,,,,,-1.4112446,,Left Foot,,,,"[49.3, 28.7]",Ground Pass,,8.811924,,,,Eduardo Camavinga,24778.0,,,,,,,1,From Kick Off,Aurélien Djani Tchouaméni,10481.0,Center Defensive Midfield,2,France,771,['78875d80-7373-449d-8c55-76bf2fdf8094'],2,,,,,,,,,,,,,,,,France,771,00:00:02.442,Pass,,,,,,,47.9,37.4,49.3,28.7,Portugal vs France,Portugal,France
,,,,,,,,,,,,,,,,,1.653205,,,,,,,,,,,,2646e0f2-af7d-4707-8dc0-db190b75f3b2,11,,,"[49.0, 25.2]",3942349,0,,,,,2.0381408,,Left Foot,,,,"[38.1, 46.8]",Ground Pass,,24.194422,,,,Dayotchanculle Upamecano,8519.0,,,,,,,1,From Kick Off,Eduardo Camavinga,24778.0,Left Center Midfield,2,France,771,['7ce7f5ae-6e94-422b-9f9d-bdb36f4f9057'],4,,,,,,,,,,,,,,,,France,771,00:00:04.863,Pass,,,,,,,49.0,25.2,38.1,46.8,Portugal vs France,Portugal,France
,,,,,,,,,,,,,,,,,0.882697,,,,,,,,,,,,4bedc6ec-e680-4aff-ac60-c2857b7693aa,14,,,"[41.6, 49.4]",3942349,0,,,,,0.35181668,,Right Foot,,,,"[49.5, 52.3]",Ground Pass,,8.415462,,,,N'Golo Kanté,3961.0,,,,,,,1,From Kick Off,Dayotchanculle Upamecano,8519.0,Right Center Back,2,France,771,['9448e248-3492-4423-b52d-f84860e706ef'],7,,,,,,,,,,,,,,,,France,771,00:00:07.598,Pass,,,,,,,41.6,49.4,49.5,52.3,Portugal vs France,Portugal,France
,,,,,,,,,,,,,,,,,1.726511,,,,,,,,,,,,50cbf8d2-bfbf-4dec-9eca-241a3b9b82a2,17,,,"[44.7, 50.3]",3942349,0,,,,,-2.0810053,,Right Foot,,,,"[32.5, 28.5]",Ground Pass,,24.981594,,,,William Saliba,17592.0,,,,,,,1,From Kick Off,N'Golo Kanté,3961.0,Right Center Midfield,2,France,771,['a617418e-6db0-4708-a3da-7f5158fa96ea'],9,,,,,,,,,,,,,,,,France,771,00:00:09.679,Pass,,,,,,,44.7,50.3,32.5,28.5,Portugal vs France,Portugal,France
,,,,,,,,,,,,,,,,,1.588386,,,,,,,,,,,,97acc95d-3d35-4d0c-8d04-e21f78454e56,20,,,"[32.9, 30.0]",3942349,0,,,,,-1.3499676,,Right Foot,,,,"[35.1, 20.2]",Ground Pass,,10.043903,,,,Aurélien Djani Tchouaméni,10481.0,,,,,,,1,From Kick Off,William Saliba,17592.0,Left Center Back,2,France,771,['1afae433-2645-4006-ad4d-9440697bc94d'],13,,,,,,,,,,,,,,,,France,771,00:00:13.636,Pass,,,,,,,32.9,30.0,35.1,20.2,Portugal vs France,Portugal,France
,,,,,,,,,,,,,,,,,1.241206,,,,,,,,,,,,be0866ee-9eb3-42e3-affc-e4abb73b654f,24,,,"[45.5, 19.4]",3942349,0,,,,,2.9320698,,Left Foot,,,,"[28.1, 23.1]",Ground Pass,,17.789042,,,,William Saliba,17592.0,,,,,,,1,From Kick Off,Aurélien Djani Tchouaméni,10481.0,Center Defensive Midfield,2,France,771,"['118c5e0b-47f0-4142-b283-7335a6a6b664', '51842d96-06be-4446-ab92-8dbfed555f04']",19,,,,,,,,,,,,,,,,France,771,00:00:19.928,Pass,True,,,,,,45.5,19.4,28.1,23.1,Portugal vs France,Portugal,France
,,,,,,,,,,,,,,,,,2.630783,,,,,,,,,,,,ee32dd12-0688-4599-8d86-2340a0f7b469,28,,,"[25.5, 24.8]",3942349,0,,,,,1.6254044,,Right Foot,,,,"[23.8, 55.9]",Ground Pass,,31.14643,,,,Dayotchanculle Upamecano,8519.0,,,,,,,1,From Kick Off,William Saliba,17592.0,Left Center Back,2,France,771,['f0e05e3c-54a6-4031-850d-b7a298649c0f'],21,,,,,,,,,,,,,,,,France,771,00:00:21.919,Pass,,,,,,,25.5,24.8,23.8,55.9,Portugal vs France,Portugal,France
