50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_success_in_play,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,team,team_id,timestamp,type,under_pressure,tactics.formation,tactics.lineup,tactics,50_50.outcome.id,50_50.outcome.name,x,y,end_x,end_y,match_name,home_team,away_team
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7a300105-e97f-47d2-8821-f66ea1fabd1b,2769,,,"[107.3, 41.3]",3930180,85,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Wout Weghorst,7829.0,Center Forward,146,Netherlands,941,['2e7e4c30-6459-49cc-a1ed-17de687c12ce'],23,,,,,,,,,,,,,,,,,,Netherlands,941,00:40:23.236,Ball Receipt*,,,,,,,107.3,41.3,,,Netherlands vs Austria,Netherlands,Austria
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d40b90c6-606b-42fb-a7f2-5e9a7bb2d51a,2774,,,"[8.1, 46.7]",3930180,85,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,Patrick Pentz,9731.0,Goalkeeper,147,Austria,915,['492c6dc9-4fb9-4cc3-83cb-fc43cced58be'],45,,,,,,,,,,,,,,,,,,Austria,915,00:40:45.082,Ball Receipt*,,,,,,,8.1,46.7,,,Netherlands vs Austria,Netherlands,Austria
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eda1bcd5-3c08-4f33-9e7e-018731f68e5f,2776,,,"[54.0, 18.3]",3930180,85,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,Michael Gregoritsch,8309.0,Center Forward,147,Austria,915,['b4294056-e03c-4ffa-a56e-bd618cc14182'],50,,,,,,,,,,,,,,,,,,Austria,915,00:40:50.285,Ball Receipt*,,,,,,,54.0,18.3,,,Netherlands vs Austria,Netherlands,Austria
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2cdd3644-9b08-463e-873d-76503895f03f,2778,,,"[47.7, 17.8]",3930180,85,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,Christoph Baumgartner,24977.0,Center Attacking Midfield,147,Austria,915,['1dd90b46-c274-4c06-acf1-b983ee79ec7c'],51,,,,,,,,,,,,,,,,,,Austria,915,00:40:51.038,Ball Receipt*,,,,,,,47.7,17.8,,,Netherlands vs Austria,Netherlands,Austria
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7ab21f61-b34c-4194-8633-da5dd5656b46,2782,,,"[86.3, 76.2]",3930180,85,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,Stefan Posch,11821.0,Right Back,147,Austria,915,['73825b48-b44f-494e-8e7a-ede4d0addb11'],59,,,,,,,,,,,,,,,,,,Austria,915,00:40:59.032,Ball Receipt*,,,,,,,86.3,76.2,,,Netherlands vs Austria,Netherlands,Austria
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f7511d16-182a-4978-a2b9-ea61bd19b4c7,2790,,,"[89.1, 55.3]",3930180,86,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,Stefan Posch,11821.0,Right Back,147,Austria,915,['30fe7f94-7b32-4fa1-898d-ecc0892054c1'],5,,,,,,,,,,,,,,,,,,Austria,915,00:41:05.977,Ball Receipt*,,,,,,,89.1,55.3,,,Netherlands vs Austria,Netherlands,Austria
,,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,17ea52da-5ac1-4950-b9f2-6bf24f634cd6,2792,,,"[92.5, 62.2]",3930180,86,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,Romano Schmid,8784.0,Right Wing,147,Austria,915,['c206e5c9-e1d2-4a86-a38e-e47f988dc17c'],6,,,,,,,,,,,,,,,,,,Austria,915,00:41:06.382,Ball Receipt*,,,,,,,92.5,62.2,,,Netherlands vs Austria,Netherlands,Austria
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e0c09b02-4752-41ed-a187-0955cc931fdc,2798,,,"[73.2, 70.8]",3930180,86,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,Christoph Baumgartner,24977.0,Center Attacking Midfield,147,Austria,915,['5941ad4a-d96a-4c52-8c2b-27c224dd72aa'],8,,,,,,,,,,,,,,,,,,Austria,915,00:41:08.981,Ball Receipt*,,,,,,,73.2,70.8,,,Netherlands vs Austria,Netherlands,Austria
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6fb41a3a-7e40-45b1-8777-d2fe984ee63e,2805,,,"[45.3, 69.5]",3930180,86,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,Leopold Querfeld,152512.0,Right Center Back,147,Austria,915,['4c82dc2c-03be-4177-b63b-0c463c07aca7'],16,,,,,,,,,,,,,,,,,,Austria,915,00:41:16.987,Ball Receipt*,,,,,,,45.3,69.5,,,Netherlands vs Austria,Netherlands,Austria
,,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,bbe86d79-bc8e-46b0-8b6b-a32a52b2a6f2,2809,,,"[81.5, 47.1]",3930180,86,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,Michael Gregoritsch,8309.0,Center Forward,147,Austria,915,['54581f34-2603-4150-8c54-a62deb9c2b04'],23,,,,,,,,,,,,,,,,,,Austria,915,00:41:23.493,Ball Receipt*,,,,,,,81.5,47.1,,,Netherlands vs Austria,Netherlands,Austria
