50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,team,team_id,timestamp,type,under_pressure,tactics.formation,tactics.lineup,tactics,50_50.outcome.id,50_50.outcome.name,x,y,pass_end_x,pass_end_y,carry_end_x,carry_end_y,shot_end_x,shot_end_y,shot_end_z,end_x,end_y,match_name,home_team,away_team
,,,,,,,,,,,,,,,,0.714646,,,,,,,,,,,,,,40ccd459-9343-4618-886b-830e8fe7f34f,141,,"[78.3, 19.6]",3930158,4,,,,,1.223611,,Left Foot,,,,"[83.8, 34.8]",,Ground Pass,,16.164467,,,Kai Havertz,8966.0,,,,,,1,Regular Play,İlkay Gündoğan,10287.0,Center Attacking Midfield,10,Germany,770,['fdbf4ff0-9c26-4694-91ee-251a55a223be'],24,,,,,,,,,,,,,,,,Germany,770,00:04:24.953,Pass,,,,,,,78.3,19.6,83.8,34.8,,,,,,83.8,34.8,Germany vs Scotland,Germany,Scotland
,,,,,,,,,,,,,,,,0.687564,,,,,,,,,,,,,,ce27a75e-c29b-4fe0-9641-ed709bd1bb13,144,,"[83.8, 34.8]",3930158,4,,,,,2.332199,,Left Foot,,,,"[77.7, 41.2]",,Ground Pass,,8.84138,Incomplete,,,,,,,,,1,Regular Play,Kai Havertz,8966.0,Center Forward,10,Germany,770,['c535244e-2203-49d5-9748-8e973e17a33a'],25,,,,,,,,,,,,,,,,Germany,770,00:04:25.707,Pass,,,,,,,83.8,34.8,77.7,41.2,,,,,,77.7,41.2,Germany vs Scotland,Germany,Scotland
,,,,,,,,,,,,,,,,2.067428,,,,,,,,,,,,,,80443e36-1f0a-4a80-b06b-c9aa733cd7bd,148,,"[43.5, 40.4]",3930158,4,,,,,-1.9551711,,Left Foot,,,,"[36.3, 22.6]",,Ground Pass,,19.201042,,,Andrew Robertson,3655.0,,,,,,1,Regular Play,Ryan Christie,12510.0,Left Wing,11,Scotland,942,"['e4fe0941-5915-4e57-9918-57208a1e91a4', 'f6db9cf3-c5ab-4ccb-9a8d-4750177c70b2']",27,,,,,,,,,,,,,,,,Scotland,942,00:04:27.566,Pass,True,,,,,,43.5,40.4,36.3,22.6,,,,,,36.3,22.6,Germany vs Scotland,Germany,Scotland
,,,,,,,,,,,,,,,,2.940668,,,,,,,,,,,,,,f4dd4920-53d3-48bd-8447-d50b73e1dba9,150,,"[36.3, 22.6]",3930158,4,,,,,0.38188127,,Left Foot,,,,"[73.9, 37.7]",,High Pass,,40.51876,Incomplete,,Che Adams,9466.0,,,,,,1,Regular Play,Andrew Robertson,3655.0,Left Wing Back,11,Scotland,942,"['25cb92a6-bf66-4aa8-9a38-d90fee9a0dd7', 'a1c70944-efa1-45f0-9c0f-580e688c34cd']",29,,,,,,,,,,,,,,,,Scotland,942,00:04:29.633,Pass,,,,,,,36.3,22.6,73.9,37.7,,,,,,73.9,37.7,Germany vs Scotland,Germany,Scotland
,,,,,,,,,,,,,,,,2.023179,,,,,,,,,,,,,,4bddd3d6-0113-4dcd-97d0-4f73ad1eb9ea,156,,"[43.2, 47.0]",3930158,4,,,,,1.3493003,,Right Foot,,,,"[49.1, 73.2]",,High Pass,,26.856098,Incomplete,,Joshua Kimmich,5579.0,,,,,Recovery,1,Regular Play,Antonio Rüdiger,3167.0,Right Center Back,11,Scotland,942,"['1fd13bed-874c-40a9-ade4-f3004cec090e', '43b2db2f-7ef4-4018-a1b6-c0f23a0f91d4', '8960016d-b58e-4ac3-8aa0-8a33bea9be78']",36,,,,,,,,,,,,,,,,Germany,770,00:04:36.244,Pass,True,,,,,,43.2,47.0,49.1,73.2,,,,,,49.1,73.2,Germany vs Scotland,Germany,Scotland
,,,,,,,,,,,,,,,,2.158735,,,,,,,,,,,,,,5d062b67-b926-481d-b0ce-352a6c9b35d3,164,,"[99.2, 0.1]",3930158,5,,,,,1.2454357,,,True,,,"[110.4, 33.3]",,High Pass,,35.038265,Incomplete,,Che Adams,9466.0,,,,,Throw-in,1,From Throw In,Kieran Tierney,10540.0,Left Center Back,12,Scotland,942,"['a7c76c8a-6139-4f80-8ba9-a39727086cbc', 'f765d6a0-4d0e-493c-b664-69fe4df6f60d']",15,,,,,,,,,,,,,,,,Scotland,942,00:05:15.895,Pass,,,,,,,99.2,0.1,110.4,33.3,,,,,,110.4,33.3,Germany vs Scotland,Germany,Scotland
,,,,,,,,,,,,,,,,1.188415,,,,,,,,,,,,,,d056c9a4-910a-4f79-8de5-de70ecbf08bb,167,,"[91.3, 35.5]",3930158,5,,,,,-0.019605331,,Head,,,,"[101.5, 35.3]",,High Pass,,10.201961,Incomplete,,,,,,,,Recovery,1,From Throw In,Anthony Ralston,22308.0,Right Wing Back,12,Scotland,942,['98952233-a37c-45c7-83e7-96ab8e530a4e'],19,,,,,,,,,,,,,,,,Scotland,942,00:05:19.853,Pass,,,,,,,91.3,35.5,101.5,35.3,,,,,,101.5,35.3,Germany vs Scotland,Germany,Scotland
,,,,,,,,,,,,,,,,1.471219,,,,,,,,,,,,,,98952233-a37c-45c7-83e7-96ab8e530a4e,168,,"[18.6, 44.8]",3930158,5,,,,,-0.24281883,,Head,,,,"[40.4, 39.4]",,High Pass,,22.45885,,,Florian Wirtz,40724.0,,,,,Recovery,1,Regular Play,Robert Andrich,9195.0,Right Defensive Midfield,13,Germany,770,"['ae611128-bec2-4494-b65f-fbcab23489b5', 'd056c9a4-910a-4f79-8de5-de70ecbf08bb']",21,,,,,,,,,,,,,,,,Germany,770,00:05:21.042,Pass,,,,,,,18.6,44.8,40.4,39.4,,,,,,40.4,39.4,Germany vs Scotland,Germany,Scotland
,,,,,,,,,,,,,,,,1.158812,,,,,,,,,,,,,,39d10c00-80a3-4a61-aaca-cc461de93e05,170,,"[40.1, 40.4]",3930158,5,,,,,-2.8501358,,Head,,,,"[34.1, 38.6]",,Low Pass,,6.264184,,,Toni Kroos,5574.0,,,,,,1,Regular Play,Florian Wirtz,40724.0,Left Wing,13,Germany,770,['5aa397eb-262a-456a-b15d-75ad8bc7ae52'],22,,,,,,,,,,,,,,,,Germany,770,00:05:22.513,Pass,,,,,,,40.1,40.4,34.1,38.6,,,,,,34.1,38.6,Germany vs Scotland,Germany,Scotland
,,,,,,,,,,,,,,,,2.68345,,,,,,,,,,,,,,50f608bd-8c38-4a3e-96d9-d6d066e8eb5c,173,,"[34.7, 39.1]",3930158,5,,,,,-1.0309492,,Right Foot,,,,"[50.1, 13.4]",,High Pass,,29.960808,,,Maximilian Mittelstädt,12407.0,,,,,,1,Regular Play,Toni Kroos,5574.0,Left Defensive Midfield,13,Germany,770,"['2456a71f-4499-4bf1-afa8-23d0b5f58aa4', '7c5627c6-0e1b-4081-8dc7-39c31554f8d5']",23,,,,,,,,,,,,,,,,Germany,770,00:05:23.672,Pass,True,,,,,,34.7,39.1,50.1,13.4,,,,,,50.1,13.4,Germany vs Scotland,Germany,Scotland
