50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_end_location,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,team,team_id,timestamp,type,under_pressure,tactics.formation,tactics.lineup,tactics,50_50.outcome.id,50_50.outcome.name,x,y,pass_end_x,pass_end_y,carry_end_x,carry_end_y,shot_end_x,shot_end_y,shot_end_z,end_x,end_y,match_name,home_team,away_team
,,,,,,,,,,,,,,,,1.847628,,,,,,,,,,,5883c3a1-3b43-4120-b002-5672b2b88b95,19,,,"[18.1, 69.9]",3938645,0,,,,,-0.2261985,,Right Foot,,"[54.6, 61.5]",High Pass,,37.454105,,,Incomplete,Romelu Lukaku Menama,3289.0,,,,,,,1,From Kick Off,Wout Faes,8854.0,Right Center Back,2,Belgium,782,"['39bd5485-b89d-4a79-be5a-51193ec9cb0c', '4197ce02-d29c-4d7d-827c-5a3495e7e392', '9c8123c3-1482-47f9-bdb2-5a3d6a33652e']",16,,,,,,,,,,,,,,,,Belgium,782,00:00:16.522,Pass,True,,,,,,18.1,69.9,54.6,61.5,,,,,,54.6,61.5,Ukraine vs Belgium,Ukraine,Belgium
,,,,,,,,,,,,,,,,2.484971,,,,,,,,,,,9c8123c3-1482-47f9-bdb2-5a3d6a33652e,21,,,"[65.5, 18.6]",3938645,0,,,,,0.25849137,,Head,,"[95.0, 26.4]",High Pass,,30.513767,,,,Artem Dovbyk,25079.0,,,,,,Interception,1,From Counter,Oleksandr Svatok,30059.0,Center Back,3,Ukraine,911,"['5883c3a1-3b43-4120-b002-5672b2b88b95', 'f0e2df94-9a3b-43cd-a126-7082954d35c6']",18,,,,,,,,,,,,,,,,Ukraine,911,00:00:18.369,Pass,,,,,,,65.5,18.6,95.0,26.4,,,,,,95.0,26.4,Ukraine vs Belgium,Ukraine,Belgium
,,,,,,,,,,,,,,,,2.279434,,,,,,,,,,,f70d26c7-4827-4b40-934f-0f0460e18895,24,,,"[95.0, 26.4]",3938645,0,,,,True,-0.16743177,,,,"[116.3, 22.8]",Low Pass,,21.602083,,,,Roman Yaremchuk,23649.0,,,,,,,1,From Counter,Artem Dovbyk,25079.0,Right Center Forward,3,Ukraine,911,"['619e3e41-ad4d-4cad-9f18-cebe6ce4d470', 'f402b135-ce74-408e-af33-7cc40388e51c']",20,,,,,,,,,,,,,,,,Ukraine,911,00:00:20.854,Pass,True,,,,,,95.0,26.4,116.3,22.8,,,,,,116.3,22.8,Ukraine vs Belgium,Ukraine,Belgium
,,,,,,,,,,,,,,,,0.120081,,,,,,,,,,,129a44ab-3c11-49cd-97a0-e17a0abf9206,27,,,"[118.8, 22.6]",3938645,0,,,,,2.4733033,,Right Foot,,"[116.9, 24.1]",Low Pass,,2.4207437,,,Incomplete,Artem Dovbyk,25079.0,,,,,,,1,From Counter,Roman Yaremchuk,23649.0,Left Center Forward,3,Ukraine,911,"['88ccfa48-2087-403a-bd3e-1362034155bc', 'c2633e8a-f4c1-4b24-a695-c3acdfbb2b72']",23,,,,,,,,,,,,,,,,Ukraine,911,00:00:23.877,Pass,,,,,,,118.8,22.6,116.9,24.1,,,,,,116.9,24.1,Ukraine vs Belgium,Ukraine,Belgium
,,,,,,,,,,,,,,,,0.846302,,,,,,,,,,,fafbc308-9fa2-4f5e-a7e4-24076d15cbeb,30,,,"[120.0, 0.1]",3938645,0,,,,,2.5300956,,Right Foot,,"[111.3, 6.2]",Ground Pass,,10.625442,,,,Mykola Shaparenko,21294.0,,,,,,Corner,1,From Corner,Georgiy Sudakov,38975.0,Left Center Midfield,4,Ukraine,911,['d31fc3f7-3586-4869-bce6-b2df220c2904'],41,,,,,,,,,,,,,,,,Ukraine,911,00:00:41.283,Pass,,,,,,,120.0,0.1,111.3,6.2,,,,,,111.3,6.2,Ukraine vs Belgium,Ukraine,Belgium
,,,,,,,,,,,,,,,,1.856288,,,,,,,,,,,8d6e4a92-dbb4-499a-94cf-5fa834e39e6e,33,,,"[112.3, 7.7]",3938645,0,,,,,2.819842,,Right Foot,,"[99.7, 11.9]",Ground Pass,,13.281567,,,,Georgiy Sudakov,38975.0,,,,,,,1,From Corner,Mykola Shaparenko,21294.0,Right Center Midfield,4,Ukraine,911,['f73ee1d9-d748-4052-9b83-da2fcad1ec8f'],43,,,,,,,,,,,,,,,,Ukraine,911,00:00:43.263,Pass,,,,,,,112.3,7.7,99.7,11.9,,,,,,99.7,11.9,Ukraine vs Belgium,Ukraine,Belgium
,,,,,,,,,,,,,,,,1.078685,,,,,,,,,,,e5aa96d0-036b-40b4-9f45-3115cb06d369,36,,,"[103.7, 11.0]",3938645,0,,,,,1.3071812,,Left Foot,True,"[111.5, 39.9]",High Pass,,29.934093,,,Incomplete,,,,,,,,,1,From Corner,Georgiy Sudakov,38975.0,Left Center Midfield,4,Ukraine,911,['8cd4173a-7ef4-48e4-adf8-75930fc0b6dc'],46,,,,,,,,,,,,,,,,Ukraine,911,00:00:46.704,Pass,,,,,,,103.7,11.0,111.5,39.9,,,,,,111.5,39.9,Ukraine vs Belgium,Ukraine,Belgium
,,,,,,,,,,,,,,,,2.782161,,,,,,,,,,,9d96f34d-67b2-458d-b730-84b4f4653d17,39,,,"[89.3, 62.0]",3938645,0,,,,,-0.04882111,,Right Foot,,"[120.0, 60.5]",Ground Pass,,30.736624,,,Out,,,,,,,,Recovery,1,From Corner,Vitalii Mykolenko,20827.0,Left Wing Back,4,Ukraine,911,['4e5d95bd-7d1d-4b67-94c6-53009aba2eff'],50,,,,,,,,,,,,,,,,Ukraine,911,00:00:50.366,Pass,True,,,,,,89.3,62.0,120.0,60.5,,,,,,120.0,60.5,Ukraine vs Belgium,Ukraine,Belgium
,,,,,,,,,,,,,,,,0.970123,,,,,,,,,,,1ae39990-8ec8-4e65-bd9e-8afb7fd49922,40,,,"[3.8, 46.8]",3938645,1,,,,,-1.6381102,,Right Foot,,"[3.2, 37.9]",Ground Pass,,8.920202,,,,Koen Casteels,8240.0,,,,,,Goal Kick,1,From Goal Kick,Wout Faes,8854.0,Right Center Back,5,Belgium,782,['ea4503a5-581d-4313-a5b5-c82265b7603f'],7,,,,,,,,,,,,,,,,Belgium,782,00:01:07.834,Pass,,,,,,,3.8,46.8,3.2,37.9,,,,,,3.2,37.9,Ukraine vs Belgium,Ukraine,Belgium
,,,,,,,,,,,,,,,,2.513992,,,,,,,,,,,98bff1fb-762e-4e0a-853a-d178a9ed8138,44,,,"[8.7, 37.9]",3938645,1,,,,,1.371966,,Left Foot,,"[14.1, 64.7]",Ground Pass,,27.338617,,,,Wout Faes,8854.0,,,,,,,1,From Goal Kick,Koen Casteels,8240.0,Goalkeeper,5,Belgium,782,"['9838e694-e6d8-407b-bcbc-0c9ffd4aa44d', 'eee0886e-28dd-4b46-a03a-37635aeb8883']",17,,,,,,,,,,,,,,,,Belgium,782,00:01:17.389,Pass,True,,,,,,8.7,37.9,14.1,64.7,,,,,,14.1,64.7,Ukraine vs Belgium,Ukraine,Belgium
