50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,team,team_id,timestamp,type,under_pressure,tactics.formation,tactics.lineup,tactics,50_50.outcome.id,50_50.outcome.name,x,y,pass_end_x,pass_end_y,carry_end_x,carry_end_y,shot_end_x,shot_end_y,shot_end_z,end_x,end_y,match_name,home_team,away_team
,,,,"[25.8, 64.8]",,,,,,,,,,,,1.780174,,,,,,,,,,,,,5cbd9d2c-840c-4771-b809-4f7490f9216e,1238,,,"[22.5, 63.8]",3930166,29,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Vladimír Coufal,16570.0,Right Wing Back,49,Portugal,780,"['ab839066-3d67-408d-9373-3cc949f8aa4e', 'b417befd-3165-41d1-a19a-5f214373cef4', 'ecd3a753-d583-44c9-862b-67e97c404344']",0,,,,,,,,,,,,,,,Czech Republic,912,00:29:00.119,Carry,True,,,,,,22.5,63.8,,,25.8,64.8,,,,25.8,64.8,Portugal vs Czech Republic,Portugal,Czech Republic
,,,,"[99.2, 18.8]",,,,,,,,,,,,0.826983,,,,,,,,,,,,,90f69876-d12b-4812-bc61-ff2049dea7d1,1243,,,"[96.0, 17.8]",3930166,29,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Nuno Mendes,41092.0,Left Center Back,49,Portugal,780,"['35f02b7c-8974-4daa-b65e-9d07c111056d', '55079a56-eaf3-482b-bbaf-6a374a69fbfc']",3,,,,,,,,,,,,,,,Portugal,780,00:29:03.618,Carry,,,,,,,96.0,17.8,,,99.2,18.8,,,,99.2,18.8,Portugal vs Czech Republic,Portugal,Czech Republic
,,,,"[27.1, 1.3]",,,,,,,,,,,,4.636933,,,,,,,,,,,,,92cd7565-41ab-462f-8587-984ff5e41008,1250,,,"[11.6, 3.5]",3930166,29,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Goal Kick,David Doudera,35441.0,Left Wing Back,50,Czech Republic,912,"['6e2d932a-28e1-45c5-a4dd-eea3c3f21fa7', '934cc1e8-62d2-40de-8e93-c7c9a3b55f37']",30,,,,,,,,,,,,,,,Czech Republic,912,00:29:30.170,Carry,,,,,,,11.6,3.5,,,27.1,1.3,,,,27.1,1.3,Portugal vs Czech Republic,Portugal,Czech Republic
,,,,"[13.2, 6.7]",,,,,,,,,,,,0.52947,,,,,,,,,,,,,9fce53a5-49bf-4783-bfc7-c9c7b5c7bf19,1253,,,"[13.2, 6.7]",3930166,29,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Goal Kick,Ladislav Krejčí,28272.0,Left Center Back,50,Czech Republic,912,"['3c95d3f7-5779-4875-bac1-2bffff4e0b21', '92fa210d-12a3-4aa0-b1c5-2ee30b188aba']",35,,,,,,,,,,,,,,,Czech Republic,912,00:29:35.969,Carry,,,,,,,13.2,6.7,,,13.2,6.7,,,,13.2,6.7,Portugal vs Czech Republic,Portugal,Czech Republic
,,,,"[7.4, 35.9]",,,,,,,,,,,,1.653123,,,,,,,,,,,,,0bea4533-04fe-44d1-ad2c-2ea6e9c0ae98,1256,,,"[6.8, 34.3]",3930166,29,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Goal Kick,Jindřich Staněk,28040.0,Goalkeeper,50,Czech Republic,912,"['815e8776-c55d-42ca-b66e-159928a8058b', 'b6fefe9c-9530-4f79-838a-3f9c4009fea6', 'c7adc294-298a-4522-83bb-dbe2cb736d7e']",38,,,,,,,,,,,,,,,Czech Republic,912,00:29:38.005,Carry,True,,,,,,6.8,34.3,,,7.4,35.9,,,,7.4,35.9,Portugal vs Czech Republic,Portugal,Czech Republic
,,,,"[17.1, 27.6]",,,,,,,,,,,,0.08,,,,,,,,,,,,,394c9df6-9558-45d1-8ee5-50a9c95c58de,1266,,,"[26.0, 21.9]",3930166,29,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Kléper Laveran Lima Ferreira,20016.0,Center Back,51,Portugal,780,"['b24856c2-9772-41e4-aabe-6d58c981ab43', 'f1c2149d-3c3d-4d5f-b22e-caf6bbf3b4f1', 'f4339bb6-b178-4c04-96b1-a4106b4edcd7']",47,,,,,,,,,,,,,,,Portugal,780,00:29:47.222,Carry,True,,,,,,26.0,21.9,,,17.1,27.6,,,,17.1,27.6,Portugal vs Czech Republic,Portugal,Czech Republic
,,,,"[3.8, 43.0]",,,,,,,,,,,,1.036731,,,,,,,,,,,,,cfb3d1a2-2410-44e9-a802-b66ec0e1d19c,1269,,,"[4.5, 40.5]",3930166,29,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Diogo Meireles Costa,32975.0,Goalkeeper,51,Portugal,780,"['0adde9fd-e115-4807-b013-185a0b3d323c', '7d97c08b-8369-40e1-ae65-6f9035ed9280', 'e1b930d4-ce48-45fc-b2d1-26e374a1234b']",48,,,,,,,,,,,,,,,Portugal,780,00:29:48.749,Carry,True,,,,,,4.5,40.5,,,3.8,43.0,,,,3.8,43.0,Portugal vs Czech Republic,Portugal,Czech Republic
,,,,"[35.1, 70.1]",,,,,,,,,,,,2.4072511,,,,,,,,,,,,,5aac5e47-8030-4d97-b654-4d0b695eb567,1273,,,"[31.0, 67.2]",3930166,29,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,José Diogo Dalot Teixeira,16028.0,Right Wing Back,51,Portugal,780,"['18765d82-19c8-42fa-92e6-b702a5137612', 'b21c3407-c491-493f-a6e0-089146fe54d8']",51,,,,,,,,,,,,,,,Portugal,780,00:29:51.222,Carry,,,,,,,31.0,67.2,,,35.1,70.1,,,,35.1,70.1,Portugal vs Czech Republic,Portugal,Czech Republic
,,,,"[34.1, 49.1]",,,,,,,,,,,,1.733535,,,,,,,,,,,,,17e4969b-9944-4538-b527-1cb5585bc9f4,1276,,,"[29.9, 52.3]",3930166,29,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Rúben Santos Gato Alves Dias,5206.0,Right Center Back,51,Portugal,780,"['8a33bda9-c470-446e-b07d-71700587a851', 'ab5e425f-a037-455f-94eb-6f21555a38a8']",55,,,,,,,,,,,,,,,Portugal,780,00:29:55.135,Carry,,,,,,,29.9,52.3,,,34.1,49.1,,,,34.1,49.1,Portugal vs Czech Republic,Portugal,Czech Republic
,,,,"[48.3, 31.0]",,,,,,,,,,,,2.94611,,,,,,,,,,,,,09f2b09e-c887-4d1a-9902-9f01cf3892e7,1279,,,"[42.7, 36.7]",3930166,29,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Bruno Miguel Borges Fernandes,5204.0,Left Defensive Midfield,51,Portugal,780,"['887eef24-5bce-48bd-b7ec-afbeadebe8c1', 'ae429aa4-32b6-495f-9e82-970517ab7358']",57,,,,,,,,,,,,,,,Portugal,780,00:29:57.765,Carry,,,,,,,42.7,36.7,,,48.3,31.0,,,,48.3,31.0,Portugal vs Czech Republic,Portugal,Czech Republic
,,,,"[44.3, 39.1]",,,,,,,,,,,,0.988447,,,,,,,,,,,,,9b6b6abf-93db-4906-96d3-bf9e878d88cf,1284,,,"[43.9, 39.6]",3930166,30,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Rúben Santos Gato Alves Dias,5206.0,Right Center Back,51,Portugal,780,"['1d105a77-ee3b-481c-ac11-ed30191b4215', '221a6fa0-a76b-46cf-954a-e9c5e0afc6c5']",4,,,,,,,,,,,,,,,Portugal,780,00:30:04.338,Carry,,,,,,,43.9,39.6,,,44.3,39.1,,,,44.3,39.1,Portugal vs Czech Republic,Portugal,Czech Republic
,,,,"[58.8, 47.4]",,,,,,,,,,,,3.829617,,,,,,,,,,,,,c8d35988-8207-415f-b3fe-c99bb0cf6ad0,1287,,,"[52.9, 41.0]",3930166,30,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Vitor Machado Ferreira,34639.0,Right Defensive Midfield,51,Portugal,780,"['173199b6-ee27-4fc6-a291-b855dbb789d2', '9344ccc3-4d85-42ab-ad35-78d89e6d82d7']",6,,,,,,,,,,,,,,,Portugal,780,00:30:06.682,Carry,,,,,,,52.9,41.0,,,58.8,47.4,,,,58.8,47.4,Portugal vs Czech Republic,Portugal,Czech Republic
,,,,"[73.7, 24.1]",,,,,,,,,,,,3.119999,,,,,,,,,,,,,36ec9596-98eb-4b40-9d93-101419fe83ae,1290,,,"[55.7, 32.5]",3930166,30,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Bruno Miguel Borges Fernandes,5204.0,Left Defensive Midfield,51,Portugal,780,"['b8cf880e-a9f6-4a35-80cd-b01970480859', 'cdd6a351-fbbe-49cf-873b-bbd605eadebb']",11,,,,,,,,,,,,,,,Portugal,780,00:30:11.749,Carry,,,,,,,55.7,32.5,,,73.7,24.1,,,,73.7,24.1,Portugal vs Czech Republic,Portugal,Czech Republic
