50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,team,team_id,timestamp,type,under_pressure,tactics.formation,tactics.lineup,tactics,50_50.outcome.id,50_50.outcome.name,x,y,pass_end_x,pass_end_y,carry_end_x,carry_end_y,shot_end_x,shot_end_y,shot_end_z,end_x,end_y,match_name,home_team,away_team
,,,,,,,,,,,,,,,,0.993567,,,,,,,,,,,,,20474b66-25cb-482d-b9c5-23571d1fc0cd,24,,"[66.1, 76.4]",3930175,0,,,,-2.8291876,,Right Foot,,,"[50.0, 71.2]",,Ground Pass,,16.918924,,,,Wout Faes,8854.0,,,,,Free Kick,1,From Free Kick,Timothy Castagne,6989.0,Right Back,3,Belgium,782,['085aab21-642b-4c6f-8daf-d6a83f4f5884'],22,,,,,,,,,,,,,,,,Belgium,782,00:00:22.919,Pass,,,,,,,66.1,76.4,50.0,71.2,,,,,,50.0,71.2,Belgium vs Romania,Belgium,Romania
,,,,,,,,,,,,,,,,0.869504,,,,,,,,,,,,,66c2cab2-2489-482c-bd65-56f077605d87,27,,"[50.2, 71.5]",3930175,0,,,,-0.8876049,,Right Foot,,,"[57.2, 62.9]",,Ground Pass,,11.088733,,,,Youri Tielemans,2954.0,,,,,,1,From Free Kick,Wout Faes,8854.0,Right Center Back,3,Belgium,782,['654b7cda-b427-459f-a46b-6dd2e539c815'],25,,,,,,,,,,,,,,,,Belgium,782,00:00:25.750,Pass,,,,,,,50.2,71.5,57.2,62.9,,,,,,57.2,62.9,Belgium vs Romania,Belgium,Romania
,,,,,,,,,,,,,,,,1.984098,,,,,,,,,,,,,4b55b5db-07af-4155-865f-aa70f2db519e,31,,"[57.4, 62.9]",3930175,0,,,,-2.5943837,,Left Foot,,,"[27.2, 44.5]",,Ground Pass,,35.363823,,,,Koen Casteels,8240.0,,,,,,1,From Free Kick,Youri Tielemans,2954.0,Right Defensive Midfield,3,Belgium,782,['9d03d8d7-28ba-4b22-8711-e135aea94256'],26,,,,,,,,,,,,,,,,Belgium,782,00:00:26.659,Pass,,,,,,,57.4,62.9,27.2,44.5,,,,,,27.2,44.5,Belgium vs Romania,Belgium,Romania
,,,,,,,,,,,,,,,,1.964335,,,,,,,,,,,,,22f63da1-5763-4371-bcfe-14cb849b514b,35,,"[27.9, 33.7]",3930175,0,,,,-0.4636476,,Left Foot,,,"[74.7, 10.3]",,Low Pass,,52.32399,,Incomplete,,Jeremy Doku,23650.0,,,,,,1,From Free Kick,Koen Casteels,8240.0,Goalkeeper,3,Belgium,782,"['2f5e810f-6e89-4153-beb2-098cddf4a3ce', '4dad746f-44b3-482f-8d0e-56715f84154d', '880b599a-9a77-4f0a-a265-5c2af80a4b32']",31,,,,,,,,,,,,,,,,Belgium,782,00:00:31.678,Pass,True,,,,,,27.9,33.7,74.7,10.3,,,,,,74.7,10.3,Belgium vs Romania,Belgium,Romania
,,,,,,,,,,,,,,,,1.222802,,,,,,,,,,,,,2f5e810f-6e89-4153-beb2-098cddf4a3ce,37,,"[45.4, 69.8]",3930175,0,,,,-0.34302393,,Right Foot,,,"[51.0, 67.8]",,Low Pass,,5.9464273,,,,Marius Mihai Marin,30913.0,,,,,Interception,1,From Free Kick,Andrei Florin Ratiu,24861.0,Right Back,3,Belgium,782,"['22f63da1-5763-4371-bcfe-14cb849b514b', 'e3524f43-6d8c-4f0c-8bd5-6bf95a0d6f44']",33,,,,,,,,,,,,,,,,Romania,905,00:00:33.642,Pass,,,,,,,45.4,69.8,51.0,67.8,,,,,,51.0,67.8,Belgium vs Romania,Belgium,Romania
,,,,,,,,,,,,,,,,1.589932,,,,,,,,,,,,,ae8da6aa-dd83-4c2e-abbc-372d2f21b2b6,39,,"[51.0, 67.8]",3930175,0,,,,-0.17623469,,Head,,,"[58.3, 66.5]",,Low Pass,,7.4148498,,Incomplete,,Răzvan Gabriel Marin,16344.0,,,,,,1,From Free Kick,Marius Mihai Marin,30913.0,Center Defensive Midfield,3,Belgium,782,"['9556e130-e4f9-4886-9cda-6f34677f1c9c', 'c7e55f8f-4ba1-4039-bfc9-8d6a1b0242ab']",34,,,,,,,,,,,,,,,,Romania,905,00:00:34.865,Pass,,,,,,,51.0,67.8,58.3,66.5,,,,,,58.3,66.5,Belgium vs Romania,Belgium,Romania
,,,,,,,,,,,True,,,,,1.828553,,,,,,,,,,,,,9556e130-e4f9-4886-9cda-6f34677f1c9c,41,,"[61.8, 13.6]",3930175,0,,,,0.44843966,,Right Foot,,,"[72.4, 18.7]",,Low Pass,,11.763078,,,,Kevin De Bruyne,3089.0,,,,,Interception,1,From Free Kick,Amadou Onana,48347.0,Left Defensive Midfield,3,Belgium,782,"['ae8da6aa-dd83-4c2e-abbc-372d2f21b2b6', 'e4e506bf-ef0e-4832-bd8b-95ac06963399']",36,,,,,,,,,,,,,,,,Belgium,782,00:00:36.455,Pass,,,,,,,61.8,13.6,72.4,18.7,,,,,,72.4,18.7,Belgium vs Romania,Belgium,Romania
,,,,,,,,,,,,,,,,0.461055,,,,,,,,,,,,,53c6393f-8c37-4aa5-97fd-f2d63e0dafb9,46,,"[91.1, 24.4]",3930175,0,,,,0.9875181,,Left Foot,,,"[100.8, 39.1]",,Ground Pass,,17.611927,,Incomplete,,Romelu Lukaku Menama,3289.0,,,,,,1,From Free Kick,Kevin De Bruyne,3089.0,Center Attacking Midfield,3,Belgium,782,"['69317622-4936-4658-ac9f-845894f302e8', 'a27a3684-6ba2-47fd-a80a-343c32c0eca0']",40,,,,,,,,,,,,,,,,Belgium,782,00:00:40.825,Pass,,,,,,,91.1,24.4,100.8,39.1,,,,,,100.8,39.1,Belgium vs Romania,Belgium,Romania
,,,,,,,,,,,,,,,,1.571947,,,,,,,,,,,,,7985e605-81ee-4d12-b59a-baa25471cf23,52,,"[25.6, 35.9]",3930175,0,,,,1.0758681,,Left Foot,,,"[41.9, 66.1]",,Ground Pass,,34.31807,,,,Dennis Man,56905.0,,,,,,1,Regular Play,Nicușor Silviu Bancu,34600.0,Left Back,4,Romania,905,['dd5a1b40-173c-4571-9d94-be9ba7a6c408'],43,,,,,,,,,,,,,,,,Romania,905,00:00:43.836,Pass,,,,,,,25.6,35.9,41.9,66.1,,,,,,41.9,66.1,Belgium vs Romania,Belgium,Romania
,,,,,,,,,,,,,,,,1.102687,,,,,,,,,,,,,c1f6bca9-56f7-43e0-9625-79188e8e806e,55,,"[41.9, 66.1]",3930175,0,,,,-2.8455875,,Left Foot,,,"[27.8, 61.8]",,Ground Pass,,14.741099,,,,Andrei Florin Ratiu,24861.0,,,,,,1,Regular Play,Dennis Man,56905.0,Right Midfield,4,Romania,905,['99f2bf57-91aa-45f1-aa54-1b4a60157cde'],45,,,,,,,,,,,,,,,,Romania,905,00:00:45.897,Pass,,,,,,,41.9,66.1,27.8,61.8,,,,,,27.8,61.8,Belgium vs Romania,Belgium,Romania
