50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,team,team_id,timestamp,type,under_pressure,tactics.formation,tactics.lineup,tactics,50_50.outcome.id,50_50.outcome.name,x,y,pass_end_x,pass_end_y,carry_end_x,carry_end_y,shot_end_x,shot_end_y,shot_end_z,end_x,end_y,match_name,home_team,away_team
,,,,,,,,,,,,,,,,,,0.668496,,,,,,,,,,,,,,9fd2fc1f-fbbe-4629-8681-72dba69c0e0c,17,,,"[47.9, 70.5]",3930170,0,,,,-0.38798007,,Right Foot,,,"[59.4, 65.8]",,Low Pass,,12.423365,,,,Aleksandar Mitrović,4269.0,,,,,,Recovery,1,Regular Play,Ivan Ilić,30179.0,Right Defensive Midfield,3,Serbia,786,"['60b1ea32-3efb-405a-a853-ec2e80e2ff41', 'c492fe57-6efc-4d33-b27b-6f39661966b3']",11,,,,,,,,,,,,,,,,,Serbia,786,00:00:11.760,Pass,,,,,,,47.9,70.5,59.4,65.8,,,,,,59.4,65.8,Slovenia vs Serbia,Slovenia,Serbia
,,,,,,,,,,,,,,,,,,0.46531,,,,,,,,,,,,,,82dfceac-2360-494b-b32e-aa9925e1648b,21,,,"[58.4, 64.5]",3930170,0,,,,-1.9605049,,Left Foot,,,"[56.1, 58.9]",,Low Pass,,6.0539246,,,,Ivan Ilić,30179.0,,,,,,,1,Regular Play,Aleksandar Mitrović,4269.0,Center Forward,3,Serbia,786,"['46d9760e-3c3f-4ced-af24-4f8da5f09799', '6e46ee4a-aba4-4a78-bfa5-f3a6d8fc8710']",13,,,,,,,,,,,,,,,,,Serbia,786,00:00:13.179,Pass,True,,,,,,58.4,64.5,56.1,58.9,,,,,,56.1,58.9,Slovenia vs Serbia,Slovenia,Serbia
,,,,,,,,,,,,,,,,,,1.263959,,,,,,,,,,,,,,5e652e7a-5572-45bb-8e69-d1bc2719fe68,25,,,"[63.5, 39.1]",3930170,0,,,,-1.5103861,,Left Foot,,,"[65.0, 14.3]",,Ground Pass,,24.845322,,,,Filip Mladenović,7993.0,,,,,,,1,Regular Play,Ivan Ilić,30179.0,Right Defensive Midfield,3,Serbia,786,['affabc9b-63fe-473f-9ec4-0291836dbba7'],16,,,,,,,,,,,,,,,,,Serbia,786,00:00:16.423,Pass,,,,,,,63.5,39.1,65.0,14.3,,,,,,65.0,14.3,Slovenia vs Serbia,Slovenia,Serbia
,,,,,,,,,,,,,,,,,,0.813899,,,,,,,,,,,,,,a50b374b-2c5b-403c-a5be-d446f3af1e65,28,,,"[71.4, 10.4]",3930170,0,,,,1.6450398,,Left Foot,,,"[70.5, 22.5]",,Ground Pass,,12.133425,,,,Ivan Ilić,30179.0,,,,,,,1,Regular Play,Filip Mladenović,7993.0,Left Wing Back,3,Serbia,786,['000bedb9-d698-418a-8e01-59878de3c9cf'],20,,,,,,,,,,,,,,,,,Serbia,786,00:00:20.757,Pass,,,,,,,71.4,10.4,70.5,22.5,,,,,,70.5,22.5,Slovenia vs Serbia,Slovenia,Serbia
,,,,,,,,,,,,,,,,,,1.32479,,,,,,,,,,,,,,d2ca42ef-891b-4964-b9c7-d6c077a3f7db,31,,,"[70.0, 22.8]",3930170,0,,,,-3.1288545,,Right Foot,,,"[54.3, 22.6]",,Ground Pass,,15.701274,,,,Strahinja Pavlović,27719.0,,,,,,,1,Regular Play,Ivan Ilić,30179.0,Right Defensive Midfield,3,Serbia,786,['80b16be5-a933-466f-ad9c-182d3114cc82'],21,,,,,,,,,,,,,,,,,Serbia,786,00:00:21.651,Pass,,,,,,,70.0,22.8,54.3,22.6,,,,,,54.3,22.6,Slovenia vs Serbia,Slovenia,Serbia
,,,,,,,,,,,,,,,,,,0.986191,,,,,,,,,,,,,,7b3f4f15-983e-4986-a8b5-438ab65726c8,34,,,"[54.3, 22.6]",3930170,0,,,,-1.1749458,,Left Foot,,,"[59.9, 9.2]",,Ground Pass,,14.523085,,,,Saša Lukić,6687.0,,,,,,,1,Regular Play,Strahinja Pavlović,27719.0,Left Center Back,3,Serbia,786,['ccc54b64-b549-4e54-a903-2ba5f915ff07'],23,,,,,,,,,,,,,,,,,Serbia,786,00:00:23.016,Pass,,,,,,,54.3,22.6,59.9,9.2,,,,,,59.9,9.2,Slovenia vs Serbia,Slovenia,Serbia
,,,,,,,,,,,,,,,,,,0.99122,,,,,,,,,,,,,,0653cd89-1ede-4b85-a5d3-660bfcb4f92f,37,,,"[59.9, 9.2]",3930170,0,,,,2.3255918,,Right Foot,,,"[50.4, 19.3]",,Ground Pass,,13.865786,,,,Strahinja Pavlović,27719.0,,,,,,,1,Regular Play,Saša Lukić,6687.0,Left Defensive Midfield,3,Serbia,786,['32abf068-4c26-4e01-b1c6-26961584239d'],24,,,,,,,,,,,,,,,,,Serbia,786,00:00:24.242,Pass,,,,,,,59.9,9.2,50.4,19.3,,,,,,50.4,19.3,Slovenia vs Serbia,Slovenia,Serbia
,,,,,,,,,,,,,,,,,,1.11824,,,,,,,,,,,,,,0bf2179c-e2b4-42e0-b157-b2d99a85e3c4,40,,,"[48.9, 20.3]",3930170,0,,,,1.6376821,,Left Foot,,,"[47.5, 41.2]",,Ground Pass,,20.946838,,,,Nikola Milenković,5603.0,,,,,,,1,Regular Play,Strahinja Pavlović,27719.0,Left Center Back,3,Serbia,786,['9e2b9452-e56e-4514-b14b-ac72e5bb04b7'],26,,,,,,,,,,,,,,,,,Serbia,786,00:00:26.370,Pass,,,,,,,48.9,20.3,47.5,41.2,,,,,,47.5,41.2,Slovenia vs Serbia,Slovenia,Serbia
,,,,,,,,,,,,,,,,,,1.481982,,,,,,,,,,,,,,59d4f30d-6d61-4092-9789-bae2306d4bc2,43,,,"[45.8, 41.2]",3930170,0,,,,1.5823789,,Right Foot,,,"[45.5, 67.1]",,Ground Pass,,25.901737,,,,Milos Veljkovic,6321.0,,,,,,,1,Regular Play,Nikola Milenković,5603.0,Center Back,3,Serbia,786,['c89b7cbd-bfdc-4f9e-bdc6-a359178e4168'],28,,,,,,,,,,,,,,,,,Serbia,786,00:00:28.496,Pass,,,,,,,45.8,41.2,45.5,67.1,,,,,,45.5,67.1,Slovenia vs Serbia,Slovenia,Serbia
,,,,,,,,,,,,,,,,,,1.089208,,,,,,,,,,,,,,bcd70614-5858-4179-bb36-0a5b5d68bf70,46,,,"[45.9, 70.8]",3930170,0,,,,-0.16336615,,Right Foot,,,"[73.2, 66.3]",,Ground Pass,,27.668394,,,,Dušan Tadić,3831.0,,,,,,,1,Regular Play,Milos Veljkovic,6321.0,Right Center Back,3,Serbia,786,['1463aef2-f327-49a7-af78-284406965155'],31,,,,,,,,,,,,,,,,,Serbia,786,00:00:31.131,Pass,,,,,,,45.9,70.8,73.2,66.3,,,,,,73.2,66.3,Slovenia vs Serbia,Slovenia,Serbia
