50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_penalty_saved_to_post,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_follows_dribble,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_off_target,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,team,team_id,timestamp,type,under_pressure,tactics.formation,tactics.lineup,tactics,50_50.outcome.id,50_50.outcome.name,x,y,pass_end_x,pass_end_y,carry_end_x,carry_end_y,shot_end_x,shot_end_y,shot_end_z,end_x,end_y,match_name,home_team,away_team
,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,5d32e48c-0b6d-4589-8df6-4bf0fb8d13fc,4206,,,3941020,120,,,,,,,,,,,,,,,,,,,,,,,,5,From Throw In,,,,214,Portugal,780,['6841ad21-0a07-40c2-86f0-7eff4fac6711'],0,,,,,,,,,,,,,,,,,,,Portugal,780,00:00:00.000,Half Start,,,,,,,,,,,,,,,,,,Portugal vs Slovenia,Portugal,Slovenia
,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,6841ad21-0a07-40c2-86f0-7eff4fac6711,4207,,,3941020,120,,,,,,,,,,,,,,,,,,,,,,,,5,From Throw In,,,,214,Portugal,780,['5d32e48c-0b6d-4589-8df6-4bf0fb8d13fc'],0,,,,,,,,,,,,,,,,,,,Slovenia,944,00:00:00.000,Half Start,,,,,,,,,,,,,,,,,,Portugal vs Slovenia,Portugal,Slovenia
,,,,,,,,,,,,,,,,,,,,1.337765,,,,,,,,,,,,,,,,,5e0c3859-bc0d-4df3-a647-6a02c137a4e3,5,,"[61.0, 40.1]",3941020,0,,,,-3.1123328,,Right Foot,,,,"[40.5, 39.5]",Ground Pass,,20.50878,,,,Nuno Mendes,41092.0,,,,,Kick Off,1,From Kick Off,Bruno Miguel Borges Fernandes,5204.0,Center Attacking Midfield,2,Portugal,780,['925d7e30-a459-4c4d-a9af-292a05a94976'],0,,,,,,,,,,,,,,,,,,,Portugal,780,00:00:00.547,Pass,,,,,,,61.0,40.1,40.5,39.5,,,,,,40.5,39.5,Portugal vs Slovenia,Portugal,Slovenia
,,,,,,,,,,,,,,,,,,,,3.027435,,,,,,,,,,,,,,,,,fcb47ea4-ae7b-46bc-b93d-fa9f632142ac,8,,"[45.3, 40.2]",3941020,0,,,,0.34992936,,Left Foot,,,,"[93.8, 57.9]",High Pass,,51.62887,,Incomplete,,,,,,,,,1,From Kick Off,Nuno Mendes,41092.0,Left Back,2,Portugal,780,['4944bca9-aeb6-419a-8804-dd0e30bc3101'],3,,,,,,,,,,,,,,,,,,,Portugal,780,00:00:03.453,Pass,,,,,,,45.3,40.2,93.8,57.9,,,,,,93.8,57.9,Portugal vs Slovenia,Portugal,Slovenia
,,,,,,,,,,,,,,,,,,,,0.3254,,,,,,,,,,,,,,,,,a986e65a-ce39-40d4-96d7-1ce643121e02,13,,"[111.8, 74.2]",3941020,0,,,,2.961739,,Left Foot,,,,"[108.5, 74.8]",Ground Pass,,3.354102,,Incomplete,,João Pedro Cavaco Cancelo,7005.0,,,,,,1,From Kick Off,Bernardo Mota Veiga de Carvalho e Silva,3193.0,Right Wing,2,Portugal,780,"['23c64079-01e8-4cc9-8c1f-71f28c434a7e', '89f5745a-f564-4e58-9467-8f35ac427eb4', 'bd5adff6-bd94-4846-9e9e-d590678f45bb']",9,,,,,,,,,,,,,,,,,,,Portugal,780,00:00:09.888,Pass,True,,,,,,111.8,74.2,108.5,74.8,,,,,,108.5,74.8,Portugal vs Slovenia,Portugal,Slovenia
,,,,,,,,,,,,,,,,,,,,0.783642,,,,,,,,,,,,,,,,,4caa9606-f90e-4d33-828d-4984dfcecd43,16,,"[107.3, 80.0]",3941020,0,,,,-0.44872335,,,,,,"[118.1, 74.8]",Low Pass,,11.986659,,,,Bernardo Mota Veiga de Carvalho e Silva,3193.0,,,,,Throw-in,1,From Throw In,João Pedro Cavaco Cancelo,7005.0,Right Back,3,Portugal,780,['f0e5cf6f-f058-45d5-ac0a-459225155b17'],15,,,,,,,,,,,,,,,,,,,Portugal,780,00:00:15.514,Pass,,,,,,,107.3,80.0,118.1,74.8,,,,,,118.1,74.8,Portugal vs Slovenia,Portugal,Slovenia
,,,,,,,,,,,,,,,,,,,,0.778094,,,,,,,,,,,,,,,,,3cd91112-04f3-411a-a77c-6e75acb3dca4,18,,"[118.1, 74.8]",3941020,0,,,,2.8122666,,Left Foot,,,,"[110.2, 77.5]",Ground Pass,,8.348653,,,,João Pedro Cavaco Cancelo,7005.0,,,,,,1,From Throw In,Bernardo Mota Veiga de Carvalho e Silva,3193.0,Right Wing,3,Portugal,780,['f1c8f4ab-0fa5-4c21-a212-183a2ff5da4d'],16,,,,,,,,,,,,,,,,,,,Portugal,780,00:00:16.298,Pass,,,,,,,118.1,74.8,110.2,77.5,,,,,,110.2,77.5,Portugal vs Slovenia,Portugal,Slovenia
,,,,,,,,,,,,,,,,,,,,0.519812,,,,,,,,,,,,,,,,,9e6a927f-0650-4fdc-8c48-d8124282efeb,22,,"[109.8, 78.6]",3941020,0,,,,0.0,,Right Foot,,,,"[114.2, 78.6]",Ground Pass,,4.4,,Pass Offside,,Bernardo Mota Veiga de Carvalho e Silva,3193.0,,,,,,1,From Throw In,João Pedro Cavaco Cancelo,7005.0,Right Back,3,Portugal,780,['0e99f720-5e41-443a-aedf-8c224fd6b794'],18,,,,,,,,,,,,,,,,,,,Portugal,780,00:00:18.203,Pass,,,,,,,109.8,78.6,114.2,78.6,,,,,,114.2,78.6,Portugal vs Slovenia,Portugal,Slovenia
,,,,,,,,,,,,,,,,,,,,3.511954,,,,,,,,,,,,,,,,,437d9433-bd3e-47aa-9c74-553d236cc0b7,24,,"[8.1, 5.7]",3941020,0,True,,,0.22906813,,Right Foot,,,,"[66.0, 19.2]",High Pass,,59.453007,,Incomplete,,Benjamin Šeško,38759.0,,,,,Free Kick,1,From Free Kick,Jan Oblak,6378.0,Goalkeeper,4,Slovenia,944,"['1922f8e6-9732-455d-96d9-270b574e58b1', 'd68f15d4-dcb0-4147-b2f9-358a054eae9f']",39,,,,,,,,,,,,,,,,,,,Slovenia,944,00:00:39.335,Pass,,,,,,,8.1,5.7,66.0,19.2,,,,,,66.0,19.2,Portugal vs Slovenia,Portugal,Slovenia
,,,,,,,,,,,,,,,,,,,,1.541647,,,,,,,,,,,,,,,,,f1bbeb44-5cd9-4aab-a526-a7affd8b6afe,28,,"[72.6, 0.1]",3941020,1,True,,,2.9171295,,,,,,"[50.7, 5.1]",Low Pass,,22.463526,,,,Jaka Bijol,16047.0,,,,,Throw-in,1,From Throw In,Jure Balkovec,30940.0,Left Back,5,Slovenia,944,['719cd16f-916a-4e7c-8fc3-a8ac5e8ee140'],0,,,,,,,,,,,,,,,,,,,Slovenia,944,00:01:00.489,Pass,,,,,,,72.6,0.1,50.7,5.1,,,,,,50.7,5.1,Portugal vs Slovenia,Portugal,Slovenia
,,,,,,,,,,,,,,,,,,,,0.897993,,,,,,,,,,,,,,,,,a5df5edd-f237-4dd7-9488-2be47b7fab15,30,,"[51.8, 5.1]",3941020,1,,,,-0.30756712,,Left Foot,,,,"[60.3, 2.4]",Ground Pass,,8.91852,,,,Jure Balkovec,30940.0,,,,,,1,From Throw In,Jaka Bijol,16047.0,Left Center Back,5,Slovenia,944,['bc31a787-8e2d-4fab-b372-2cd688f0bda9'],2,,,,,,,,,,,,,,,,,,,Slovenia,944,00:01:02.842,Pass,,,,,,,51.8,5.1,60.3,2.4,,,,,,60.3,2.4,Portugal vs Slovenia,Portugal,Slovenia
