50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,team,team_id,timestamp,type,under_pressure,tactics.formation,tactics.lineup,tactics,50_50.outcome.id,50_50.outcome.name,x,y,pass_end_x,pass_end_y,carry_end_x,carry_end_y,shot_end_x,shot_end_y,shot_end_z,end_x,end_y,match_name,home_team,away_team
,,,,,,,,,,,,,,,,,,0.0,,,,,,"[1.4, 43.1]",,Set,,Shot Faced,05bff508-a715-4ac9-bed5-2a57faadd8d3,3399,,"[1.4, 43.1]",3930168,80,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Péter Gulácsi,8524.0,Goalkeeper,127,Germany,770,['971166a0-f3c6-4169-944a-42f49aee366f'],21,,,,,,,,,,,,,,,,Hungary,916,00:35:21.886,Goal Keeper,,,,,,,1.4,43.1,,,,,,,,,,Germany vs Hungary,Germany,Hungary
,,,,,,,,,,,,,,,,,,0.0,,,,,,"[0.7, 38.8]",,Moving,,Shot Faced,5549ec1f-43bd-4f2b-8365-58ac724692fd,3633,,"[0.7, 38.8]",3930168,86,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Péter Gulácsi,8524.0,Goalkeeper,136,Germany,770,['69fadc8d-9cbf-4d1f-ab6f-3e9987e739cb'],7,,,,,,,,,,,,,,,,Hungary,916,00:41:07.824,Goal Keeper,,,,,,,0.7,38.8,,,,,,,,,,Germany vs Hungary,Germany,Hungary
,,,,,,,,,,,,,,,,,,0.0,,,,,,"[2.3, 37.1]",,Set,,Shot Faced,31170718-c087-4a23-90be-c5f4c53fa3df,3693,,"[2.3, 37.1]",3930168,87,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Péter Gulácsi,8524.0,Goalkeeper,140,Germany,770,['f877ccdd-c3b4-42ac-a9b1-21b14ff7157f'],53,,,,,,,,,,,,,,,,Hungary,916,00:42:53.985,Goal Keeper,,,,,,,2.3,37.1,,,,,,,,,,Germany vs Hungary,Germany,Hungary
,,,,,,,,,,,,,,,,,,0.0,,,,,,,Fail,,,Collected,31bbcc00-3e55-4df7-b393-a105b265dd8a,3721,,"[6.0, 41.2]",3930168,89,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Manuel Neuer,5570.0,Goalkeeper,143,Hungary,916,['ffc852ba-9b27-492f-8e8e-7e3119a8954d'],10,,,,,,,,,,,,,,,,Germany,770,00:44:10.990,Goal Keeper,,,,,,,6.0,41.2,,,,,,,,,,Germany vs Hungary,Germany,Hungary
,,,,,,,,,,,,,,,,,,0.0,,,,,,"[6.8, 42.9]",,Moving,,Shot Faced,246b4ca0-a107-48d0-96ff-a725ac425a6e,3725,,"[6.8, 42.9]",3930168,89,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Manuel Neuer,5570.0,Goalkeeper,143,Hungary,916,['d78406ea-3600-481f-bd5b-60b8d2586839'],12,,,,,,,,,,,,,,,,Germany,770,00:44:12.925,Goal Keeper,,,,,,,6.8,42.9,,,,,,,,,,Germany vs Hungary,Germany,Hungary
,,,,,,,,,,,,,,,,,,0.0,True,,,,,,,,,,8be31df8-4152-4f7f-a410-df651a32c9f3,95,,"[52.7, 77.8]",3930168,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Attila Fiola,11268.0,Right Center Back,4,Germany,770,['8544d1e9-3f05-411d-9356-2331ae0d0490'],25,,,,,,,,,,,,,,,,Hungary,916,00:01:25.437,Foul Committed,,,,,,,52.7,77.8,,,,,,,,,,Germany vs Hungary,Germany,Hungary
,,,,,,,,,,,,,,,,,,0.0,True,,,,,,,,,,b40de84f-8562-4653-a47f-97539e7a6e17,314,,"[43.3, 21.7]",3930168,7,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Roland Sallai,19316.0,Left Attacking Midfield,15,Germany,770,"['3c898d44-ccbe-4b68-bf8e-01c02a941f11', 'c342809b-e696-4221-87d8-fdc758ef738c', 'cb3a718c-b278-4645-ae34-41f24103b4b4']",27,,,,,,,,,,,,,,,,Hungary,916,00:07:27.439,Foul Committed,,,,,,,43.3,21.7,,,,,,,,,,Germany vs Hungary,Germany,Hungary
,,,,,,,,,,,,True,,,,,,0.0,,,,,,,,,,,0c0bac6a-bef8-42a1-b58a-733d44df67d7,549,,"[94.4, 59.0]",3930168,12,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Florian Wirtz,40724.0,Left Wing,23,Hungary,916,"['0932b746-ef5c-4194-b203-c3e3e895b70b', 'e7d5827b-eee0-463c-8f0a-78f410c114a5']",57,,,,,,,,,,,,,,,,Germany,770,00:12:57.160,Foul Committed,,,,,,,94.4,59.0,,,,,,,,,,Germany vs Hungary,Germany,Hungary
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,5727c272-9ea7-4b03-8566-ea7e7472d681,800,,"[69.8, 11.0]",3930168,19,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Goal Kick,Barnabás Varga,12921.0,Center Forward,34,Hungary,916,['7bd5c099-a436-47fb-9eb8-5de93b88b375'],10,,,,,,,,,,,,,,,,Hungary,916,00:19:10.744,Foul Committed,,,,,,,69.8,11.0,,,,,,,,,,Germany vs Hungary,Germany,Hungary
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,9fa70da5-d007-4df2-9587-8bc114e51d62,991,,"[26.6, 54.2]",3930168,23,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Kick Off,Antonio Rüdiger,3167.0,Right Center Back,39,Hungary,916,['537462ea-8ea0-4fcd-83e0-e26586ea8408'],29,,,,,,,,,,,,,,,,Germany,770,00:23:29.715,Foul Committed,,,,,,,26.6,54.2,,,,,,,,,,Germany vs Hungary,Germany,Hungary
