50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,team,team_id,timestamp,type,under_pressure,tactics.formation,tactics.lineup,tactics,50_50.outcome.id,50_50.outcome.name,x,y,pass_end_x,pass_end_y,carry_end_x,carry_end_y,shot_end_x,shot_end_y,shot_end_z,end_x,end_y,match_name,home_team,away_team
,,,,,,,,,,,,,,,,1.412823,,,,,,,,,,,38532f97-ae0d-4379-bc17-a78e9c04a7fc,17,,,"[90.2, 80.0]",3930165,0,,,,-2.8175538,,,,,"[77.1, 75.6]",Low Pass,,13.81919,,,,Nicolas Seiwald,39460.0,,,,,Throw-in,1,From Throw In,Stefan Posch,11821.0,Right Back,3,Austria,915,['db2fa118-9a0e-4716-81c2-6ae607d5951c'],17,,,,,,,,,,,,,,,,Austria,915,00:00:17.640,Pass,,,,,,,90.2,80.0,77.1,75.6,,,,,,77.1,75.6,Austria vs France,Austria,France
,,,,,,,,,,,,,,,,2.93604,,,,,,,,,,,955fba6f-4665-42be-a5df-e8912750bdd4,20,,,"[75.3, 71.9]",3930165,0,,,,-2.2826774,,Right Foot,,,"[47.0, 39.1]",Ground Pass,,43.321243,,,,Maximilian Wöber,8068.0,,,,,,1,From Throw In,Nicolas Seiwald,39460.0,Right Defensive Midfield,3,Austria,915,['84f0bb19-169c-4cb8-94ec-75c7f3005797'],21,,,,,,,,,,,,,,,,Austria,915,00:00:21.309,Pass,,,,,,,75.3,71.9,47.0,39.1,,,,,,47.0,39.1,Austria vs France,Austria,France
,,,,,,,,,,,,,,,,1.188531,,,,,,,,,,,5263c3c8-4349-4199-b98e-6a00d83fe7d0,23,,,"[53.8, 35.5]",3930165,0,,,,1.7840916,,Left Foot,,,"[49.1, 57.2]",Ground Pass,,22.203154,,,,Kevin Danso,11820.0,,,,,,1,From Throw In,Maximilian Wöber,8068.0,Left Center Back,3,Austria,915,['48e40e91-c57b-4e98-a7a1-4c3815c91405'],27,,,,,,,,,,,,,,,,Austria,915,00:00:27.222,Pass,,,,,,,53.8,35.5,49.1,57.2,,,,,,49.1,57.2,Austria vs France,Austria,France
,,,,,,,,,,,,,,,,1.321289,,,,,,,,,,,1a88e288-390a-4911-a414-2a4dc10ec816,26,,,"[46.8, 65.2]",3930165,0,,,,0.99172205,,Right Foot,,,"[53.6, 75.6]",Ground Pass,,12.425779,,,,Nicolas Seiwald,39460.0,,,,,,1,From Throw In,Kevin Danso,11820.0,Right Center Back,3,Austria,915,['bdba3dbf-eac4-4a53-9889-72b4668698dd'],30,,,,,,,,,,,,,,,,Austria,915,00:00:30.520,Pass,,,,,,,46.8,65.2,53.6,75.6,,,,,,53.6,75.6,Austria vs France,Austria,France
,,,,,,,,,,,,,,,,1.276572,,,,,,,,,,,1e55c4ee-bca4-4f9c-9bfd-8e17b5c8adc3,29,,,"[53.6, 75.6]",3930165,0,,,,-2.6316206,,Right Foot,,,"[35.9, 65.7]",Ground Pass,,20.280533,,,,Kevin Danso,11820.0,,,,,,1,From Throw In,Nicolas Seiwald,39460.0,Right Defensive Midfield,3,Austria,915,['57f20aa9-5a80-4a2c-8f90-2100cd17dccd'],32,,,,,,,,,,,,,,,,Austria,915,00:00:32.696,Pass,,,,,,,53.6,75.6,35.9,65.7,,,,,,35.9,65.7,Austria vs France,Austria,France
,,,,,,,,,,,,,,,,1.868978,,,,,,,,,,,0d73b50a-1625-4b62-a083-3a1c270e1611,32,,,"[35.9, 65.7]",3930165,0,,,,-1.5630245,,Right Foot,,,"[36.2, 27.1]",Ground Pass,,38.601166,,,,Maximilian Wöber,8068.0,,,,,,1,From Throw In,Kevin Danso,11820.0,Right Center Back,3,Austria,915,['8fa81fd0-a90d-4a0b-8a2b-f9fd5ada14cb'],35,,,,,,,,,,,,,,,,Austria,915,00:00:35.322,Pass,,,,,,,35.9,65.7,36.2,27.1,,,,,,36.2,27.1,Austria vs France,Austria,France
,,,,,,,,,,,,,,,,2.588438,,,,,,,,,,,36b1013e-5e02-4777-9edf-dab5b0a52975,35,,,"[66.4, 21.7]",3930165,0,,,,-0.60740775,,Right Foot,,,"[88.7, 6.2]",Ground Pass,,27.157688,,,,Philipp Mwene,13315.0,,,,,,1,From Throw In,Maximilian Wöber,8068.0,Left Center Back,3,Austria,915,['89924735-9806-46bd-9fa8-9a4cd4583af6'],42,,,,,,,,,,,,,,,,Austria,915,00:00:42.399,Pass,,,,,,,66.4,21.7,88.7,6.2,,,,,,88.7,6.2,Austria vs France,Austria,France
,,,,,,,,,,,,,,,,2.311881,,,,,,,,,,,1ef906d3-6b25-42c8-b02b-e295598e84af,38,,,"[93.5, 6.2]",3930165,0,,,,1.0582746,,Left Foot,True,,"[113.7, 42.1]",High Pass,,41.19284,,Incomplete,,Michael Gregoritsch,8309.0,,,,,,1,From Throw In,Philipp Mwene,13315.0,Left Back,3,Austria,915,"['3e8ca55a-57c7-44c4-9bea-bb20d01173bb', '5f3fffc4-158c-4110-9a81-d7f7e17fcc11']",45,,,,,,,,,,,,,,,,Austria,915,00:00:45.067,Pass,,,,,,,93.5,6.2,113.7,42.1,,,,,,113.7,42.1,Austria vs France,Austria,France
,,,,,,,,,,,,,,,,2.247853,,,,,,,,,,,cf6eadca-af67-48ee-8811-3a6c18d7e3de,42,,,"[8.0, 40.3]",3930165,0,,,,1.2891477,,Keeper Arm,,,"[13.7, 60.0]",Ground Pass,,20.508047,,,,Dayotchanculle Upamecano,8519.0,,,,,,1,Regular Play,Mike Maignan,3761.0,Goalkeeper,4,France,771,['98ac576d-55a4-4a43-8311-72433544fc53'],58,,,,,,,,,,,,,,,,France,771,00:00:58.391,Pass,,,,,,,8.0,40.3,13.7,60.0,,,,,,13.7,60.0,Austria vs France,Austria,France
,,,,,,,,,,,,,,,,0.78127,,,,,,,,,,,7ba50d9c-cd05-4ce8-89fa-99e7454cb6c8,46,,,"[15.5, 60.5]",3930165,1,,,,-0.32426944,,Right Foot,,,"[27.4, 56.5]",Ground Pass,,12.554282,,,,N'Golo Kanté,3961.0,,,,,,1,Regular Play,Dayotchanculle Upamecano,8519.0,Right Center Back,4,France,771,"['affad1a9-5c51-4e9e-86b5-2859cab6ef53', 'bf5a5364-85e6-4219-b2e2-564fe8d8418b']",0,,,,,,,,,,,,,,,,France,771,00:01:00.990,Pass,True,,,,,,15.5,60.5,27.4,56.5,,,,,,27.4,56.5,Austria vs France,Austria,France
