50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,team,team_id,timestamp,type,under_pressure,tactics.formation,tactics.lineup,tactics,50_50.outcome.id,50_50.outcome.name,x,y,pass_end_x,pass_end_y,carry_end_x,carry_end_y,shot_end_x,shot_end_y,shot_end_z,end_x,end_y,match_name,home_team,away_team
,,,,,,,,,,,,,,,,,,1.813695,,,,,,,,,,,,28ccbc0c-006b-49ff-bdf8-492e8e34b302,18,,,"[6.0, 31.3]",3930174,0,,,,,1.574963,,Left Foot,,,,"[5.9, 55.3]",,Ground Pass,,24.000208,,,,,Rúben Santos Gato Alves Dias,5206.0,,,,,,Goal Kick,1,From Goal Kick,Kléper Laveran Lima Ferreira,20016.0,Left Center Back,3,Portugal,780,['a2eed445-8c55-40f2-9b37-33034161e5a9'],49,,,,,,,,,,,,,,,,Portugal,780,00:00:49.676,Pass,,,,,,,6.0,31.3,5.9,55.3,,,,,,5.9,55.3,Turkey vs Portugal,Turkey,Portugal
,,,,,,,,,,,,,,,,,,2.195984,,,,,,,,,,,,879eeb64-871b-4cfc-9c8e-15fc16d40647,21,,,"[3.9, 55.4]",3930174,0,,,,,-1.5623459,,Right Foot,,,,"[4.2, 19.9]",,Ground Pass,,35.501266,,,,,Kléper Laveran Lima Ferreira,20016.0,,,,,,,1,From Goal Kick,Rúben Santos Gato Alves Dias,5206.0,Right Center Back,3,Portugal,780,['39f62dc3-91de-47f2-b9cd-368f43e45eb4'],52,,,,,,,,,,,,,,,,Portugal,780,00:00:52.650,Pass,,,,,,,3.9,55.4,4.2,19.9,,,,,,4.2,19.9,Turkey vs Portugal,Turkey,Portugal
,,,,,,,,,,,,,,,,,,1.259497,,,,,,,,,,,,fe9c518a-082a-4773-b013-3104a3f37341,24,,,"[4.8, 19.9]",3930174,0,,,,,-0.9689755,,Right Foot,,,,"[17.3, 1.7]",,Ground Pass,,22.079176,,,,,Nuno Mendes,41092.0,,,,,,,1,From Goal Kick,Kléper Laveran Lima Ferreira,20016.0,Left Center Back,3,Portugal,780,['e228aeb9-c352-40fb-a5d5-13974e8388e7'],55,,,,,,,,,,,,,,,,Portugal,780,00:00:55.814,Pass,,,,,,,4.8,19.9,17.3,1.7,,,,,,17.3,1.7,Turkey vs Portugal,Turkey,Portugal
,,,,,,,,,,,,,,,,,,1.493388,,,,,,,,,,,,8908b072-f1e0-454c-b283-6e941486e876,28,,,"[19.8, 1.9]",3930174,0,,,,,0.08865588,,Left Foot,,,,"[42.3, 3.9]",,Ground Pass,,22.588715,,,,,Rafael Alexandre Conceição Leão,18360.0,,,,,,,1,From Goal Kick,Nuno Mendes,41092.0,Left Back,3,Portugal,780,"['c34fae85-ae63-41e8-8bc1-5cfde3bac565', 'f90e3d5e-42d7-49ad-a5a0-a03e8d3a6765']",58,,,,,,,,,,,,,,,,Portugal,780,00:00:58.084,Pass,True,,,,,,19.8,1.9,42.3,3.9,,,,,,42.3,3.9,Turkey vs Portugal,Turkey,Portugal
,,,,,,,,,,,,,,,,,,0.621253,,,,,,,,,,,,9bc01092-d836-4c53-9665-28da2f67598a,31,,,"[42.4, 3.7]",3930174,0,,,,,1.3411539,,Right Foot,,,,"[44.2, 11.4]",,Ground Pass,,7.9075913,,,,,Bruno Miguel Borges Fernandes,5204.0,,,,,,,1,From Goal Kick,Rafael Alexandre Conceição Leão,18360.0,Left Wing,3,Portugal,780,"['34194ea5-9a60-402a-ada7-325d488689d0', '7de85127-df3c-44b1-9b72-71fc175d66d6']",59,,,,,,,,,,,,,,,,Portugal,780,00:00:59.578,Pass,True,,,,,,42.4,3.7,44.2,11.4,,,,,,44.2,11.4,Turkey vs Portugal,Turkey,Portugal
,,,,,,,,,,,,,,,,,,1.282571,,,,,,,,,,,,ce63a19f-13ed-465f-9724-a3a37d146187,36,,,"[48.3, 17.6]",3930174,1,,,,,-0.26060238,,Right Foot,,,,"[70.8, 11.6]",,Ground Pass,,23.286263,,,,,Bernardo Mota Veiga de Carvalho e Silva,3193.0,,,,,,,1,From Goal Kick,Bruno Miguel Borges Fernandes,5204.0,Center Attacking Midfield,3,Portugal,780,"['988fa90f-fdd2-4eb5-bc8e-51a1f0e651ef', 'ea0896f2-d85f-4644-b91b-165f94e5757d']",1,,,,,,,,,,,,,,,,Portugal,780,00:01:01.986,Pass,True,,,,,,48.3,17.6,70.8,11.6,,,,,,70.8,11.6,Turkey vs Portugal,Turkey,Portugal
,,,,,,,,,,,,,,,,,,2.110105,,,,,,,,,,,,b6ca65f1-0341-4a92-b245-6880e977f104,39,,,"[97.6, 17.4]",3930174,1,,,,,1.3817079,d5aa0c93-f824-40c0-bbba-0c556af550c2,Left Foot,True,,,"[104.7, 54.5]",,High Pass,,37.77327,,,,,Cristiano Ronaldo dos Santos Aveiro,5207.0,True,,,,,,1,From Goal Kick,Bernardo Mota Veiga de Carvalho e Silva,3193.0,Right Wing,3,Portugal,780,['bcb325b9-d89b-47dc-96e5-4150644b6687'],6,,,,,,,,,,,,,,,,Portugal,780,00:01:06.737,Pass,,,,,,,97.6,17.4,104.7,54.5,,,,,,104.7,54.5,Turkey vs Portugal,Turkey,Portugal
,,,,,,,,,,,,,,,,,,2.250766,,,,,,,,,,,,ce8c637a-d10b-4e73-98be-e9851cae12a0,44,,,"[14.4, 47.4]",3930174,1,,,,,0.24195981,,Right Foot,,,,"[45.6, 55.1]",,High Pass,,32.136116,,,Incomplete,,Barış Alper Yılmaz,134209.0,,,,,,,1,From Keeper,Altay Bayındır,30442.0,Goalkeeper,5,Turkey,909,"['62b88808-9c3d-4de0-a131-bb80c5d2a6e7', '8b22851c-154c-4ff8-9811-a42971a92807', 'c909b76c-3e65-478d-9cfa-5ad54360eefb']",33,,,,,,,,,,,,,,,,Turkey,909,00:01:33.440,Pass,True,,,,,,14.4,47.4,45.6,55.1,,,,,,45.6,55.1,Turkey vs Portugal,Turkey,Portugal
,,,,,,,,,,,,,,,,,,0.951845,,,,,,,,,,,,62b88808-9c3d-4de0-a131-bb80c5d2a6e7,46,,,"[74.5, 25.0]",3930174,1,,,,True,-0.43833655,,,,,,"[84.1, 20.5]",,Low Pass,,10.602358,,,Incomplete,,,,,,,,,Recovery,1,From Keeper,João Maria Lobo Alves Palhinha Gonçalves,12169.0,Left Defensive Midfield,5,Turkey,909,"['0cd8aad0-1070-4f8e-bce1-7f342034dc04', '54d24810-b11a-45e8-9d20-522291747841', 'ce8c637a-d10b-4e73-98be-e9851cae12a0']",35,,,,,,,,,,,,,,,,Portugal,780,00:01:35.691,Pass,True,,,,,,74.5,25.0,84.1,20.5,,,,,,84.1,20.5,Turkey vs Portugal,Turkey,Portugal
,,,,,,,,,,,,,,,,,,2.582962,,,,,,,,,,,,260222e8-6f7d-4caf-9bce-a18ead17a886,50,,,"[42.5, 61.2]",3930174,1,,,,,-1.6123565,,Right Foot,,,,"[40.4, 10.7]",,High Pass,,50.543644,,,,,Ferdi Erenay Kadıoğlu,30438.0,,,True,,,,1,From Keeper,Hakan Çalhanoğlu,7039.0,Right Defensive Midfield,5,Turkey,909,['849bee02-6fa8-4991-9b8c-662ec22a8a34'],37,,,,,,,,,,,,,,,,Turkey,909,00:01:37.838,Pass,,,,,,,42.5,61.2,40.4,10.7,,,,,,40.4,10.7,Turkey vs Portugal,Turkey,Portugal
