50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,team,team_id,timestamp,type,under_pressure,tactics.formation,tactics.lineup,tactics,50_50.outcome.id,50_50.outcome.name,x,y,pass_end_x,pass_end_y,carry_end_x,carry_end_y,shot_end_x,shot_end_y,shot_end_z,end_x,end_y,match_name,home_team,away_team
,,,,,,,,,,,,,,,,,,3.202953,,,,,,,,,,,,,,,e2d294fe-a0fc-4909-8677-27f24570a756,3200,,,"[78.0, 25.3]",3938642,91,,,,0.9381481,,Right Foot,,,"[109.6, 68.4]",High Pass,,53.443146,Incomplete,,Vladimír Coufal,16570.0,,True,,,,2,From Throw In,Robin Hranáč,81330.0,Center Back,165,Czech Republic,912,"['c99ff63f-5f7d-43eb-b0ba-ae8a458f3270', 'd16a705a-5221-45bb-b53f-45915d736925']",58,,,,,,,,,,,,,,,,,Czech Republic,912,00:46:58.736,Pass,,,,,,,78.0,25.3,109.6,68.4,,,,,,109.6,68.4,Georgia vs Czech Republic,Georgia,Czech Republic
,,,,,,,,,,,,,,,,,,1.386817,,,,,,,,,,,,,,,d16a705a-5221-45bb-b53f-45915d736925,3202,,,"[10.5, 11.7]",3938642,92,,,,0.8550527,,Head,,,"[18.5, 20.9]",Low Pass,,12.1918,,,Giorgi Kochorashvili,41202.0,,,,,Recovery,2,Regular Play,Giorgi Chakvetadze,23646.0,Left Wing,166,Georgia,2138,"['33663972-641a-4e54-82b9-75037a8c6464', 'e2d294fe-a0fc-4909-8677-27f24570a756']",1,,,,,,,,,,,,,,,,,Georgia,2138,00:47:01.939,Pass,,,,,,,10.5,11.7,18.5,20.9,,,,,,18.5,20.9,Georgia vs Czech Republic,Georgia,Czech Republic
,,,,,,,,,,,,,,,,,,1.267803,,,,,,,,,,,,,,,cd7f8966-b674-417b-866a-8f6d9163dae0,3206,,,"[17.9, 17.7]",3938642,92,,,,-0.17014506,,Left Foot,,,"[40.6, 13.8]",Ground Pass,,23.032585,,,Giorgi Kvilitaia,24284.0,,,,,,2,Regular Play,Giorgi Kochorashvili,41202.0,Left Defensive Midfield,166,Georgia,2138,"['ad6b260a-fa0a-44d5-aaba-b3db7cc682fc', 'e99a5f55-d4e5-45f5-a381-ae2e2b6de004']",4,,,,,,,,,,,,,,,,,Georgia,2138,00:47:04.217,Pass,True,,,,,,17.9,17.7,40.6,13.8,,,,,,40.6,13.8,Georgia vs Czech Republic,Georgia,Czech Republic
,,,,,,,,,,,,,,,,,,1.52803,,,,,,,,,,,,,,,5a647d7d-040f-4e0d-a504-099255c1a8a1,3213,,,"[79.0, 77.6]",3938642,92,,,,-0.28177187,,Left Foot,,,"[98.0, 72.1]",Ground Pass,,19.78004,,,Ondřej Lingr,27826.0,,,,,,2,Regular Play,Tomáš Holeš,16469.0,Right Center Back,167,Czech Republic,912,['ae425dfe-c305-4f55-9d6a-7ff346c6bd92'],9,,,,,,,,,,,,,,,,,Czech Republic,912,00:47:09.168,Pass,,,,,,,79.0,77.6,98.0,72.1,,,,,,98.0,72.1,Georgia vs Czech Republic,Georgia,Czech Republic
,,,,,,,,,,,,,,,,,,1.023351,,,,,,,,,,,,,,,4d3c4f08-8b65-4cff-b9de-4fc3e0fb0c7b,3216,,,"[105.5, 71.8]",3938642,92,,,,-1.8985348,,Right Foot,,,"[100.4, 56.8]",Ground Pass,,15.843295,,,Antonín Barák,7801.0,,,,,,2,Regular Play,Ondřej Lingr,27826.0,Left Attacking Midfield,167,Czech Republic,912,['c47df537-de53-497c-8f44-a3c1d53122f0'],12,,,,,,,,,,,,,,,,,Czech Republic,912,00:47:12.016,Pass,,,,,,,105.5,71.8,100.4,56.8,,,,,,100.4,56.8,Georgia vs Czech Republic,Georgia,Czech Republic
,,,,,,,,,,,,,,,,,,1.501362,,,,,,,,,,,,,,,ba9cbf1b-ec36-4b3a-ae31-a336236f4c63,3220,,,"[103.4, 64.9]",3938642,92,,,,0.66596925,,Left Foot,,,"[113.2, 72.6]",Ground Pass,,12.463145,,,Tomáš Souček,4870.0,,,,,,2,Regular Play,Antonín Barák,7801.0,Right Attacking Midfield,167,Czech Republic,912,"['4da41a0a-2b80-4cdf-a228-3539aa97da92', 'c2cdde6a-31db-4af6-9b75-f90c2162a105']",16,,,,,,,,,,,,,,,,,Czech Republic,912,00:47:16.305,Pass,True,,,,,,103.4,64.9,113.2,72.6,,,,,,113.2,72.6,Georgia vs Czech Republic,Georgia,Czech Republic
,,,,,,,,,,,,,,,,,,5.299452,,,,,,,,,,,,,,,175fbcaa-e095-49a4-b4a7-f88eaa29482e,3223,,,"[113.2, 72.5]",3938642,92,,,,-1.8113306,,Right Foot,True,,"[98.9, 14.2]",High Pass,,60.02816,,,Ladislav Krejčí,28272.0,,True,,,,2,Regular Play,Tomáš Souček,4870.0,Right Defensive Midfield,167,Czech Republic,912,['4b0979df-1247-4aec-89c4-63e1e38d97a0'],17,,,,,,,,,,,,,,,,,Czech Republic,912,00:47:17.965,Pass,,,,,,,113.2,72.5,98.9,14.2,,,,,,98.9,14.2,Georgia vs Czech Republic,Georgia,Czech Republic
,,,,,,,,,,,,,,,,,,0.832683,,,,,,,,,,,,,,,c6db6379-318e-45a3-815a-684ad55c2670,3227,,,"[111.6, 10.1]",3938642,92,,,,-2.9202783,,Left Foot,,,"[103.6, 8.3]",Ground Pass,,8.2,,,Matěj Jurásek,39143.0,,,,,,2,Regular Play,Ladislav Krejčí,28272.0,Left Center Back,167,Czech Republic,912,['06a9dd3f-4f4c-4477-a72f-9f2f59202a0b'],27,,,,,,,,,,,,,,,,,Czech Republic,912,00:47:27.743,Pass,,,,,,,111.6,10.1,103.6,8.3,,,,,,103.6,8.3,Georgia vs Czech Republic,Georgia,Czech Republic
,,,,,,,,,,,,,,,,,,1.643077,,,,,,,,,,,,,,,a80ebf7a-f920-4769-a912-3b6772d921cc,3231,,,"[103.1, 8.4]",3938642,92,,,,1.3759325,,Right Foot,,,"[106.1, 23.6]",Ground Pass,,15.493224,Incomplete,,Antonín Barák,7801.0,,,,,,2,Regular Play,Matěj Jurásek,39143.0,Left Wing Back,167,Czech Republic,912,"['2cbffe32-b979-401c-a22e-299c2a9da34e', '68b02b3c-1edf-4326-b9f0-978415117079', '9fec60b4-2862-42a0-9dea-a135c9f476d3']",29,,,,,,,,,,,,,,,,,Czech Republic,912,00:47:29.030,Pass,True,,,,,,103.1,8.4,106.1,23.6,,,,,,106.1,23.6,Georgia vs Czech Republic,Georgia,Czech Republic
,,,,,,,,,,,,,,,,,,0.815807,,,,,,,,,,,,,,,feeb707e-9088-481e-a23d-7bd482c35c0c,3235,,,"[14.9, 58.9]",3938642,92,,,,2.3349211,,Right Foot,,,"[10.3, 63.7]",Ground Pass,,6.6483083,,,Otar Kakabadze,25036.0,,,,,,2,Regular Play,Giorgi Gvelesiani,398886.0,Right Center Back,168,Georgia,2138,['c6fb1160-7f6b-4851-8efe-2915e977eb21'],30,,,,,,,,,,,,,,,,,Georgia,2138,00:47:30.950,Pass,,,,,,,14.9,58.9,10.3,63.7,,,,,,10.3,63.7,Georgia vs Czech Republic,Georgia,Czech Republic
