50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,team,team_id,timestamp,type,under_pressure,tactics.formation,tactics.lineup,tactics,50_50.outcome.id,50_50.outcome.name,x,y,pass_end_x,pass_end_y,carry_end_x,carry_end_y,shot_end_x,shot_end_y,shot_end_z,end_x,end_y,match_name,home_team,away_team
,,,,,,,,,,,,,,,,,,,2.287435,,,,,,,,,,,,,41f4bc4e-779b-4643-be17-ac8ed3b480f1,16,,,"[47.5, 66.4]",3930164,0,,,,,-1.7796856,,Right Foot,,,"[38.3, 23.0]",Ground Pass,,44.3644,,,Milan Škriniar,6990.0,,True,,,,1,From Kick Off,Denis Vavro,16298.0,Right Center Back,2,Slovakia,908,['6bc08d49-8363-4235-9c46-55929af0be39'],11,,,,,,,,,,,,,,,,Slovakia,908,00:00:11.572,Pass,,,,,,,47.5,66.4,38.3,23.0,,,,,,38.3,23.0,Belgium vs Slovakia,Belgium,Slovakia
,,,,,,,,,,,,,,,,,,,0.847209,,,,,,,,,,,,,969e6a35-9708-4729-9ec3-5bb4621fc864,19,,,"[40.5, 26.2]",3930164,0,,,,,0.8550527,,Right Foot,,,"[48.5, 35.4]",Ground Pass,,12.1918,,,Stanislav Lobotka,6798.0,,,,,,1,From Kick Off,Milan Škriniar,6990.0,Left Center Back,2,Slovakia,908,['b4b95dcb-2327-4001-b059-cf10c141655b'],17,,,,,,,,,,,,,,,,Slovakia,908,00:00:17.164,Pass,,,,,,,40.5,26.2,48.5,35.4,,,,,,48.5,35.4,Belgium vs Slovakia,Belgium,Slovakia
,,,,,,,,,,,,,,,,,,,1.631094,,,,,,,,,,,,,d2a1e328-b87a-472d-90ac-23e8ced81dc0,23,,,"[32.0, 36.7]",3930164,0,,,,,2.9882984,,Right Foot,,,"[8.7, 40.3]",Ground Pass,,23.576471,,,Martin Dúbravka,3711.0,,,,,,1,From Kick Off,Stanislav Lobotka,6798.0,Center Defensive Midfield,2,Slovakia,908,['760654a7-2fb9-40bf-b854-393b12e0cdb5'],20,,,,,,,,,,,,,,,,Slovakia,908,00:00:20.414,Pass,,,,,,,32.0,36.7,8.7,40.3,,,,,,8.7,40.3,Belgium vs Slovakia,Belgium,Slovakia
,,,,,,,,,,,,,,,,,,,1.909969,,,,,,,,,,,,,56c47998-514f-40ae-bf97-6db8646a6d86,27,,,"[9.0, 39.7]",3930164,0,,,,,-1.4056476,,Right Foot,,,"[14.5, 6.7]",Ground Pass,,33.455193,,,Milan Škriniar,6990.0,,,,,,1,From Kick Off,Martin Dúbravka,3711.0,Goalkeeper,2,Slovakia,908,['6eac80bb-12c7-44a1-a096-b20a75b40b17'],23,,,,,,,,,,,,,,,,Slovakia,908,00:00:23.063,Pass,,,,,,,9.0,39.7,14.5,6.7,,,,,,14.5,6.7,Belgium vs Slovakia,Belgium,Slovakia
,,,,,,,,,,,,,,,,,,,1.285092,,,,,,,,,,,,,65687309-2ddb-47fb-b5b8-9eb012256ddf,30,,,"[13.9, 5.7]",3930164,0,,,,,-0.44310257,,Right Foot,,,"[25.7, 0.1]",Ground Pass,,13.061394,Out,,Dávid Hancko,16879.0,,,,,,1,From Kick Off,Milan Škriniar,6990.0,Left Center Back,2,Slovakia,908,['f3265a1c-c964-489b-8b09-bfe6603efcce'],25,,,,,,,,,,,,,,,,Slovakia,908,00:00:25.479,Pass,,,,,,,13.9,5.7,25.7,0.1,,,,,,25.7,0.1,Belgium vs Slovakia,Belgium,Slovakia
,,,,,,,,,,,,,,,,,,,2.226508,,,,,,,,,,,,,23d0c099-2994-49d7-bccc-5316066b5d9f,32,,,"[84.3, 80.0]",3930164,0,,,,,-2.9147937,,,,,"[60.9, 74.6]",Low Pass,,24.014996,,,Wout Faes,8854.0,,,,,Throw-in,1,From Throw In,Timothy Castagne,6989.0,Right Back,3,Belgium,782,['3c39ddfa-324c-4400-86aa-40abf1e11526'],33,,,,,,,,,,,,,,,,Belgium,782,00:00:33.043,Pass,,,,,,,84.3,80.0,60.9,74.6,,,,,,60.9,74.6,Belgium vs Slovakia,Belgium,Slovakia
,,,,,,,,,,,,,,,,,,,0.701398,,,,,,,,,,,,,88abf7bc-24db-4374-828c-cd8887688380,36,,,"[59.0, 69.2]",3930164,0,,,,,1.1246908,,Right Foot,,,"[63.4, 78.4]",Ground Pass,,10.198039,,,Timothy Castagne,6989.0,,,,,,1,From Throw In,Wout Faes,8854.0,Right Center Back,3,Belgium,782,"['71e4052a-4d7f-4ea1-b86f-7deac11c400d', '8bc885f2-eaae-4544-9411-92913af2314b']",41,,,,,,,,,,,,,,,,Belgium,782,00:00:41.127,Pass,True,,,,,,59.0,69.2,63.4,78.4,,,,,,63.4,78.4,Belgium vs Slovakia,Belgium,Slovakia
,,,,,,,,,,,,,,,,,,,2.4,,,,,,,,,,,,,ad75a168-f3a4-4342-ae18-0c712ad1eda7,39,,,"[55.2, 77.0]",3930164,0,,,,,-2.555856,,Right Foot,,,"[24.6, 56.7]",Ground Pass,,36.72125,,,Koen Casteels,8240.0,,,,,,1,From Throw In,Timothy Castagne,6989.0,Right Back,3,Belgium,782,['24519f78-5819-4bb4-b55b-43c4782e8d9c'],43,,,,,,,,,,,,,,,,Belgium,782,00:00:43.517,Pass,,,,,,,55.2,77.0,24.6,56.7,,,,,,24.6,56.7,Belgium vs Slovakia,Belgium,Slovakia
,,,,,,,,,,,,,,,,,,,1.741246,,,,,,,,,,,,,939f6e2d-b2a2-4e7a-a8ad-2d2696f2a4bf,42,,,"[24.4, 48.9]",3930164,0,,,,,-1.3684747,,Left Foot,,,"[29.2, 25.5]",Ground Pass,,23.887236,,,Zeno Debast,114832.0,,,,,,1,From Throw In,Koen Casteels,8240.0,Goalkeeper,3,Belgium,782,['53b3b476-db3f-4c3c-8d73-665e20234535'],47,,,,,,,,,,,,,,,,Belgium,782,00:00:47.131,Pass,,,,,,,24.4,48.9,29.2,25.5,,,,,,29.2,25.5,Belgium vs Slovakia,Belgium,Slovakia
,,,,,,,,,,,,,,,,,,,1.475802,,,,,,,,,,,,,1e47f805-3e67-4c91-abd3-6261ae384964,45,,,"[28.2, 23.2]",3930164,0,,,,,-0.99516934,,Right Foot,,,"[40.4, 4.4]",Ground Pass,,22.411604,,,Yannick Ferreira Carrasco,5633.0,,,,,,1,From Throw In,Zeno Debast,114832.0,Left Center Back,3,Belgium,782,['d374d8c2-6af9-435b-9c54-4bc2b7a3f4ce'],49,,,,,,,,,,,,,,,,Belgium,782,00:00:49.673,Pass,,,,,,,28.2,23.2,40.4,4.4,,,,,,40.4,4.4,Belgium vs Slovakia,Belgium,Slovakia
