50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,team,team_id,timestamp,type,under_pressure,tactics.formation,tactics.lineup,tactics,50_50.outcome.id,50_50.outcome.name,x,y,pass_end_x,pass_end_y,carry_end_x,carry_end_y,shot_end_x,shot_end_y,shot_end_z,end_x,end_y,match_name,home_team,away_team
,,,,,"[77.3, 24.5]",,,,,,,,,,,,1.486248,,,,,,,,,,,,,c60d2ac6-b443-4669-8c72-068becbc6143,351,,,"[70.6, 29.7]",3930162,6,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Petar Stojanović,16528.0,Right Midfield,10,Slovenia,944,"['2cbbf663-9091-4081-88e6-e0b9cb87c3cf', '321e4955-9455-4514-abf2-87bd9ac37346']",47,,,,,,,,,,,,,,,,,Slovenia,944,00:06:47.688,Carry,,,,,,,70.6,29.7,,,77.3,24.5,,,,77.3,24.5,Slovenia vs Denmark,Slovenia,Denmark
,,,,,"[83.9, 53.9]",,,,,,,,,,,,0.090500005,,,,,,,,,,,,,c8a37706-9d39-407e-88a8-a38213aa06e0,357,,,"[82.9, 53.9]",3930162,6,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Žan Karničnik,137487.0,Right Back,10,Slovenia,944,"['e3235009-17bd-4cac-91d7-3b776b17050c', 'f92f6123-f7bf-44b5-b710-c3aa3793a6a1']",53,,,,,,,,,,,,,,,,,Slovenia,944,00:06:53.027,Carry,,,,,,,82.9,53.9,,,83.9,53.9,,,,83.9,53.9,Slovenia vs Denmark,Slovenia,Denmark
,,,,,"[90.4, 46.1]",,,,,,,,,,,,0.054046,,,,,,,,,,,,,56688c02-c698-47b5-a3c3-c4a9bb3db940,360,,,"[90.9, 45.5]",3930162,6,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Andraž Šporar,31866.0,Right Center Forward,10,Slovenia,944,"['46715b8e-72fa-4037-844f-0be214c16792', '5a8bae08-3448-4bf8-815b-e22f00a913fc']",54,,,,,,,,,,,,,,,,,Slovenia,944,00:06:54.153,Carry,,,,,,,90.9,45.5,,,90.4,46.1,,,,90.4,46.1,Slovenia vs Denmark,Slovenia,Denmark
,,,,,"[97.6, 63.6]",,,,,,,,,,,,3.694175,,,,,,,,,,,,,56435613-55af-418f-aebf-f6e9a32a2d8b,363,,,"[83.6, 55.2]",3930162,6,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Adam Gnezda Čerin,31968.0,Right Defensive Midfield,10,Slovenia,944,"['12c6a685-08f7-415b-bcb7-6695867b2de4', '9d8596a9-9089-40a2-afc3-46baed93b096']",55,,,,,,,,,,,,,,,,,Slovenia,944,00:06:55.325,Carry,,,,,,,83.6,55.2,,,97.6,63.6,,,,97.6,63.6,Slovenia vs Denmark,Slovenia,Denmark
,,,,,"[86.8, 66.3]",,,,,,,,,,,,0.425684,,,,,,,,,,,,,1f64053d-1555-44d3-a062-e3b2180d0cac,368,,,"[86.8, 66.4]",3930162,7,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Petar Stojanović,16528.0,Right Midfield,10,Slovenia,944,"['87c8425b-f291-49a1-a721-42fe15e6e852', '8e21190d-6f2b-4c94-8dba-ccfcd36a16a2']",1,,,,,,,,,,,,,,,,,Slovenia,944,00:07:01.586,Carry,,,,,,,86.8,66.4,,,86.8,66.3,,,,86.8,66.3,Slovenia vs Denmark,Slovenia,Denmark
,,,,,"[91.0, 70.7]",,,,,,,,,,,,0.713476,,,,,,,,,,,,,7cb7cab5-4d70-4e47-8181-f61a5093bc09,371,,,"[91.4, 69.7]",3930162,7,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Adam Gnezda Čerin,31968.0,Right Defensive Midfield,10,Slovenia,944,"['6eeb0598-8b52-41c6-9b9d-5a0e13b5e601', '969b050c-b2f4-4d93-9c9e-591fca11eb5d']",3,,,,,,,,,,,,,,,,,Slovenia,944,00:07:03.405,Carry,,,,,,,91.4,69.7,,,91.0,70.7,,,,91.0,70.7,Slovenia vs Denmark,Slovenia,Denmark
,,,,,"[77.5, 55.5]",,,,,,,,,,,,1.083459,,,,,,,,,,,,,bc5e6c28-fd73-4986-b394-1c97f8542a8a,374,,,"[77.5, 57.5]",3930162,7,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Timi Elšnik,15896.0,Left Defensive Midfield,10,Slovenia,944,"['35547095-c272-4520-b547-08cda47b8dd5', 'c337ff70-b4b5-4748-80b8-568d79c7a651']",5,,,,,,,,,,,,,,,,,Slovenia,944,00:07:05.211,Carry,,,,,,,77.5,57.5,,,77.5,55.5,,,,77.5,55.5,Slovenia vs Denmark,Slovenia,Denmark
,,,,,"[64.9, 35.0]",,,,,,,,,,,,0.128123,,,,,,,,,,,,,6383e564-80ab-4bba-b700-4b4090c5d1bc,377,,,"[64.9, 35.4]",3930162,7,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Jaka Bijol,16047.0,Left Center Back,10,Slovenia,944,"['1127f845-f713-431e-9204-be0bd9a21636', '941584d0-1263-4a00-bc4b-f8579bd2ca36']",7,,,,,,,,,,,,,,,,,Slovenia,944,00:07:07.967,Carry,,,,,,,64.9,35.4,,,64.9,35.0,,,,64.9,35.0,Slovenia vs Denmark,Slovenia,Denmark
,,,,,"[84.1, 11.1]",,,,,,,,,,,,2.00293,,,,,,,,,,,,,93d164f4-bc50-4883-9e1f-8f7dea6c3ca7,380,,,"[75.1, 14.1]",3930162,7,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Erik Janža,28211.0,Left Back,10,Slovenia,944,"['48cca16e-39e3-41b3-a6e9-64faa0ecbd52', '4d03344f-f905-4cce-a063-051d14ee9570']",9,,,,,,,,,,,,,,,,,Slovenia,944,00:07:09.259,Carry,,,,,,,75.1,14.1,,,84.1,11.1,,,,84.1,11.1,Slovenia vs Denmark,Slovenia,Denmark
,,,,,"[37.9, 22.8]",,,,,,,,,,,,1.143969,,,,,,,,,,,,,aaa91c86-8cf6-4e2e-a937-ef8e474b8609,387,,,"[37.3, 22.8]",3930162,7,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Goal Kick,Timi Elšnik,15896.0,Left Defensive Midfield,11,Denmark,776,"['0f92de2b-e649-4e4f-a6e8-b24bd0a8b239', '67a1bd9e-5796-402f-8f77-faacd6cee2ef', 'f12a3b0b-b671-4be0-b700-acc9d42ad184']",43,,,,,,,,,,,,,,,,,Slovenia,944,00:07:43.148,Carry,True,,,,,,37.3,22.8,,,37.9,22.8,,,,37.9,22.8,Slovenia vs Denmark,Slovenia,Denmark
