50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,team,team_id,timestamp,type,under_pressure,tactics.formation,tactics.lineup,tactics,50_50.outcome.id,50_50.outcome.name,x,y,pass_end_x,pass_end_y,carry_end_x,carry_end_y,shot_end_x,shot_end_y,shot_end_z,end_x,end_y,match_name,home_team,away_team
,,,,,,,,,,,,,,,,,,1.46437,,,,,,,,,,,,,da5116cc-c784-49da-8589-c90564328685,23,,,"[49.3, 52.2]",3930177,0,,,,,-2.1910458,,Right Foot,,,,"[40.8, 40.3]",,Ground Pass,,14.623953,,,,Grant Campbell Hanley,9481.0,,,,,,,1,From Free Kick,Billy Gilmour,31067.0,Right Defensive Midfield,4,Scotland,942,"['2c46ef64-8490-49dc-a918-41fe17cb7d10', 'dff9170c-88b8-4ee7-bc36-92d69c326450']",27,,,,,,,,,,,,,,,,,Scotland,942,00:00:27.368,Pass,True,,,,,,49.3,52.2,40.8,40.3,,,,,,40.8,40.3,Scotland vs Hungary,Scotland,Hungary
,,,,,,,,,,,,,,,,,,1.863725,,,,,,,,,,,,,52de5a15-2fd3-4f28-bd48-eef52a97642e,26,,,"[40.8, 40.3]",3930177,0,,,,,-1.5478646,,Right Foot,,,,"[41.3, 18.5]",,Ground Pass,,21.805733,,,,Scott McKenna,10002.0,,,,,,,1,From Free Kick,Grant Campbell Hanley,9481.0,Center Back,4,Scotland,942,['b3f148b4-fddd-4ba3-863a-24b1177b388a'],30,,,,,,,,,,,,,,,,,Scotland,942,00:00:30.691,Pass,,,,,,,40.8,40.3,41.3,18.5,,,,,,41.3,18.5,Scotland vs Hungary,Scotland,Hungary
,,,,,,,,,,,,,,,,,,1.23176,,,,,,,,,,,,,1a9a7f59-ea1a-4395-aa36-75eb4ff6a9ae,29,,,"[42.2, 21.1]",3930177,0,,,,,2.0152156,,Left Foot,,,,"[34.2, 37.9]",,Ground Pass,,18.607525,,,,Grant Campbell Hanley,9481.0,,,,,,,1,From Free Kick,Scott McKenna,10002.0,Left Center Back,4,Scotland,942,['b69f5352-7987-45ec-8d10-a7f1733e01c5'],33,,,,,,,,,,,,,,,,,Scotland,942,00:00:33.285,Pass,,,,,,,42.2,21.1,34.2,37.9,,,,,,34.2,37.9,Scotland vs Hungary,Scotland,Hungary
,,,,,,,,,,,,,,,,,,1.469495,,,,,,,,,,,,,07102c22-3a8e-4d3f-a590-5430093520d7,32,,,"[41.6, 39.7]",3930177,0,,,,,1.827164,,Right Foot,,,,"[36.2, 60.3]",,Ground Pass,,21.29601,,,,Jack Hendry,11116.0,,,,,,,1,From Free Kick,Grant Campbell Hanley,9481.0,Center Back,4,Scotland,942,['2dafa198-ae23-4aa5-add8-c9bfbb58c1fc'],40,,,,,,,,,,,,,,,,,Scotland,942,00:00:40.660,Pass,,,,,,,41.6,39.7,36.2,60.3,,,,,,36.2,60.3,Scotland vs Hungary,Scotland,Hungary
,,,,,,,,,,,,,,,,,,1.498693,,,,,,,,,,,,,9fc927af-66b6-49ec-89c6-c4e0000e9de2,35,,,"[37.0, 61.8]",3930177,0,,,,,-1.9411198,,Right Foot,,,,"[30.4, 44.8]",,Ground Pass,,18.236227,,,,Grant Campbell Hanley,9481.0,,,,,,,1,From Free Kick,Jack Hendry,11116.0,Right Center Back,4,Scotland,942,['7a62d793-7e0a-4ee6-95b2-0c45d792149b'],42,,,,,,,,,,,,,,,,,Scotland,942,00:00:42.587,Pass,,,,,,,37.0,61.8,30.4,44.8,,,,,,30.4,44.8,Scotland vs Hungary,Scotland,Hungary
,,,,,,,,,,,,,,,,,,1.838503,,,,,,,,,,,,,3a5e152d-9e14-4d2f-b557-d3a30a570151,38,,,"[31.0, 43.3]",3930177,0,,,,,-1.4087678,,Right Foot,,,,"[34.4, 22.5]",,Ground Pass,,21.076054,,,,Scott McKenna,10002.0,,,,,,,1,From Free Kick,Grant Campbell Hanley,9481.0,Center Back,4,Scotland,942,['940900d3-d7c3-4933-9bf8-56a08b105596'],45,,,,,,,,,,,,,,,,,Scotland,942,00:00:45.768,Pass,,,,,,,31.0,43.3,34.4,22.5,,,,,,34.4,22.5,Scotland vs Hungary,Scotland,Hungary
,,,,,,,,,,,,,,,,,,0.878161,,,,,,,,,,,,,c5640ca8-3f4b-40f4-a06f-bfa190ee548a,41,,,"[33.0, 21.1]",3930177,0,,,,,-1.4251679,,Left Foot,,,,"[35.2, 6.1]",,Ground Pass,,15.160475,,,,Andrew Robertson,3655.0,,,,,,,1,From Free Kick,Scott McKenna,10002.0,Left Center Back,4,Scotland,942,['5fe7d3f6-3d77-4974-94c3-675632a8a28a'],48,,,,,,,,,,,,,,,,,Scotland,942,00:00:48.240,Pass,,,,,,,33.0,21.1,35.2,6.1,,,,,,35.2,6.1,Scotland vs Hungary,Scotland,Hungary
,,,,,,,,,,,,,,,,,,1.55526,,,,,,,,,,,,,7f11cef0-4646-4ccc-ae70-f39871d6027d,45,,,"[34.5, 11.0]",3930177,0,,,,,1.9706274,,Left Foot,,,,"[24.4, 34.9]",,Ground Pass,,25.946484,,,,Grant Campbell Hanley,9481.0,,,,,,,1,From Free Kick,Andrew Robertson,3655.0,Left Wing Back,4,Scotland,942,"['e27375be-74b0-4fbd-bc86-e72357ad59d3', 'ea22d07e-c141-4074-8bfd-e14e8e1ddd0a']",49,,,,,,,,,,,,,,,,,Scotland,942,00:00:49.921,Pass,True,,,,,,34.5,11.0,24.4,34.9,,,,,,24.4,34.9,Scotland vs Hungary,Scotland,Hungary
,,,,,,,,,,,,,,,,,,1.519403,,,,,,,,,,,,,0d90f1d7-c809-4573-8e33-16d0a27c0fe1,49,,,"[24.8, 38.7]",3930177,0,,,,,1.5116549,,Right Foot,,,,"[26.6, 69.1]",,Ground Pass,,30.453243,,,,Jack Hendry,11116.0,,,,,,,1,From Free Kick,Grant Campbell Hanley,9481.0,Center Back,4,Scotland,942,"['7441d282-a3a6-4615-b55d-74dabe8e8d30', 'ca50debc-906c-40a2-82ca-1238cf0c26a0']",52,,,,,,,,,,,,,,,,,Scotland,942,00:00:52.379,Pass,True,,,,,,24.8,38.7,26.6,69.1,,,,,,26.6,69.1,Scotland vs Hungary,Scotland,Hungary
,,,,,,,,,,,,,,,,,,3.692815,,,,,,,,,,,,,68b1d407-f0cd-495c-8368-316eb6b42334,53,,,"[27.6, 71.2]",3930177,0,,,,,-0.21321985,,Right Foot,,,,"[91.8, 57.3]",,High Pass,,65.687515,,Incomplete,,Che Adams,9466.0,,,,,,,1,From Free Kick,Jack Hendry,11116.0,Right Center Back,4,Scotland,942,"['45631b52-ed55-4731-9ce1-df80f1f09682', 'ad125e05-edb9-42bc-9a81-6d90e512c897', 'cb5f0f2f-79fa-41d9-870e-be067f171727']",55,,,,,,,,,,,,,,,,,Scotland,942,00:00:55.170,Pass,True,,,,,,27.6,71.2,91.8,57.3,,,,,,91.8,57.3,Scotland vs Hungary,Scotland,Hungary
