50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,team,team_id,timestamp,type,under_pressure,tactics.formation,tactics.lineup,tactics,50_50.outcome.id,50_50.outcome.name,x,y,pass_end_x,pass_end_y,carry_end_x,carry_end_y,shot_end_x,shot_end_y,shot_end_z,end_x,end_y,match_name,home_team,away_team
,,,,,"[56.9, 8.1]",,,,,,,,,,,,,0.738119,,,,,,,,,,,,,cd33b58f-a8e7-411d-9a63-9b16b3887e22,2948,,"[56.9, 8.1]",3930159,82,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Ricardo Iván Rodríguez Araya,5544.0,Left Center Back,133,Switzerland,773,"['053bbe0d-2654-4a5a-b8b1-302627a4c37c', '7e31b779-cc9d-4530-aa69-e16b7cb259d1']",10,,,,,,,,,,,,,,,,,Switzerland,773,00:37:10.458,Carry,,,,,,,56.9,8.1,,,56.9,8.1,,,,56.9,8.1,Hungary vs Switzerland,Hungary,Switzerland
,,,,,"[62.4, 26.5]",,,,,,,,,,,,,0.545868,,,,,,,,,,,,,e3760cfd-2cdc-4cb2-aa68-1476ec10ebfb,2951,,"[62.4, 26.5]",3930159,82,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Remo Freuler,6983.0,Right Defensive Midfield,133,Switzerland,773,"['682f4157-f43b-44e4-a66c-10e2417e99c5', '6a09ba67-8f3e-405e-99df-19e0ccca8edf']",12,,,,,,,,,,,,,,,,,Switzerland,773,00:37:12.709,Carry,,,,,,,62.4,26.5,,,62.4,26.5,,,,62.4,26.5,Hungary vs Switzerland,Hungary,Switzerland
,,,,,"[48.5, 30.6]",,,,,,,,,,,,,1.932048,,,,,,,,,,,,,5c484196-9009-41ae-b7a6-e97ff025dfd4,2954,,"[48.3, 30.6]",3930159,82,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Manuel Obafemi Akanji,5549.0,Center Back,133,Switzerland,773,"['c5cbab98-640c-4532-8f53-5b4a1a182ff0', 'ff775c63-aa5b-4184-9748-c371b94395f7']",14,,,,,,,,,,,,,,,,,Switzerland,773,00:37:14.412,Carry,,,,,,,48.3,30.6,,,48.5,30.6,,,,48.5,30.6,Hungary vs Switzerland,Hungary,Switzerland
,,,,,"[62.2, 17.4]",,,,,,,,,,,,,1.889504,,,,,,,,,,,,,fafee90a-40fb-4760-8844-856a35d63a39,2957,,"[56.4, 15.7]",3930159,82,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Ricardo Iván Rodríguez Araya,5544.0,Left Center Back,133,Switzerland,773,"['009d4bd3-fb61-4a21-ae76-9beb056cabfd', '53c8ec19-7c1b-40f0-8cd9-2ea8cc5a2c19']",17,,,,,,,,,,,,,,,,,Switzerland,773,00:37:17.639,Carry,,,,,,,56.4,15.7,,,62.2,17.4,,,,62.2,17.4,Hungary vs Switzerland,Hungary,Switzerland
,,,,,"[105.0, 49.0]",,,,,,,,,,,,,0.985202,,,,,,,,,,,,,9ee2b488-117f-4720-acd1-7bf0229c5a23,2960,,"[98.6, 46.9]",3930159,82,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Dan Ndoye,45190.0,Right Attacking Midfield,133,Switzerland,773,"['293688f8-b115-42b2-9efd-aaa449708f70', '793f2a3a-2f81-4dc1-8706-1f96d63fd419', '98ca1bb0-a41e-4dea-a1ca-26023724c6a2']",21,,,,,,,,,,,,,,,,,Switzerland,773,00:37:21.950,Carry,True,,,,,,98.6,46.9,,,105.0,49.0,,,,105.0,49.0,Hungary vs Switzerland,Hungary,Switzerland
,,,,,"[6.2, 14.7]",,,,,,,,,,,,,2.03754,,,,,,,,,,,,,577d184a-9bff-4c1e-856a-f6c926d424ff,2966,,"[5.8, 25.9]",3930159,82,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,András Schäfer,42822.0,Left Defensive Midfield,134,Hungary,916,"['2c505682-8471-42c2-8312-c40522252ef9', 'fbb4d854-a963-4bae-bb90-2e7f1420853b']",50,,,,,,,,,,,,,,,,,Hungary,916,00:37:50.977,Carry,,,,,,,5.8,25.9,,,6.2,14.7,,,,6.2,14.7,Hungary vs Switzerland,Hungary,Switzerland
,,,,,"[55.7, 3.1]",,,,,,,,,,,,,0.767224,,,,,,,,,,,,,3d6a73cf-4ab8-4c0e-b016-666ceb6930b8,2970,,"[56.1, 5.3]",3930159,82,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,Barnabás Varga,12921.0,Center Forward,134,Hungary,916,"['1e95aacf-8494-4ea9-a846-a864d36eb9f2', '3c3fdc7c-bce0-4c00-a19b-7873363b8349', '7006d959-8dae-42a5-bb0d-f24d4de15743']",56,,,,,,,,,,,,,,,,,Hungary,916,00:37:56.783,Carry,True,,,,,,56.1,5.3,,,55.7,3.1,,,,55.7,3.1,Hungary vs Switzerland,Hungary,Switzerland
,,,,,"[86.5, 39.3]",,,,,,,,,,,,,5.990764,,,,,,,,,,,,,25c80b4a-846b-4af5-84db-3b9449400718,2974,,"[57.4, 11.0]",3930159,82,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,Roland Sallai,19316.0,Left Wing Back,134,Hungary,916,"['3655244a-962a-453d-a5e1-97af03263d9f', '3a4d687b-49fd-4180-a614-ee86c566646e', '97d8c5ee-2b44-4cde-bef3-93bb05ab1086']",58,,,,,,,,,,,,,,,,,Hungary,916,00:37:58.966,Carry,True,,,,,,57.4,11.0,,,86.5,39.3,,,,86.5,39.3,Hungary vs Switzerland,Hungary,Switzerland
,,,,,"[106.3, 65.4]",,,,,,,,,,,,,0.843143,,,,,,,,,,,,,7d42c38e-e8ba-4730-a8dd-58f3799616ad,2978,,"[103.0, 66.2]",3930159,83,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,Bendegúz Bolla,46789.0,Right Wing Back,134,Hungary,916,"['7cf6bf98-ea6d-476a-8aa5-59154f97d6f3', 'ea87726e-fdcf-4b91-953a-54c3a8796094']",6,,,,,,,,,,,,,,,,,Hungary,916,00:38:06.864,Carry,,,,,,,103.0,66.2,,,106.3,65.4,,,,106.3,65.4,Hungary vs Switzerland,Hungary,Switzerland
,,,,,"[90.2, 75.5]",,,,,,,,,,,,,0.168112,,,,,,,,,,,,,5481b90d-ccad-4d2c-a4b3-8655ca8b08d0,2983,,"[91.6, 76.4]",3930159,83,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,Bendegúz Bolla,46789.0,Right Wing Back,134,Hungary,916,"['32d390e8-bec3-48ae-995f-41e6f91590ea', 'ce7b36b3-85b9-4a78-981f-7a28b40ef527', 'd8ad826e-014e-445d-b28a-1ef7ea0fce52']",12,,,,,,,,,,,,,,,,,Hungary,916,00:38:12.350,Carry,True,,,,,,91.6,76.4,,,90.2,75.5,,,,90.2,75.5,Hungary vs Switzerland,Hungary,Switzerland
,,,,,"[83.7, 75.8]",,,,,,,,,,,,,2.016633,,,,,,,,,,,,,e0a4fb39-6ad8-4043-90d7-ababc57383d2,2988,,"[80.8, 69.1]",3930159,83,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,András Schäfer,42822.0,Left Defensive Midfield,135,Hungary,916,"['1ba66763-c4ff-45b0-bbf6-e8c7493e3c66', '390e182d-1946-4867-9a37-3027b070b304']",22,,,,,,,,,,,,,,,,,Hungary,916,00:38:22.148,Carry,,,,,,,80.8,69.1,,,83.7,75.8,,,,83.7,75.8,Hungary vs Switzerland,Hungary,Switzerland
,,,,,"[74.3, 77.5]",,,,,,,,,,,,,1.073477,,,,,,,,,,,,,f465ab89-4638-495f-b5aa-72fd6096486c,2991,,"[77.5, 77.3]",3930159,83,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Attila Fiola,11268.0,Right Center Back,135,Hungary,916,"['4ed887b7-240d-48b8-84ed-3bc3af53b2a9', 'a1d464bf-24c8-44df-b7b2-d665865f25e5']",25,,,,,,,,,,,,,,,,,Hungary,916,00:38:25.142,Carry,,,,,,,77.5,77.3,,,74.3,77.5,,,,74.3,77.5,Hungary vs Switzerland,Hungary,Switzerland
,,,,,"[78.9, 69.3]",,,,,,,,,,,,,0.602489,,,,,,,,,,,,,589395ce-6308-49d9-b790-74a3d79ceb49,2994,,"[78.9, 69.3]",3930159,83,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,László Kleinheisler,16502.0,Right Defensive Midfield,135,Hungary,916,"['167f887e-2deb-4f0e-b33a-5126006b160b', 'ca5297c6-d7d2-4bcc-92c4-1d6878e26522']",27,,,,,,,,,,,,,,,,,Hungary,916,00:38:27.116,Carry,,,,,,,78.9,69.3,,,78.9,69.3,,,,78.9,69.3,Hungary vs Switzerland,Hungary,Switzerland
,,,,,"[52.8, 66.5]",,,,,,,,,,,,,0.704373,,,,,,,,,,,,,9c3751b4-12eb-41a3-ac54-8c0b243cdb7a,2997,,"[52.8, 66.5]",3930159,83,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Willi Orban,8509.0,Center Back,135,Hungary,916,"['47d5d021-8183-48ea-9a01-d7fd5d69240b', '6339ad76-4015-4995-80d5-374f1443ecf1']",29,,,,,,,,,,,,,,,,,Hungary,916,00:38:29.405,Carry,,,,,,,52.8,66.5,,,52.8,66.5,,,,52.8,66.5,Hungary vs Switzerland,Hungary,Switzerland
,,,,,"[63.2, 20.2]",,,,,,,,,,,,,7.30959,,,,,,,,,,,,,4ef8973d-606b-4c4e-bf39-2a6485ba6194,3000,,"[52.8, 41.6]",3930159,83,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Márton Dárdai,40920.0,Left Center Back,135,Hungary,916,"['394de108-fd00-4a54-98fd-c96c132a36a3', 'd5dba01a-5228-4ed1-bf82-799e804d3bdd']",31,,,,,,,,,,,,,,,,,Hungary,916,00:38:31.910,Carry,,,,,,,52.8,41.6,,,63.2,20.2,,,,63.2,20.2,Hungary vs Switzerland,Hungary,Switzerland
,,,,,"[63.5, 6.2]",,,,,,,,,,,,,0.915837,,,,,,,,,,,,,8343489d-a795-4d84-ac05-3a3cb36f8479,3003,,"[66.7, 5.5]",3930159,83,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Roland Sallai,19316.0,Left Wing Back,135,Hungary,916,"['00d1d929-3e82-4ade-b6e2-4f6d3dce2db2', 'a6580796-df6c-4d49-a091-055c4c1c90b9', 'bb1ae868-b7c9-4a05-9d25-934dfab30861']",40,,,,,,,,,,,,,,,,,Hungary,916,00:38:40.751,Carry,True,,,,,,66.7,5.5,,,63.5,6.2,,,,63.5,6.2,Hungary vs Switzerland,Hungary,Switzerland
,,,,,"[48.6, 16.1]",,,,,,,,,,,,,0.93661803,,,,,,,,,,,,,cde940ad-9c20-4f0b-a094-e330dc236dd5,3007,,"[50.2, 14.1]",3930159,83,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Márton Dárdai,40920.0,Left Center Back,135,Hungary,916,"['0fa1fc6a-1b5c-4a77-83b7-998db643ac21', '6fe2a2fc-83a9-4bfc-b417-84a8b393a462']",43,,,,,,,,,,,,,,,,,Hungary,916,00:38:43.127,Carry,,,,,,,50.2,14.1,,,48.6,16.1,,,,48.6,16.1,Hungary vs Switzerland,Hungary,Switzerland
