50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,team,team_id,timestamp,type,under_pressure,tactics.formation,tactics.lineup,tactics,50_50.outcome.id,50_50.outcome.name,x,y,pass_end_x,pass_end_y,carry_end_x,carry_end_y,shot_end_x,shot_end_y,shot_end_z,end_x,end_y,match_name,home_team,away_team
,,,,,,,,,,,,,,,2.018392,,,,,,,,,,,,,,,05eb24f0-0998-4e74-bd5c-fac0c42b6354,19,,,"[47.4, 46.0]",3938643,0,,,,-3.1258872,,Left Foot,,,"[28.3, 45.7]",Ground Pass,,19.102356,,,,Paweł Dawidowicz,30739.0,,,,,,1,From Kick Off,Jakub Moder,29480.0,Center Defensive Midfield,2,Poland,789,"['69976dbe-6da2-45e5-992a-b4e77168b9b3', '81d61fc0-b990-4515-9f24-71ca19e81233']",8,,,,,,,,,,,,,,,,,Poland,789,00:00:08.600,Pass,True,,,,,,47.4,46.0,28.3,45.7,,,,,,28.3,45.7,France vs Poland,France,Poland
,,,,,,,,,,,,,,,1.108485,,,,,,,,,,,,,,,47d890f3-0abb-4d9b-b0eb-d65dd6ebc03f,22,,,"[28.3, 36.4]",3938643,0,,,,-2.0718098,,Right Foot,,,"[21.4, 23.8]",Ground Pass,,14.365583,,,,Jakub Piotr Kiwior,44166.0,,,,,,1,From Kick Off,Paweł Dawidowicz,30739.0,Center Back,2,Poland,789,['e17440a7-ed31-453f-9379-76a43447ef7b'],11,,,,,,,,,,,,,,,,,Poland,789,00:00:11.812,Pass,,,,,,,28.3,36.4,21.4,23.8,,,,,,21.4,23.8,France vs Poland,France,Poland
,,,,,,,,,,,,,,,1.336866,,,,,,,,,,,,,,,03b3f66b-b751-48f8-ac95-0a05c30b809d,25,,,"[21.6, 19.8]",3938643,0,,,,-0.6568238,,Left Foot,,,"[43.0, 3.3]",Ground Pass,,27.022398,,,,Nicola Zalewski,50502.0,,,,,,1,From Kick Off,Jakub Piotr Kiwior,44166.0,Left Center Back,2,Poland,789,['a1f3014a-7d06-48a0-9589-17800b900cc8'],14,,,,,,,,,,,,,,,,,Poland,789,00:00:14.044,Pass,,,,,,,21.6,19.8,43.0,3.3,,,,,,43.0,3.3,France vs Poland,France,Poland
,,,,,,,,,,,,,,,0.869474,,,,,,,,,,,,,,,6f685fda-43b2-4c53-9a74-edef824d06db,28,,,"[35.8, 13.9]",3938643,0,,,,2.0812848,,Right Foot,,,"[30.2, 23.9]",Ground Pass,,11.461239,,,,Jakub Moder,29480.0,,,,,,1,From Kick Off,Nicola Zalewski,50502.0,Left Wing Back,2,Poland,789,['e7f88ee0-f4c9-48fb-ba95-dfe63a246c69'],16,,,,,,,,,,,,,,,,,Poland,789,00:00:16.897,Pass,,,,,,,35.8,13.9,30.2,23.9,,,,,,30.2,23.9,France vs Poland,France,Poland
,,,,,,,,,,,,,,,1.253257,,,,,,,,,,,,,,,134c6036-4572-4029-92bb-d963797c3c66,31,,,"[37.6, 32.7]",3938643,0,,,,-1.7975951,,Right Foot,,,"[34.9, 21.0]",Ground Pass,,12.007498,,,,Jakub Piotr Kiwior,44166.0,,,,,,1,From Kick Off,Jakub Moder,29480.0,Center Defensive Midfield,2,Poland,789,['e443257e-7bc9-478f-aab6-62525915f137'],22,,,,,,,,,,,,,,,,,Poland,789,00:00:22.781,Pass,,,,,,,37.6,32.7,34.9,21.0,,,,,,34.9,21.0,France vs Poland,France,Poland
,,,,,,,,,,,,,,,1.283765,,,,,,,,,,,,,,,7caa7c15-9033-42d9-9662-e0747d145074,34,,,"[34.5, 11.9]",3938643,0,,,,-0.7424139,,Left Foot,,,"[44.2, 3.0]",Ground Pass,,13.164346,,,,Nicola Zalewski,50502.0,,,,,,1,From Kick Off,Jakub Piotr Kiwior,44166.0,Left Center Back,2,Poland,789,['7e5588d8-c429-4d17-854a-a30a80d6fc50'],25,,,,,,,,,,,,,,,,,Poland,789,00:00:25.200,Pass,,,,,,,34.5,11.9,44.2,3.0,,,,,,44.2,3.0,France vs Poland,France,Poland
,,,,,,,,,,,,,,,0.693461,,,,,,,,,,,,,,,50186620-4f3f-45df-94fd-05397ad0fb6e,38,,,"[41.6, 38.5]",3938643,0,,,,0.42285392,,Right Foot,,,"[59.6, 46.6]",Ground Pass,,19.73854,,,,Robert Lewandowski,5668.0,,,,,,1,From Kick Off,Nicola Zalewski,50502.0,Left Wing Back,2,Poland,789,['aabbb1ad-0f3f-44f0-8878-d2fba7258086'],32,,,,,,,,,,,,,,,,,Poland,789,00:00:32.131,Pass,,,,,,,41.6,38.5,59.6,46.6,,,,,,59.6,46.6,France vs Poland,France,Poland
,,,,,,,,,,,,,,,4.147624,,,,,,,,,,,,,,,0274b5f5-7ada-4da4-ae7b-21ecd46ca8da,41,,,"[64.2, 46.6]",3938643,0,,,,0.25130153,,Right Foot,,,"[112.5, 59.0]",High Pass,,49.86632,,Incomplete,,Kacper Urbanski,33680.0,,,,,,1,From Kick Off,Robert Lewandowski,5668.0,Left Center Forward,2,Poland,789,"['749c7911-1cef-4807-ad09-b813f578e178', 'a790cdda-c100-4a01-9069-4eed4887623d']",34,,,,,,,,,,,,,,,,,Poland,789,00:00:34.162,Pass,,,,,,,64.2,46.6,112.5,59.0,,,,,,112.5,59.0,France vs Poland,France,Poland
,,,,,,,,,,,,,,,6.217436,,,,,,,,,,,,,,,0884aa76-0078-44d9-a218-58d7b0cb6846,46,,,"[17.2, 39.9]",3938643,0,,,,-0.32421622,,Right Foot,,,"[102.3, 11.3]",High Pass,,89.777336,,Incomplete,,Bradley Barcola,39420.0,,,,,,1,From Kick Off,Mike Maignan,3761.0,Goalkeeper,2,Poland,789,"['8cf09458-eb50-40e8-8982-8ebdae7fb328', 'd7328bb9-e7ac-4273-8071-3ed371234122', 'df388219-7d69-43b2-8586-519fdf3b407d']",56,,,,,,,,,,,,,,,,,France,771,00:00:56.874,Pass,True,,,,,,17.2,39.9,102.3,11.3,,,,,,102.3,11.3,France vs Poland,France,Poland
,,,,,,,,,,,,,,,2.808174,,,,,,,,,,,,,,,df388219-7d69-43b2-8586-519fdf3b407d,49,,,"[17.8, 68.8]",3938643,1,,,,-2.0751739,,Left Foot,,,"[4.0, 43.8]",Ground Pass,,28.55591,,,,Łukasz Skorupski,11508.0,,,,,Recovery,1,From Kick Off,Jan Bednarek,4626.0,Right Center Back,2,Poland,789,"['0884aa76-0078-44d9-a218-58d7b0cb6846', 'dff51095-cd9b-4b53-ba20-a5941a063835']",3,,,,,,,,,,,,,,,,,Poland,789,00:01:03.092,Pass,,,,,,,17.8,68.8,4.0,43.8,,,,,,4.0,43.8,France vs Poland,France,Poland
,,,,,,,,,,,,,,,1.103388,,,,,,,,,,,,,,,f645cdc0-db92-4955-aa80-e725f9e05b9a,52,,,"[4.0, 43.8]",3938643,1,,,,-0.22810262,,Right Foot,,,"[20.8, 39.9]",Ground Pass,,17.246738,,,,Jakub Moder,29480.0,,,,,,1,From Kick Off,Łukasz Skorupski,11508.0,Goalkeeper,2,Poland,789,['90d94833-cee5-436e-80bd-a868dfd9903b'],7,,,,,,,,,,,,,,,,,Poland,789,00:01:07.342,Pass,,,,,,,4.0,43.8,20.8,39.9,,,,,,20.8,39.9,France vs Poland,France,Poland
