50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,team,team_id,timestamp,type,under_pressure,tactics.formation,tactics.lineup,tactics,50_50.outcome.id,50_50.outcome.name,x,y,pass_end_x,pass_end_y,carry_end_x,carry_end_y,shot_end_x,shot_end_y,shot_end_z,end_x,end_y,match_name,home_team,away_team
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,704ec5b0-9b02-4a3c-995b-defe687637ab,1,,,3941018,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Spain,772,,0,,,,,,,,,,,,,,,,,Spain,772,00:00:00.000,Starting XI,,433.0,"[{'player': {'id': 11748, 'name': 'Unai Simón Mendibil'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 23}, {'player': {'id': 5721, 'name': 'Daniel Carvajal Ramos'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 22128, 'name': 'Robin Aime Robert Le Normand'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 4353, 'name': 'Aymeric Laporte'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 14}, {'player': {'id': 17620, 'name': 'Marc Cucurella Saseta'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 24}, {'player': {'id': 6765, 'name': 'Rodrigo Hernández Cascante'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 30486, 'name': 'Pedro González López'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 20}, {'player': {'id': 6655, 'name': 'Fabián Ruiz Peña'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 316046, 'name': 'Lamine Yamal Nasraoui Ebana'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 19}, {'player': {'id': 68574, 'name': 'Nicholas Williams Arthuer'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 17}, {'player': {'id': 3477, 'name': 'Álvaro Borja Morata Martín'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 7}]",,,,,,,,,,,,,,,Spain vs Georgia,Spain,Georgia
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,f06039af-6ada-4c0b-8aac-79b7900257b8,2,,,3941018,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Spain,772,,0,,,,,,,,,,,,,,,,,Georgia,2138,00:00:00.000,Starting XI,,352.0,"[{'player': {'id': 102371, 'name': 'Giorgi Mamardashvili'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 25}, {'player': {'id': 398886, 'name': 'Giorgi Gvelesiani'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 15}, {'player': {'id': 7839, 'name': 'Guram Kashia'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 4}, {'player': {'id': 7655, 'name': 'Lasha Dvali'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 25036, 'name': 'Otar Kakabadze'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 2}, {'player': {'id': 48178, 'name': 'Luka Lochoshvili'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 14}, {'player': {'id': 11335, 'name': 'Otar Kiteishvili'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 17}, {'player': {'id': 23646, 'name': 'Giorgi Chakvetadze'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 41202, 'name': 'Giorgi Kochorashvili'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 33234, 'name': 'Georges Mikautadze'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 22}, {'player': {'id': 38229, 'name': 'Khvicha Kvaratskhelia'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 7}]",,,,,,,,,,,,,,,Spain vs Georgia,Spain,Georgia
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,a4a34b1c-7f4f-492a-9400-10cfee591148,3,,,3941018,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Spain,772,['3ca54510-4339-4e5d-a8d9-d269d3fc1466'],0,,,,,,,,,,,,,,,,,Georgia,2138,00:00:00.000,Half Start,,,,,,,,,,,,,,,,,,Spain vs Georgia,Spain,Georgia
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,3ca54510-4339-4e5d-a8d9-d269d3fc1466,4,,,3941018,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Spain,772,['a4a34b1c-7f4f-492a-9400-10cfee591148'],0,,,,,,,,,,,,,,,,,Spain,772,00:00:00.000,Half Start,,,,,,,,,,,,,,,,,,Spain vs Georgia,Spain,Georgia
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,b1ea73c8-a859-4aac-847e-803602bc59ba,1974,,,3941018,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,77,Spain,772,['f366034d-eb60-4d4d-a96a-9a930999a2ab'],0,,,,,,,,,,,,,,,,,Spain,772,00:00:00.000,Half Start,,,,,,,,,,,,,,,,,,Spain vs Georgia,Spain,Georgia
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,f366034d-eb60-4d4d-a96a-9a930999a2ab,1975,,,3941018,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,77,Spain,772,['b1ea73c8-a859-4aac-847e-803602bc59ba'],0,,,,,,,,,,,,,,,,,Georgia,2138,00:00:00.000,Half Start,,,,,,,,,,,,,,,,,,Spain vs Georgia,Spain,Georgia
,,,,,,,,,,,,,,,,,,1.223373,,,,,,,,,,,229d2a0e-3b43-4d2a-b110-666d94eaa9a2,5,,"[61.0, 40.1]",3941018,0,,,,-3.024081,,Right Foot,,,,"[46.6, 38.4]",,Ground Pass,,14.5,,,Rodrigo Hernández Cascante,6765.0,,,,,Kick Off,1,From Kick Off,Álvaro Borja Morata Martín,3477.0,Center Forward,2,Spain,772,['70a9118f-fa1c-49af-bcc6-beb5efdb26d0'],0,,,,,,,,,,,,,,,,,Spain,772,00:00:00.662,Pass,,,,,,,61.0,40.1,46.6,38.4,,,,,,46.6,38.4,Spain vs Georgia,Spain,Georgia
,,,,,,,,,,,,,,,,,,1.444373,,,,,,,,,,,130abc14-cc5f-4d0f-aac5-c5be75f9a371,8,,"[48.9, 39.0]",3941018,0,,,,2.0827334,,Right Foot,,,,"[43.0, 49.5]",,Ground Pass,,12.0440855,,,Robin Aime Robert Le Normand,22128.0,,,,,,1,From Kick Off,Rodrigo Hernández Cascante,6765.0,Center Defensive Midfield,2,Spain,772,['dce334e7-bafc-45e2-8a2b-9a59682c0616'],2,,,,,,,,,,,,,,,,,Spain,772,00:00:02.764,Pass,,,,,,,48.9,39.0,43.0,49.5,,,,,,43.0,49.5,Spain vs Georgia,Spain,Georgia
,,,,,,,,,,,,,,,,,,1.202941,,,,,,,,,,,270f30e5-0687-42f9-a3e6-c2cfe09c2fd3,11,,"[41.5, 53.7]",3941018,0,,,,0.84781694,,Right Foot,,,,"[56.5, 70.7]",,Ground Pass,,22.671568,,,Daniel Carvajal Ramos,5721.0,,,,,,1,From Kick Off,Robin Aime Robert Le Normand,22128.0,Right Center Back,2,Spain,772,['fc1f4adf-db77-4bfc-a24a-b1435d2847fa'],4,,,,,,,,,,,,,,,,,Spain,772,00:00:04.973,Pass,,,,,,,41.5,53.7,56.5,70.7,,,,,,56.5,70.7,Spain vs Georgia,Spain,Georgia
,,,,,,,,,,,,,,,,,,1.656547,,,,,,,,,,,0aeb8563-90ba-4244-8366-98a12375a0a8,14,,"[69.6, 73.5]",3941018,0,,,,-2.6055098,,Right Foot,,,,"[52.6, 63.4]",,Ground Pass,,19.773973,,,Robin Aime Robert Le Normand,22128.0,,,,,,1,From Kick Off,Daniel Carvajal Ramos,5721.0,Right Back,2,Spain,772,['174c0e06-ceb5-41bf-b465-16bc81ed299f'],10,,,,,,,,,,,,,,,,,Spain,772,00:00:10.330,Pass,,,,,,,69.6,73.5,52.6,63.4,,,,,,52.6,63.4,Spain vs Georgia,Spain,Georgia
,,,,,,,,,,,,,,,,,,1.652866,,,,,,,,,,,95e42787-c37c-46b7-bf27-aa72577531a1,17,,"[53.5, 57.0]",3941018,0,,,,-1.4908484,,Right Foot,,,,"[56.2, 23.3]",,Ground Pass,,33.807987,,,Aymeric Laporte,4353.0,,,,,,1,From Kick Off,Robin Aime Robert Le Normand,22128.0,Right Center Back,2,Spain,772,['04f0d577-de1e-4e77-87d9-139e5bb17f49'],13,,,,,,,,,,,,,,,,,Spain,772,00:00:13.866,Pass,,,,,,,53.5,57.0,56.2,23.3,,,,,,56.2,23.3,Spain vs Georgia,Spain,Georgia
,,,,,,,,,,,,,,,,,,1.300402,,,,,,,,,,,1ed70224-90d1-495f-8667-ac8adef42a35,20,,"[63.0, 19.0]",3941018,0,,,,-0.75561976,,Right Foot,,,,"[75.1, 7.6]",,Ground Pass,,16.62438,,,Marc Cucurella Saseta,17620.0,,,,,,1,From Kick Off,Aymeric Laporte,4353.0,Left Center Back,2,Spain,772,['eed21ee8-4a08-41cd-b606-476e4c37034c'],16,,,,,,,,,,,,,,,,,Spain,772,00:00:16.996,Pass,,,,,,,63.0,19.0,75.1,7.6,,,,,,75.1,7.6,Spain vs Georgia,Spain,Georgia
,,,,,,,,,,,,,,,,,,1.352751,,,,,,,,,,,df30f3d4-f94c-4c4d-9eb8-16c2edcb0ba2,23,,"[76.1, 7.3]",3941018,0,,,,2.6910734,,Left Foot,,,,"[57.7, 16.2]",,Ground Pass,,20.439423,,,Aymeric Laporte,4353.0,,,,,,1,From Kick Off,Marc Cucurella Saseta,17620.0,Left Back,2,Spain,772,['e1e22e32-7a82-4e36-8d8d-9c89fd51326d'],19,,,,,,,,,,,,,,,,,Spain,772,00:00:19.576,Pass,,,,,,,76.1,7.3,57.7,16.2,,,,,,57.7,16.2,Spain vs Georgia,Spain,Georgia
,,,,,,,,,,,,,,,,,,1.147079,,,,,,,,,,,b8905d50-8654-4d13-aed7-3c1ad1ed7ef6,26,,"[63.6, 15.7]",3941018,0,,,,-0.7853982,,Right Foot,,,,"[72.4, 6.9]",,Ground Pass,,12.44508,,,Marc Cucurella Saseta,17620.0,,,,,,1,From Kick Off,Aymeric Laporte,4353.0,Left Center Back,2,Spain,772,['09ebc5f2-8ae3-4d92-8294-e02c571e79fa'],23,,,,,,,,,,,,,,,,,Spain,772,00:00:23.903,Pass,,,,,,,63.6,15.7,72.4,6.9,,,,,,72.4,6.9,Spain vs Georgia,Spain,Georgia
,,,,,,,,,,,,,,,,,,1.424813,,,,,,,,,,,15d01dad-4e6b-4225-a687-559ba7b1529c,29,,"[77.0, 9.7]",3941018,0,,,,2.410686,,Left Foot,,,,"[62.5, 22.7]",,Ground Pass,,19.474342,,,Aymeric Laporte,4353.0,,,,,,1,From Kick Off,Marc Cucurella Saseta,17620.0,Left Back,2,Spain,772,['6440519e-d9d6-41f5-a951-2f5634ebdfef'],26,,,,,,,,,,,,,,,,,Spain,772,00:00:26.800,Pass,,,,,,,77.0,9.7,62.5,22.7,,,,,,62.5,22.7,Spain vs Georgia,Spain,Georgia
