50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,team,team_id,timestamp,type,under_pressure,tactics.formation,tactics.lineup,tactics,50_50.outcome.id,50_50.outcome.name,x,y,pass_end_x,pass_end_y,carry_end_x,carry_end_y,shot_end_x,shot_end_y,shot_end_z,end_x,end_y,match_name,home_team,away_team
,,,,,,,,,,,,,,,,,,,,,,,,,8cebaeae-db32-40be-8ff6-c476e18d8d43,2294,,"[62.3, 8.6]",3938637,58,,,,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,Nathan Aké,3306.0,Left Back,93,Netherlands,941,['b11f6c80-20f2-4665-84bd-f4c16b972211'],34,,,,,,,,,,,,,,,,,Netherlands,941,00:13:34.363,Ball Receipt*,,,,,,,62.3,8.6,,,,,,,,,,Poland vs Netherlands,Poland,Netherlands
,,,,,,,,,,,,,,,,,,,,,,,,,721f211a-a92e-4640-9bf9-b81410d18bd0,2297,,"[64.2, 30.2]",3938637,58,,,,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,Jerdy Schouten,15503.0,Right Defensive Midfield,93,Netherlands,941,['ccb99625-63ed-4d1c-9f75-6dfe91f47a62'],36,,,,,,,,,,,,,,,,,Netherlands,941,00:13:36.313,Ball Receipt*,,,,,,,64.2,30.2,,,,,,,,,,Poland vs Netherlands,Poland,Netherlands
,,,,,,,,,,,,,,,,,,,,,,,,,b32b05cc-2544-4e62-93d0-0535b92e673d,2300,,"[76.9, 29.2]",3938637,58,,,,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,Xavi Simons,39167.0,Right Wing,93,Netherlands,941,['d326c54b-c7b9-4d66-b4f7-cecb2d0b7e17'],38,,,,,,,,,,,,,,,,,Netherlands,941,00:13:38.156,Ball Receipt*,,,,,,,76.9,29.2,,,,,,,,,,Poland vs Netherlands,Poland,Netherlands
,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,88ef2a33-2bb2-4f8f-9223-92bca591c090,2308,,"[107.4, 53.3]",3938637,58,,,,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,Karol Świderski,8836.0,Left Center Forward,93,Netherlands,941,['faa2becd-4cfb-47be-ad50-a3e2dc34f114'],48,,,,,,,,,,,,,,,,,Poland,789,00:13:48.894,Ball Receipt*,,,,,,,107.4,53.3,,,,,,,,,,Poland vs Netherlands,Poland,Netherlands
,,,,,,,,,,,,,,,,,,,,,,,,,69540f06-2eab-42e9-8454-82b60e8120b7,2314,,"[28.7, 20.4]",3938637,58,,,,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,Joey Veerman,21633.0,Left Defensive Midfield,93,Netherlands,941,['e4271f00-4506-4eb3-9bca-594bf6f8bf78'],52,,,,,,,,,,,,,,,,,Netherlands,941,00:13:52.048,Ball Receipt*,,,,,,,28.7,20.4,,,,,,,,,,Poland vs Netherlands,Poland,Netherlands
,,,,,,,,,,,,,,,,,,,,,,,,,ba4bfae9-cb02-4bf6-be37-2dcc3893ef16,2317,,"[30.5, 53.7]",3938637,58,,,,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,Denzel Dumfries,8125.0,Right Back,93,Netherlands,941,['fbda1a27-ef19-48ef-826e-e32ed0ed4250'],54,,,,,,,,,,,,,,,,,Netherlands,941,00:13:54.164,Ball Receipt*,,,,,,,30.5,53.7,,,,,,,,,,Poland vs Netherlands,Poland,Netherlands
,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,f8973af2-6b1e-4c6e-a495-4ffef5eccc21,2320,,"[91.7, 13.9]",3938637,58,,,,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,Cody Mathès Gakpo,20750.0,Left Wing,93,Netherlands,941,['2ed15b2d-19e2-4f09-9ae7-9c7cc28ebe9a'],59,,,,,,,,,,,,,,,,,Netherlands,941,00:13:59.621,Ball Receipt*,,,,,,,91.7,13.9,,,,,,,,,,Poland vs Netherlands,Poland,Netherlands
,,,,,,,,,,,,,,,,,,,,,,,,,9b1c57a9-977e-4294-856a-0554c07d869c,2322,,"[10.4, 48.0]",3938637,59,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Wojciech Szczęsny,5669.0,Goalkeeper,94,Poland,789,['aae8257f-748b-4d26-96e0-bb2ce99b3fb0'],1,,,,,,,,,,,,,,,,,Poland,789,00:14:01.194,Ball Receipt*,,,,,,,10.4,48.0,,,,,,,,,,Poland vs Netherlands,Poland,Netherlands
,,,,,,,,,,,,,,,,,,,,,,,,,89da8b4d-10cd-4698-b63b-d757356672f6,2325,,"[29.6, 21.5]",3938637,59,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Jakub Piotr Kiwior,44166.0,Left Center Back,94,Poland,789,['62a9f2e2-8b1d-46d2-a8d1-150710355e4c'],6,,,,,,,,,,,,,,,,,Poland,789,00:14:06.086,Ball Receipt*,,,,,,,29.6,21.5,,,,,,,,,,Poland vs Netherlands,Poland,Netherlands
,,,,,,,,,,,,,,,,,,,,,,,,,0aa5b029-5d8a-46bf-8a6d-9cb6da89c72a,2328,,"[51.2, 11.1]",3938637,59,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Piotr Zieliński,5660.0,Right Center Midfield,94,Poland,789,['f47f704e-96ad-48f3-ba35-6204d5c6127a'],8,,,,,,,,,,,,,,,,,Poland,789,00:14:08.404,Ball Receipt*,,,,,,,51.2,11.1,,,,,,,,,,Poland vs Netherlands,Poland,Netherlands
