50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_type,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,team,team_id,timestamp,type,under_pressure,tactics.formation,tactics.lineup,tactics,50_50.outcome.id,50_50.outcome.name,x,y,pass_end_x,pass_end_y,carry_end_x,carry_end_y,shot_end_x,shot_end_y,shot_end_z,end_x,end_y,match_name,home_team,away_team
,,,,,,,,,,,,,,,,1.564677,,,,,,,,,,645e69f9-626d-4057-965a-50b54dbb9a39,3595,,"[73.8, 2.8]",3941022,91,,,,2.3676882,,Left Foot,,,"[65.0, 11.4]",,Ground Pass,,12.304471,,,Florian Grillitsch,11396.0,,,,,Recovery,2,Regular Play,Maximilian Wöber,8068.0,Left Center Back,165,Austria,915,['e70c6c53-c023-47a4-b451-4017dac5c31b'],42,,,,,,,,,,,,,,,,Austria,915,00:46:42.610,Pass,,,,,,,73.8,2.8,65.0,11.4,,,,,,65.0,11.4,Austria vs Turkey,Austria,Turkey
,,,,,,,,,,,,,,,,1.049758,,,,,,,,,,a0869bd0-f613-4f5c-92a9-d87a2a4dee74,3598,,"[62.3, 11.7]",3941022,91,,,,2.5262532,,Right Foot,,,"[50.7, 19.9]",,Ground Pass,,14.205632,,,Kevin Danso,11820.0,,,,,,2,Regular Play,Florian Grillitsch,11396.0,Left Defensive Midfield,165,Austria,915,['5a00cfa9-d974-4e33-89d9-36bdbe99e1ba'],44,,,,,,,,,,,,,,,,Austria,915,00:46:44.441,Pass,,,,,,,62.3,11.7,50.7,19.9,,,,,,50.7,19.9,Austria vs Turkey,Austria,Turkey
,,,,,,,,,,,,,,,,1.407259,,,,,,,,,,9216f0e7-5348-4d72-abd9-e6ceff5ebf6d,3601,,"[50.3, 20.5]",3941022,91,,,,-0.82030463,,Right Foot,,,"[65.5, 4.2]",,Ground Pass,,22.287441,,,Maximilian Wöber,8068.0,,,,,,2,Regular Play,Kevin Danso,11820.0,Right Center Back,165,Austria,915,['b5fdfeda-e726-40ba-9507-bcad2eeb4682'],46,,,,,,,,,,,,,,,,Austria,915,00:46:46.592,Pass,,,,,,,50.3,20.5,65.5,4.2,,,,,,65.5,4.2,Austria vs Turkey,Austria,Turkey
,,,,,,,,,,,,,,,,3.33926,,,,,,,,,,dc427b75-9021-46b7-aa63-51f0e72b6016,3604,,"[67.8, 2.4]",3941022,91,,,,1.6729327,,Left Foot,,,"[64.1, 38.5]",,Ground Pass,,36.289116,,,Florian Grillitsch,11396.0,,,,,,2,Regular Play,Maximilian Wöber,8068.0,Left Center Back,165,Austria,915,['99bd013a-2a85-4a21-a4f2-d03d063c393e'],49,,,,,,,,,,,,,,,,Austria,915,00:46:49.078,Pass,,,,,,,67.8,2.4,64.1,38.5,,,,,,64.1,38.5,Austria vs Turkey,Austria,Turkey
,,,,,,,,,,,,,,,,1.499391,,,,,,,,,,4063558e-a596-4856-a16d-a4e4fc716f66,3608,,"[74.5, 32.5]",3941022,91,,,,2.4668517,,Right Foot,,,"[68.5, 37.3]",,Ground Pass,,7.683749,,,Kevin Danso,11820.0,,,,,,2,Regular Play,Florian Grillitsch,11396.0,Left Defensive Midfield,165,Austria,915,"['82d036ce-3417-4615-ac00-3fc3d7d93b34', 'd37e1beb-9f27-4bf2-9e7e-7cc7c921a7fe']",56,,,,,,,,,,,,,,,,Austria,915,00:46:56.971,Pass,True,,,,,,74.5,32.5,68.5,37.3,,,,,,68.5,37.3,Austria vs Turkey,Austria,Turkey
,,,,,,,,,,,,,,,,2.429094,,,,,,,,,,6b2222bd-ac3d-4382-9836-c57d967a1ef0,3611,,"[77.8, 39.1]",3941022,92,,,,-0.77619594,,Right Foot,,,"[110.7, 6.8]",,High Pass,,46.105312,,,Maximilian Wöber,8068.0,,,,,,2,Regular Play,Kevin Danso,11820.0,Right Center Back,165,Austria,915,['1c575e27-2259-4d8c-8a1b-c737c2996dc4'],0,,,,,,,,,,,,,,,,Austria,915,00:47:00.315,Pass,,,,,,,77.8,39.1,110.7,6.8,,,,,,110.7,6.8,Austria vs Turkey,Austria,Turkey
,,,,,,,,,,,,,,,,2.393658,,,,,,,,,,6032e0e1-2e82-467f-a5d3-6a0de597fa28,3617,,"[7.2, 62.3]",3941022,92,,,,0.24422678,,Right Foot,,,"[38.5, 70.1]",,High Pass,,32.257248,Incomplete,,Barış Alper Yılmaz,134209.0,,,,,Recovery,2,Regular Play,Kaan Ayhan,12293.0,Right Center Back,165,Austria,915,"['92d665f3-0dbf-4c14-8790-ed336bb364c6', '9ad512cc-c7c0-44c0-92cf-74561e18382f']",5,,,,,,,,,,,,,,,,Turkey,909,00:47:05.971,Pass,,,,,,,7.2,62.3,38.5,70.1,,,,,,38.5,70.1,Austria vs Turkey,Austria,Turkey
,,,,,,,,,,,,,,,,1.3632,,,,,,,,,,92d665f3-0dbf-4c14-8790-ed336bb364c6,3619,,"[81.6, 10.0]",3941022,92,,,,-0.94200003,,Head,,,"[88.8, 0.1]",,Low Pass,,12.241323,Out,,Nicolas Seiwald,39460.0,,,,,Recovery,2,Regular Play,Florian Grillitsch,11396.0,Left Defensive Midfield,165,Austria,915,"['6032e0e1-2e82-467f-a5d3-6a0de597fa28', 'c86e2d7b-f8a6-4473-b6b0-db0dbe03177d']",8,,,,,,,,,,,,,,,,Austria,915,00:47:08.364,Pass,,,,,,,81.6,10.0,88.8,0.1,,,,,,88.8,0.1,Austria vs Turkey,Austria,Turkey
,,,,,,,,,,,,,,,,1.929759,,,,,,,,,,fd2340ca-a21f-485a-963f-8ece5a7bd8fc,3621,,"[43.7, 80.0]",3941022,92,,,,-0.16764244,,,,,"[63.2, 76.7]",,High Pass,,19.77726,Incomplete,,Barış Alper Yılmaz,134209.0,,,,,Throw-in,2,From Throw In,Mert Müldür,10826.0,Right Wing Back,166,Turkey,909,"['23e1538d-8b96-45d0-97b9-dbf053c9707a', '4e2d9d7a-d593-4509-a81f-c8abdd5bb098']",31,,,,,,,,,,,,,,,,Turkey,909,00:47:31.142,Pass,,,,,,,43.7,80.0,63.2,76.7,,,,,,63.2,76.7,Austria vs Turkey,Austria,Turkey
,,,,,,,,,,,,,,,,0.701026,,,,,,,,,,23e1538d-8b96-45d0-97b9-dbf053c9707a,3623,,"[56.9, 3.4]",3941022,92,,,,0.21711132,,Head,,,"[63.7, 4.9]",,Low Pass,,6.963476,,,Nicolas Seiwald,39460.0,,,,,Interception,2,Regular Play,Alexander Prass,39545.0,Left Back,167,Austria,915,"['a464e1c6-fdf2-429b-9510-a846c49ad8f5', 'fd2340ca-a21f-485a-963f-8ece5a7bd8fc']",33,,,,,,,,,,,,,,,,Austria,915,00:47:33.072,Pass,,,,,,,56.9,3.4,63.7,4.9,,,,,,63.7,4.9,Austria vs Turkey,Austria,Turkey
