50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,team,team_id,timestamp,type,under_pressure,tactics.formation,tactics.lineup,tactics,50_50.outcome.id,50_50.outcome.name,x,y,pass_end_x,pass_end_y,carry_end_x,carry_end_y,shot_end_x,shot_end_y,shot_end_z,end_x,end_y,match_name,home_team,away_team
,,,,,,,,,,,,,,,,,,,0.694964,,,,,,,,,,,,,,a9edc692-a40c-4002-86df-b5334a762cef,22,,"[97.3, 11.5]",3938641,0,,,,2.086544,,Right Foot,,,,"[90.1, 24.2]",,Ground Pass,,14.598972,,,,Florian Grillitsch,11396.0,,,,,,1,From Kick Off,Philipp Mwene,13315.0,Left Back,2,Austria,915,['8b421751-bd79-4d51-aca3-81b413326562'],11,,,,,,,,,,,,,,,,,Austria,915,00:00:11.478,Pass,,,,,,,97.3,11.5,90.1,24.2,,,,,,90.1,24.2,Poland vs Austria,Poland,Austria
,,,,,,,,,,,,,,,,,,,0.965412,,,,,,,,,,,,,,ab505774-8ca0-4529-a496-8641f58f9e6d,26,,"[90.3, 22.5]",3938641,0,,,,-1.4114447,,Left Foot,,,,"[92.1, 11.3]",,Ground Pass,,11.34372,,,,Konrad Laimer,8506.0,,,,,,1,From Kick Off,Florian Grillitsch,11396.0,Left Defensive Midfield,2,Austria,915,"['28278964-7147-4aae-86f3-d424f36a7802', 'f45847a0-08ee-4e7a-bac6-06791e1857d1']",12,,,,,,,,,,,,,,,,,Austria,915,00:00:12.433,Pass,True,,,,,,90.3,22.5,92.1,11.3,,,,,,92.1,11.3,Poland vs Austria,Poland,Austria
,,,,,,,,,,,,,,,,,,,0.714884,,,,,,,,,,,,,,e803e47b-73d4-4e1b-b424-a30da468f227,29,,"[104.0, 15.1]",3938641,0,,,,-1.5378412,,Right Foot,,,,"[104.3, 6.0]",,Ground Pass,,9.104943,,,,Philipp Mwene,13315.0,,,,,,1,From Kick Off,Konrad Laimer,8506.0,Center Attacking Midfield,2,Austria,915,['e4c8c857-7425-48ac-9bc4-7f3fb2be8a56'],16,,,,,,,,,,,,,,,,,Austria,915,00:00:16.113,Pass,,,,,,,104.0,15.1,104.3,6.0,,,,,,104.3,6.0,Poland vs Austria,Poland,Austria
,,,,,,,,,,,,,,,,,,,0.977011,,,,,,,,,,,,,,a6e7f5d0-d083-408c-b304-59a9ce5eb166,32,,"[100.9, 9.1]",3938641,0,,,,-2.9163158,,Right Foot,,,,"[91.3, 6.9]",,Ground Pass,,9.848858,,,,Nicolas Seiwald,39460.0,,,,,,1,From Kick Off,Philipp Mwene,13315.0,Left Back,2,Austria,915,['54278249-6d8b-484d-87d4-4aa9b3b526ca'],19,,,,,,,,,,,,,,,,,Austria,915,00:00:19.992,Pass,,,,,,,100.9,9.1,91.3,6.9,,,,,,91.3,6.9,Poland vs Austria,Poland,Austria
,,,,,,,,,,,,,,,,,,,0.71773,,,,,,,,,,,,,,d4846feb-39e8-4c5f-8497-a55628969071,35,,"[92.5, 6.9]",3938641,0,,,,-0.23472261,,Right Foot,,,,"[101.7, 4.7]",,Ground Pass,,9.459387,,,,Philipp Mwene,13315.0,,,,,,1,From Kick Off,Nicolas Seiwald,39460.0,Right Defensive Midfield,2,Austria,915,['0a655cfc-46b2-4c2a-aa78-87908d5c39fb'],21,,,,,,,,,,,,,,,,,Austria,915,00:00:21.769,Pass,,,,,,,92.5,6.9,101.7,4.7,,,,,,101.7,4.7,Poland vs Austria,Poland,Austria
,,,,,,,,,,,,,,,,,,,1.638202,,,,,,,,,,,,,,eedd14ff-86c4-46f9-a498-3c127b0162b5,38,,"[104.7, 5.5]",3938641,0,,,,0.9224643,,Left Foot,,,,"[117.2, 22.0]",,Ground Pass,,20.700241,,,,Marcel Sabitzer,8518.0,,,,,,1,From Kick Off,Philipp Mwene,13315.0,Left Back,2,Austria,915,['34412abc-0702-4520-b723-35a2874796c5'],24,,,,,,,,,,,,,,,,,Austria,915,00:00:24.086,Pass,,,,,,,104.7,5.5,117.2,22.0,,,,,,117.2,22.0,Poland vs Austria,Poland,Austria
,,,,,,,,,,,,,,,,,,,0.390256,,,,,,,,,,,,,,900cdcd1-025a-446f-a5d5-f6ceafb68c79,41,,"[117.2, 22.0]",3938641,0,,,,1.9086745,,Left Foot,True,True,,"[113.3, 33.1]",,Ground Pass,,11.7652025,,Incomplete,,,,,,,,,1,From Kick Off,Marcel Sabitzer,8518.0,Left Wing,2,Austria,915,['efc9bc23-87ee-42bc-98e2-036e6bbd5ec9'],25,,,,,,,,,,,,,,,,,Austria,915,00:00:25.763,Pass,,,,,,,117.2,22.0,113.3,33.1,,,,,,113.3,33.1,Poland vs Austria,Poland,Austria
,,,,,,,,,,,,,,,,,,,2.159694,,,,,,,,,,,,,,f5363eef-648d-4153-a9e5-12d3e6daab02,43,,"[110.8, 0.1]",3938641,0,,,,1.4649434,,,True,,,"[114.2, 32.1]",,High Pass,,32.18012,,Incomplete,,Marko Arnautović,3325.0,,,,,Throw-in,1,From Throw In,Philipp Mwene,13315.0,Left Back,3,Austria,915,"['1802b536-4ab5-4d2c-b2ce-ad0f9d5e3ecc', 'bd71f67d-b499-433b-ad90-d2a8f742bca3']",45,,,,,,,,,,,,,,,,,Austria,915,00:00:45.036,Pass,,,,,,,110.8,0.1,114.2,32.1,,,,,,114.2,32.1,Poland vs Austria,Poland,Austria
,,,,,,,,,,,,,,,,,,,1.717554,,,,,,,,,,,,,,e310dfdf-6dc9-4445-accc-2d15a2beea72,51,,"[7.1, 58.4]",3938641,0,,,,0.92891335,,Head,,,,"[14.5, 68.3]",,Low Pass,,12.360016,,Incomplete,,Przemysław Frankowski,7979.0,,,,,Recovery,1,From Throw In,Jakub Piotrowski,20841.0,Left Center Midfield,3,Austria,915,"['1f3b7477-fc4d-48b0-8d05-f9622687ba9b', '6ac8e781-16b1-4cfd-b311-4531952cc7d2']",52,,,,,,,,,,,,,,,,,Poland,789,00:00:52.059,Pass,,,,,,,7.1,58.4,14.5,68.3,,,,,,14.5,68.3,Poland vs Austria,Poland,Austria
,,,,,,,,,,,,,,,,,,,1.376334,,,,,,,,,,,,,,05d9c98b-5d43-4383-baeb-b1f8a1bb9972,56,,"[98.8, 3.8]",3938641,0,,,,2.138334,,Right Foot,,,,"[88.6, 19.8]",,Ground Pass,,18.97472,,,,Nicolas Seiwald,39460.0,,,,,,1,From Throw In,Marcel Sabitzer,8518.0,Left Wing,3,Austria,915,['f2720498-7a2b-42ac-8bd3-3b9812202b9a'],54,,,,,,,,,,,,,,,,,Austria,915,00:00:54.942,Pass,,,,,,,98.8,3.8,88.6,19.8,,,,,,88.6,19.8,Poland vs Austria,Poland,Austria
