50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,team,team_id,timestamp,type,under_pressure,tactics.formation,tactics.lineup,tactics,50_50.outcome.id,50_50.outcome.name,x,y,pass_end_x,pass_end_y,carry_end_x,carry_end_y,shot_end_x,shot_end_y,shot_end_z,end_x,end_y,match_name,home_team,away_team
,,,,,"[75.9, 28.9]",,,,,,,,,,,,2.508029,,,,,,,,,,,,a956639d-31cd-4fbd-93c8-0762c1db108d,2485,,"[60.2, 32.1]",3940878,59,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,Matteo Darmian,4587.0,Left Back,96,Italy,914,"['05f35306-22da-48d1-b979-8c248e12d79f', 'e27f3347-fd09-41fa-b9a0-78f11c876d4f']",17,,,,,,,,,,,,,,,,,Italy,914,00:14:17.493,Carry,,,,,,,60.2,32.1,,,75.9,28.9,,,,75.9,28.9,Switzerland vs Italy,Switzerland,Italy
,,,,,"[97.1, 19.1]",,,,,,,,,,,,3.144139,,,,,,,,,,,,294f40d5-abd5-43f8-8785-5e2ba2ae43c4,2488,,"[93.3, 14.0]",3940878,59,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,Mattia Zaccagni,8792.0,Left Wing,96,Italy,914,"['312ba5b3-7b4b-4207-8e21-cd70fb3eda6f', '34621b9d-ada8-4322-bcb6-9f4aeccf91c1']",21,,,,,,,,,,,,,,,,,Italy,914,00:14:21.731,Carry,,,,,,,93.3,14.0,,,97.1,19.1,,,,97.1,19.1,Switzerland vs Italy,Switzerland,Italy
,,,,,"[87.5, 33.3]",,,,,,,,,,,,1.344322,,,,,,,,,,,,6f044ff5-b5bf-409e-893a-540c762d18d1,2491,,"[85.3, 27.9]",3940878,59,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,Nicolò Fagioli,38909.0,Left Defensive Midfield,96,Italy,914,"['11d93ed2-6747-4a03-b2a2-c911bc98c9c9', 'd46a02f7-ec9a-4aa6-b672-fed70f544627']",25,,,,,,,,,,,,,,,,,Italy,914,00:14:25.986,Carry,,,,,,,85.3,27.9,,,87.5,33.3,,,,87.5,33.3,Switzerland vs Italy,Switzerland,Italy
,,,,,"[82.9, 47.5]",,,,,,,,,,,,0.544062,,,,,,,,,,,,c72788aa-9ecb-492b-a23a-695ed58ec9d3,2496,,"[83.1, 48.4]",3940878,59,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,Bryan Cristante,6993.0,Right Defensive Midfield,96,Italy,914,"['a89a73d9-ec7c-470e-be89-d2eb43da8371', 'd6678dcc-53c5-4975-8e9c-b8da2c8966f3']",29,,,,,,,,,,,,,,,,,Italy,914,00:14:29.954,Carry,,,,,,,83.1,48.4,,,82.9,47.5,,,,82.9,47.5,Switzerland vs Italy,Switzerland,Italy
,,,,,"[83.1, 50.6]",,,,,,,,,,,,4.198433,,,,,,,,,,,,f63f6034-c179-453d-b81a-77f371584571,2501,,"[80.4, 48.1]",3940878,59,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,Bryan Cristante,6993.0,Right Defensive Midfield,96,Italy,914,"['8b8f5a66-3918-4c64-91f8-ed7ad83c2e7d', '91b4577c-5941-4a2d-9af8-814d629dc9a7']",32,,,,,,,,,,,,,,,,,Italy,914,00:14:32.264,Carry,,,,,,,80.4,48.1,,,83.1,50.6,,,,83.1,50.6,Switzerland vs Italy,Switzerland,Italy
,,,,,"[92.2, 50.4]",,,,,,,,,,,,0.96633,,,,,,,,,,,,7d62f3fa-d077-4b0f-9292-47dc283af95f,2504,,"[85.3, 46.6]",3940878,59,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,Nicolò Fagioli,38909.0,Left Defensive Midfield,96,Italy,914,"['6143d93d-9ca9-441a-ab87-bfa6b5a5de93', 'a3965c17-9429-4407-8f20-6f4b6b4e2653']",37,,,,,,,,,,,,,,,,,Italy,914,00:14:37.278,Carry,,,,,,,85.3,46.6,,,92.2,50.4,,,,92.2,50.4,Switzerland vs Italy,Switzerland,Italy
,,,,,"[16.2, 36.2]",,,,,,,,,,,,1.18139,,,,,,,,,,,,53f80f0f-e039-4cdd-9382-a0317b35384d,2508,,"[16.0, 33.7]",3940878,59,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Manuel Obafemi Akanji,5549.0,Center Back,97,Switzerland,773,"['023cbf42-529c-4781-87a7-f993662c4b2c', 'ee4e8ede-bdcd-45f0-8431-691ae4d84bc6']",39,,,,,,,,,,,,,,,,,Switzerland,773,00:14:39.212,Carry,,,,,,,16.0,33.7,,,16.2,36.2,,,,16.2,36.2,Switzerland vs Italy,Switzerland,Italy
,,,,,"[13.8, 27.5]",,,,,,,,,,,,2.118759,,,,,,,,,,,,a060cca7-bf6b-4055-accf-c2102da39d3a,2511,,"[17.4, 32.0]",3940878,59,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Granit Xhaka,3500.0,Left Defensive Midfield,97,Switzerland,773,"['7d274e67-7c6b-4b26-93c1-53f91174fe4e', 'b5f3972e-71d4-4db2-b491-d71314512dcd', 'cec3f7d5-006b-44cb-a2be-826a433f3979']",40,,,,,,,,,,,,,,,,,Switzerland,773,00:14:40.962,Carry,True,,,,,,17.4,32.0,,,13.8,27.5,,,,13.8,27.5,Switzerland vs Italy,Switzerland,Italy
,,,,,"[9.1, 4.9]",,,,,,,,,,,,2.473686,,,,,,,,,,,,17fde56e-6004-45ee-9e2c-b01b0dfd071b,2515,,"[7.6, 18.8]",3940878,59,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Ricardo Iván Rodríguez Araya,5544.0,Left Center Back,97,Switzerland,773,"['025ed122-5235-492e-b0ea-b63788a045f7', '035e9868-10de-4894-a9e9-2638d87aa83e', 'f82755eb-246a-48de-9a19-0505ec35a6d1']",44,,,,,,,,,,,,,,,,,Switzerland,773,00:14:44.813,Carry,True,,,,,,7.6,18.8,,,9.1,4.9,,,,9.1,4.9,Switzerland vs Italy,Switzerland,Italy
,,,,,"[36.2, 14.9]",,,,,,,,,,,,1.004625,,,,,,,,,,,,1d33eb69-e8c4-4465-a501-6fa30f9ffaf3,2525,,"[47.0, 18.4]",3940878,59,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Granit Xhaka,3500.0,Left Defensive Midfield,97,Switzerland,773,"['2fab1f29-8e1a-4692-81d0-4e81cd166af8', '396039f3-80fa-49dd-88ca-7b1d4f09d0b9', '696aed61-34c0-4d7e-aa27-c1b3b078308e']",51,,,,,,,,,,,,,,,,,Switzerland,773,00:14:51.041,Carry,True,,,,,,47.0,18.4,,,36.2,14.9,,,,36.2,14.9,Switzerland vs Italy,Switzerland,Italy
