50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,team,team_id,timestamp,type,under_pressure,tactics.formation,tactics.lineup,tactics,50_50.outcome.id,50_50.outcome.name,x,y,pass_end_x,pass_end_y,carry_end_x,carry_end_y,shot_end_x,shot_end_y,shot_end_z,end_x,end_y,match_name,home_team,away_team
,,,,,"[97.9, 27.2]",,,,,,,,,,,,2.381515,,,,,,,,,,,,,8ee54d41-cf4b-4f79-aa96-e6de69ee8f41,2014,,,"[98.4, 36.1]",3930167,47,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Andrej Kramarić,5460.0,Left Wing,76,Croatia,785,"['13e30543-406e-43bd-a233-74e16ad07954', 'b566ec6e-01fc-4fea-943f-5756c0cab33d', 'ba9b5f0b-31f7-40c7-bc9e-340cc8d7765f']",50,,,,,,,,,,,,,,,,,Croatia,785,00:02:50.278,Carry,True,,,,,,98.4,36.1,,,97.9,27.2,,,,97.9,27.2,Croatia vs Albania,Croatia,Albania
,,,,,"[7.8, 22.8]",,,,,,,,,,,,0.598364,,,,,,,,,,,,,41113501-b0c6-4dde-a016-100515b7f2ab,2027,,,"[7.0, 23.2]",3930167,48,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,Berat Djimsiti,7108.0,Left Center Back,78,Albania,906,"['0f8fcca4-5aad-4af6-916f-ec85b00ef22c', 'ee5a9852-1ee1-4ed6-8812-f2c40540f8c1']",54,,,,,,,,,,,,,,,,,Albania,906,00:03:54.692,Carry,,,,,,,7.0,23.2,,,7.8,22.8,,,,7.8,22.8,Croatia vs Albania,Croatia,Albania
,,,,,"[2.4, 38.2]",,,,,,,,,,,,1.159794,,,,,,,,,,,,,2c2819f5-87a0-4e30-927e-c5a99168129e,2030,,,"[1.9, 37.8]",3930167,48,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,Thomas Strakosha,7789.0,Goalkeeper,78,Albania,906,"['23470d35-908a-4b27-a1f9-2df7686ac52c', '4d961c6f-bbe5-4b7e-b4e6-b4332d6d6ed8', 'd563ca03-3b44-4b03-bae2-ef557b86f947']",56,,,,,,,,,,,,,,,,,Albania,906,00:03:56.587,Carry,True,,,,,,1.9,37.8,,,2.4,38.2,,,,2.4,38.2,Croatia vs Albania,Croatia,Albania
,,,,,"[96.3, 69.2]",,,,,,,,,,,,0.702903,,,,,,,,,,,,,28c75cef-34b7-4c48-8f9a-7ab4b9893f2a,2038,,,"[92.5, 70.2]",3930167,49,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Mario Pašalić,11603.0,Right Wing,79,Croatia,785,"['3769054a-3226-4218-9530-f9af87a89ce5', '3a94db16-41c1-4707-a4ad-1cf45520ce5c']",26,,,,,,,,,,,,,,,,,Croatia,785,00:04:26.030,Carry,,,,,,,92.5,70.2,,,96.3,69.2,,,,96.3,69.2,Croatia vs Albania,Croatia,Albania
,,,,,"[103.7, 77.2]",,,,,,,,,,,,1.270579,,,,,,,,,,,,,80003dae-d98f-4726-bb79-ca2578183e5e,2041,,,"[105.3, 77.6]",3930167,49,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Josip Juranović,29163.0,Right Back,79,Croatia,785,"['1eeb8c6e-56a1-4016-bff1-fd3d694c4714', '56897f70-88a7-4dde-b6e8-3b3cad80119c', 'fc522805-4490-4f1a-9b6a-9bcc3a78f76f']",28,,,,,,,,,,,,,,,,,Croatia,785,00:04:28.128,Carry,True,,,,,,105.3,77.6,,,103.7,77.2,,,,103.7,77.2,Croatia vs Albania,Croatia,Albania
,,,,,"[85.3, 73.0]",,,,,,,,,,,,2.112633,,,,,,,,,,,,,0950b0e2-76b6-48fb-b0cf-b8a670fce3ff,2045,,,"[85.1, 74.1]",3930167,49,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Luka Modrić,5463.0,Right Defensive Midfield,79,Croatia,785,"['6630d353-6984-44b1-8e97-42afabaa7ba7', 'd1993d29-19e9-4e54-b23c-dfbcece0a4e1']",31,,,,,,,,,,,,,,,,,Croatia,785,00:04:31.006,Carry,,,,,,,85.1,74.1,,,85.3,73.0,,,,85.3,73.0,Croatia vs Albania,Croatia,Albania
,,,,,"[82.0, 62.4]",,,,,,,,,,,,2.34454,,,,,,,,,,,,,2dda4550-52e8-4d55-9999-79adc681a52a,2048,,,"[83.1, 62.4]",3930167,49,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Mario Pašalić,11603.0,Right Wing,79,Croatia,785,"['1fc8c2a3-4211-4c6d-9b30-1ae64f1d587b', '91426825-cdf4-41b0-9104-afed15dd579d']",34,,,,,,,,,,,,,,,,,Croatia,785,00:04:34.412,Carry,,,,,,,83.1,62.4,,,82.0,62.4,,,,82.0,62.4,Croatia vs Albania,Croatia,Albania
,,,,,"[86.9, 68.3]",,,,,,,,,,,,0.871516,,,,,,,,,,,,,ae3dd62e-1482-40b8-ad0a-1a82630ecf51,2051,,,"[86.9, 68.3]",3930167,49,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Luka Modrić,5463.0,Right Defensive Midfield,79,Croatia,785,"['6cc40420-fc53-435e-b592-32dde7f3090d', 'dae5ce76-e939-4766-9a38-76a186073c06']",37,,,,,,,,,,,,,,,,,Croatia,785,00:04:37.470,Carry,,,,,,,86.9,68.3,,,86.9,68.3,,,,86.9,68.3,Croatia vs Albania,Croatia,Albania
,,,,,"[97.6, 52.4]",,,,,,,,,,,,0.075539,,,,,,,,,,,,,53267cd8-2712-4114-930c-a6c851457955,2055,,,"[97.2, 52.1]",3930167,49,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Bruno Petković,7693.0,Center Forward,79,Croatia,785,"['993fe8d4-51fd-42b9-8d60-39ed4e0d4005', 'b7e15bd3-3421-44bd-9e61-a245ca3f4921']",39,,,,,,,,,,,,,,,,,Croatia,785,00:04:39.103,Carry,,,,,,,97.2,52.1,,,97.6,52.4,,,,97.6,52.4,Croatia vs Albania,Croatia,Albania
,,,,,"[106.9, 52.1]",,,,,,,,,,,,1.39168,,,,,,,,,,,,,8235b9cb-0405-4d65-b4ae-32624f445d98,2058,,,"[106.9, 52.1]",3930167,49,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Luka Sučić,39490.0,Center Attacking Midfield,79,Croatia,785,"['7286afb2-b855-406a-a9fb-53903c2457a7', '830d39eb-1538-4bca-9882-a14c53a9f485', 'cbd93ef6-0220-4593-be2f-c8645dcb4d70']",40,,,,,,,,,,,,,,,,,Croatia,785,00:04:40.158,Carry,True,,,,,,106.9,52.1,,,106.9,52.1,,,,106.9,52.1,Croatia vs Albania,Croatia,Albania
,,,,,"[89.5, 38.8]",,,,,,,,,,,,1.36045,,,,,,,,,,,,,9cb614c4-d75c-4f5e-a7c0-bd0768abda6f,2063,,,"[89.5, 37.4]",3930167,49,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Mateo Kovačić,5456.0,Left Defensive Midfield,79,Croatia,785,"['090e4adb-662c-46a2-bdff-4939e15b34f0', '3f82f23f-ee56-44ce-8e4a-6fde3a732c47']",44,,,,,,,,,,,,,,,,,Croatia,785,00:04:44.830,Carry,,,,,,,89.5,37.4,,,89.5,38.8,,,,89.5,38.8,Croatia vs Albania,Croatia,Albania
,,,,,"[94.8, 39.5]",,,,,,,,,,,,3.456857,,,,,,,,,,,,,aa675c08-109c-4afe-ab2d-9c19f975fbdc,2066,,,"[94.1, 51.0]",3930167,49,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Luka Modrić,5463.0,Right Defensive Midfield,79,Croatia,785,"['0773c124-29ef-4970-bc96-bbe58721627a', '6d5bea4a-e3e7-43d9-89a3-8f95307a72d3']",46,,,,,,,,,,,,,,,,,Croatia,785,00:04:46.958,Carry,,,,,,,94.1,51.0,,,94.8,39.5,,,,94.8,39.5,Croatia vs Albania,Croatia,Albania
,,,,,"[95.5, 34.0]",,,,,,,,,,,,1.489701,,,,,,,,,,,,,b9b6dd76-d38b-468d-8833-a8f846fc31ec,2069,,,"[96.5, 32.5]",3930167,49,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Mateo Kovačić,5456.0,Left Defensive Midfield,79,Croatia,785,"['31f99185-c9d2-4680-87e0-237ffb90ce88', '745fe39e-90ec-4219-b446-112054dd4606', 'ba7e51da-89fd-4c0a-b986-188ee6923beb']",51,,,,,,,,,,,,,,,,,Croatia,785,00:04:51.129,Carry,True,,,,,,96.5,32.5,,,95.5,34.0,,,,95.5,34.0,Croatia vs Albania,Croatia,Albania
,,,,,"[87.1, 41.0]",,,,,,,,,,,,1.160957,,,,,,,,,,,,,23b80cd7-4b26-4d2b-9746-810df7a36a67,2073,,,"[95.5, 34.0]",3930167,49,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Mateo Kovačić,5456.0,Left Defensive Midfield,79,Croatia,785,"['31f99185-c9d2-4680-87e0-237ffb90ce88', '661112e0-80c2-4780-8705-4e9bc59273a5', '745fe39e-90ec-4219-b446-112054dd4606', 'c3d35025-b3d5-4626-a453-30110a40b132']",52,,,,,,,,,,,,,,,,,Croatia,785,00:04:52.619,Carry,True,,,,,,95.5,34.0,,,87.1,41.0,,,,87.1,41.0,Croatia vs Albania,Croatia,Albania
